"Postal code area","Free-time residences, 2014 (RA)","Buildings, total, 2014 (RA)","Other buildings, 2014 (RA)","Residential buildings, 2014 (RA)","Dwellings, 2014 (RA)","Average floor area, 2014 (RA)","Dwellings in small houses, 2014 (RA)","Dwellings in blocks of flats, 2014 (RA)"
"00880 Roihupellon teollisuusalue   (Helsinki )",0,212,202,10,353,58.4,3,350
"00890 Itäsalmi   (Helsinki )",48,897,194,703,715,161.3,714,1
"00900 Puotinharju   (Helsinki )",0,164,39,125,2428,59.3,135,2293
"00910 Puotila   (Helsinki )",0,231,38,193,3646,55.6,125,3521
"00920 Myllypuro   (Helsinki )",1,922,59,863,6070,68.7,1281,4789
"00930 Itäkeskus-Marjaniemi   (Helsinki )",19,661,62,599,3382,79.9,909,2473
"00940 Kontula - Vesala   (Helsinki )",1,1243,134,1109,13092,64.6,1439,11653
"00950 Vartioharju   (Helsinki )",3,1438,89,1349,2412,91.7,1938,474
"00960 Pohjois-Vuosaari   (Helsinki )",2,294,19,275,3876,62.9,629,3247
"00970 Mellunmäki   (Helsinki )",0,657,64,593,5758,64.0,855,4903
"00980 Etelä-Vuosaari   (Helsinki )",88,1254,283,971,11138,67.3,1473,9665
"00990 Aurinkolahti   (Helsinki )",10,195,26,169,4255,66.5,194,4061
"01120 Västerskog   (Sipoo )",835,724,130,594,605,120.1,549,56
"01150 Söderkulla   (Sipoo )",438,1585,194,1391,1935,113.8,1538,397
"01180 Kalkkiranta   (Porvoo )",496,292,61,231,209,123.5,209,0
"01190 Box   (Sipoo )",61,522,80,442,426,118.0,426,0
"01200 Hakunila   (Vantaa )",18,890,98,792,6009,67.9,1236,4773
"01230 Vaarala   (Vantaa )",3,486,43,443,1351,81.0,991,360
"01260 Itä-Hakkila   (Vantaa )",26,1442,94,1348,1852,100.6,1734,118
"01280 Länsimäki   (Vantaa )",1,900,34,866,4617,71.2,1972,2645
"01300 Tikkurila   (Vantaa )",1,1751,243,1508,10048,66.6,2548,7500
"01340 Leinelä   (Vantaa )",0,14,3,11,361,56.1,0,361
"01350 Hiekkaharju   (Vantaa )",2,1021,37,984,5154,67.8,1431,3723
"01360 Koivukylä-Havukoski   (Vantaa )",3,831,52,779,6705,63.8,1073,5632
"01370 Jokiniemi   (Vantaa )",0,446,41,405,3100,63.3,728,2372
"01380 Kuusikko-Hakkila   (Vantaa )",2,570,78,492,765,97.5,765,0
"01390 Ruskeasanta-Ilola   (Vantaa )",6,2194,66,2128,3559,92.6,2948,611
"01400 Rekola   (Vantaa )",13,1714,74,1640,3636,82.6,2103,1533
"01420 Päiväkumpu   (Vantaa )",12,1011,25,986,1127,109.4,1127,0
"01450 Korso   (Vantaa )",18,3430,218,3212,8726,76.9,4487,4239
"01480 Mikkola   (Vantaa )",14,932,62,870,3065,75.5,976,2089
"01490 Nikinmäki   (Sipoo )",24,1189,49,1140,1379,117.0,1343,36
"01510 Kirkonkylä-Veromäki   (Vantaa )",5,664,255,409,3051,64.4,563,2488
"01520 Tammisto   (Vantaa )",0,397,30,367,3588,68.8,866,2722
"01530 Veromiehenkylä   (Vantaa )",0,240,215,25,399,52.2,25,374
"01600 Myyrmäki   (Vantaa )",0,355,80,275,9287,62.4,115,9172
"01610 Kaivoksela   (Vantaa )",3,276,56,220,2645,61.4,301,2344
"01620 Martinlaakso   (Vantaa )",1,592,75,517,6176,69.2,915,5261
"01630 Hämeenkylä   (Vantaa )",2,371,25,346,861,91.3,844,17
"01640 Hämevaara   (Vantaa )",2,655,24,631,1464,83.5,668,796
"01650 Vapaala   (Vantaa )",3,740,37,703,1957,84.0,892,1065
"01660 Varisto   (Vantaa )",3,409,16,393,1087,80.3,936,151
"01670 Vantaanlaakso   (Vantaa )",124,512,36,476,1214,88.5,977,237
"01680 Askisto   (Vantaa )",2,578,23,555,795,100.7,736,59
"01690 Ylästö   (Vantaa )",13,1205,40,1165,1598,105.6,1542,56
"01700 Kivistö   (Vantaa )",3,989,37,952,1242,106.9,1144,98
"01710 Pähkinärinne   (Vantaa )",0,152,9,143,2677,63.3,299,2378
"01720 Petikko   (Vantaa )",4,116,102,14,32,66.9,20,12
"01730 Vantaanpuisto   (Vantaa )",246,664,86,578,1093,91.3,677,416
"01740 Tuupakan teollisuusalue   (Vantaa )",5,192,97,95,108,113.4,108,0
"01750 Keimola   (Vantaa )",27,382,46,336,329,119.6,329,0
"01760 Seutula   (Vantaa )",110,887,79,808,901,96.9,831,70
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,4,4,0,0,0.0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",89,1746,241,1505,3568,87.6,2080,1488
"01810 Luhtajoki   (Nurmijärvi )",12,293,41,252,272,119.9,269,3
"01820 Haikala   (Nurmijärvi )",6,656,34,622,1331,102.2,1261,70
"01830 Lepsämä   (Nurmijärvi )",57,947,101,846,890,121.9,890,0
"01840 Klaukkala   (Nurmijärvi )",9,1045,87,958,1557,108.3,1414,143
"01860 Perttula   (Nurmijärvi )",103,933,118,815,836,122.3,821,15
"01900 Nurmijärvi Keskus   (Nurmijärvi )",49,2369,409,1960,4204,89.3,2524,1680
"01940 Palojoki   (Nurmijärvi )",31,344,44,300,306,113.6,306,0
"02100 Tapiola   (Espoo )",0,289,84,205,2805,65.4,297,2508
"02110 Otsolahti   (Espoo )",0,137,15,122,1656,65.4,252,1404
"02120 Länsikorkee-Hakalehto   (Espoo )",0,136,14,122,1719,64.5,196,1523
"02130 Pohjois-Tapiola   (Espoo )",1,807,77,730,2764,88.9,1409,1355
"02140 Laajalahti-Friisinmäki   (Espoo )",46,669,27,642,1477,95.2,1052,425
"02150 Otaniemi   (Espoo )",0,187,143,44,1810,47.5,22,1788
"02160 Westend   (Espoo )",70,621,37,584,1364,127.7,907,457
"02170 Haukilahti   (Espoo )",1,521,45,476,2862,89.3,1184,1678
"02180 Mankkaa   (Espoo )",0,1408,63,1345,2504,103.1,2391,113
"02200 Niittykumpu   (Espoo )",11,1196,173,1023,5086,78.4,1688,3398
"02210 Olari-Kuitinmäki   (Espoo )",107,772,62,710,5672,75.4,1487,4185
"02230 Matinkylä   (Espoo )",65,1425,133,1292,10522,69.8,2018,8504
"02240 Friisilä   (Espoo )",5,616,42,574,780,122.7,705,75
"02260 Iivisniemi   (Espoo )",10,554,28,526,1654,86.8,970,684
"02270 Suomenoja   (Espoo )",6,722,182,540,860,103.7,860,0
"02280 Puolarmetsä   (Espoo )",3,649,33,616,1825,83.4,1268,557
"02290 Puolarmetsän sairaala   (Espoo )",0,1,1,0,0,0.0,0,0
"02300 Nöykkiö   (Espoo )",4,763,30,733,877,128.4,877,0
"02320 Kivenlahti   (Espoo )",3,975,97,878,8490,71.8,1670,6820
"02330 Kattilalaakso   (Espoo )",26,1759,99,1660,3506,98.8,2008,1498
"02340 Latokaski   (Espoo )",2,970,30,940,1839,91.2,1839,0
"02360 Espoonlahti   (Espoo )",42,1110,61,1049,4654,85.0,1600,3054
"02380 Suvisaaristo   (Espoo )",334,306,33,273,271,167.4,271,0
"02400 Kirkkonummi Keskus   (Kirkkonummi )",302,2641,200,2441,5736,90.2,3432,2304
"02410 Gesterby   (Kirkkonummi )",0,174,5,169,1292,65.7,290,1002
"02420 Jorvas   (Kirkkonummi )",326,690,74,616,718,141.7,688,30
"02430 Masala   (Kirkkonummi )",7,649,75,574,1877,81.6,1225,652
"02440 Luoma   (Kirkkonummi )",48,284,19,265,267,139.5,267,0
"02450 Sundsberg   (Kirkkonummi )",31,340,21,319,649,117.4,637,12
"02460 Kantvik   (Kirkkonummi )",2,393,33,360,761,98.7,451,310
"02470 Upinniemi   (Kirkkonummi )",10,38,14,24,276,64.0,8,268
"02480 Porkkala   (Kirkkonummi )",886,1456,160,1296,1749,119.5,1572,177
"02490 Pikkala   (Siuntio )",18,104,33,71,181,85.3,73,108
"02510 Oitmäki   (Kirkkonummi )",35,229,22,207,225,110.6,220,5
"02520 Lapinkylä   (Kirkkonummi )",45,377,27,350,340,123.3,340,0
"02540 Kylmälä   (Kirkkonummi )",245,306,31,275,270,126.0,269,1
"02550 Evitskog   (Kirkkonummi )",222,385,22,363,360,121.5,359,1
"02570 Siuntio Kirkonkylä   (Siuntio )",419,680,97,583,593,114.8,587,6
"02580 Siuntio Asemanseutu   (Siuntio )",240,1334,189,1145,1498,117.1,1370,128
"02590 Lappers   (Siuntio )",9,117,11,106,99,134.9,99,0
"02600 Etelä-Leppävaara   (Espoo )",2,613,123,490,5723,64.4,508,5215
"02610 Kilo   (Espoo )",1,612,91,521,2660,70.7,792,1868
"02620 Karakallio   (Espoo )",4,958,48,910,3648,78.8,1222,2426
"02630 Nihtisilta   (Espoo )",1,498,94,404,1365,77.0,662,703
"02650 Pohjois-Leppävaara   (Espoo )",0,546,108,438,5885,62.0,410,5475
"02660 Lintuvaara   (Espoo )",2,1278,60,1218,2288,93.5,1594,694
"02680 Uusmäki   (Espoo )",0,324,12,312,832,81.3,438,394
"02700 Suur-Kauniainen   (Kauniainen )",0,1409,78,1331,4120,112.2,2138,1982
"02710 Viherlaakso   (Espoo )",2,928,74,854,2970,78.1,1291,1679
"02720 Laaksolahti-Lähderanta   (Espoo )",2,401,25,376,1417,80.3,729,688
"02730 Laaksolahti   (Espoo )",21,1419,51,1368,1681,125.4,1655,26
"02740 Karvasmäki-Kunnarla   (Espoo )",103,737,154,583,1214,92.9,810,404
"02750 Sepänkylä   (Espoo )",5,1012,37,975,2529,86.5,1382,1147
"02760 Espoon Keskus Itäinen   (Espoo )",0,1152,72,1080,6905,70.3,2244,4661
"02770 Espoon Keskus Läntinen   (Espoo )",1,1448,173,1275,4729,71.8,1822,2907
"02780 Kauklahti   (Espoo )",55,1864,178,1686,3596,93.2,2273,1323
"02810 Kumpyöli-Karhusuo   (Espoo )",6,476,26,450,664,105.6,589,75
"02820 Nupuri-Nuuksio   (Espoo )",351,719,132,587,581,125.7,581,0
"02860 Siikajärvi   (Espoo )",296,319,25,294,303,106.0,303,0
"02880 Veikkola   (Kirkkonummi )",296,1722,109,1613,2230,112.8,2166,64
"02920 Niipperi   (Espoo )",43,1468,237,1231,1852,101.2,1709,143
"02940 Lippajärvi   (Espoo )",68,1902,103,1799,4345,87.2,2996,1349
"02970 Kalajärvi   (Espoo )",59,1174,89,1085,1455,102.9,1309,146
"02980 Lakisto   (Espoo )",91,133,47,86,526,53.7,83,443
"03100 Nummela   (Vihti )",403,3192,449,2743,7283,85.0,4768,2515
"03150 Huhmari   (Vihti )",173,397,36,361,347,119.7,347,0
"03220 Tervalampi   (Vihti )",287,339,66,273,271,119.4,271,0
"03250 Ojakkala   (Vihti )",160,720,83,637,752,118.3,746,6
"03300 Otalampi   (Vihti )",246,1053,81,972,975,115.3,970,5
"03320 Selki   (Vihti )",17,171,23,148,150,114.0,143,7
"03400 Vihti Kirkonkylä   (Vihti )",643,2281,160,2121,2925,99.7,2540,385
"03430 Jokikunta   (Vihti )",191,237,12,225,218,118.0,217,1
"03600 Karkkila Keskus   (Karkkila )",689,2318,331,1987,3492,81.2,2267,1225
"03620 Polari   (Karkkila )",176,788,76,712,1133,87.3,867,266
"03710 Uusitalo   (Karkkila )",108,122,17,105,90,113.7,90,0
"03790 Vihtijärvi   (Vihti )",380,259,21,238,227,115.4,226,1
"03810 Ikkala   (Lohja )",179,299,34,265,322,95.9,321,1
"03850 Pusula   (Lohja )",1501,841,99,742,875,94.9,859,16
"03870 Hyönölä   (Lohja )",74,120,15,105,101,109.2,99,2
"04130 Sipoo   (Sipoo )",171,2379,410,1969,3313,94.3,2151,1162
"04150 Martinkylä   (Sipoo )",29,354,69,285,263,116.3,263,0
"04170 Paippinen   (Sipoo )",42,618,74,544,510,117.8,510,0
"04200 Kerava Keskus   (Kerava )",4,1451,179,1272,6524,69.4,1559,4965
"04220 Ahjo-Kaskela   (Kerava )",1,1026,119,907,2274,82.7,1139,1135
"04230 Pihkaniitty   (Kerava )",0,1428,53,1375,3360,89.0,2140,1220
"04240 Talma   (Sipoo )",28,606,87,519,506,116.4,506,0
"04250 Alikerava   (Kerava )",11,577,219,358,2545,65.7,544,2001
"04260 Savio   (Kerava )",9,1192,100,1092,3071,75.9,1431,1640
"04300 Hyrylä   (Tuusula )",86,2505,553,1952,4860,87.2,2845,2015
"04310 Tuusula Keskus   (Tuusula )",20,805,117,688,1089,106.1,922,167
"04320 Riihikallio   (Tuusula )",3,890,58,832,2173,85.0,1225,948
"04330 Lahela   (Tuusula )",11,711,63,648,818,117.9,800,18
"04340 Mattila   (Tuusula )",3,571,44,527,1045,89.6,654,391
"04350 Nahkela   (Tuusula )",24,256,39,217,217,130.8,217,0
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",35,680,190,490,506,113.5,506,0
"04370 Rusutjärvi   (Tuusula )",164,377,53,324,314,121.5,314,0
"04380 Tuomala   (Tuusula )",11,280,44,236,237,132.1,234,3
"04390 Jäniksenlinna   (Tuusula )",45,222,21,201,199,118.6,199,0
"04400 Loutti   (Järvenpää )",6,1447,184,1263,5564,72.0,1661,3903
"04410 Järvenpää Keskus   (Järvenpää )",3,1656,168,1488,5011,75.2,2414,2597
"04420 Kyrölä   (Järvenpää )",3,820,40,780,1648,87.7,1532,116
"04430 Kinnari-Mikonkorpi   (Järvenpää )",18,2138,181,1957,3950,90.7,3199,751
"04440 Jamppa   (Järvenpää )",0,924,217,707,2385,72.6,985,1400
"04460 Nummenkylä   (Tuusula )",0,443,18,425,794,92.9,700,94
"04480 Haarajoki   (Mäntsälä )",96,902,118,784,851,116.7,821,30
"04500 Kellokoski   (Tuusula )",45,2007,269,1738,2517,99.2,2044,473
"04530 Ohkola   (Mäntsälä )",60,431,56,375,358,118.9,358,0
"04600 Mäntsälä Keskus   (Mäntsälä )",30,2526,444,2082,4565,84.1,2963,1602
"04620 Kaunismäki   (Mäntsälä )",15,552,66,486,684,112.1,592,92
"04630 Sääksjärvi   (Mäntsälä )",133,450,62,388,368,118.5,368,0
"04660 Numminen   (Mäntsälä )",134,840,133,707,686,120.0,686,0
"04680 Hirvihaara   (Mäntsälä )",44,362,75,287,271,117.1,270,1
"04740 Sälinkää   (Mäntsälä )",281,631,82,549,516,114.3,512,4
"04770 Sahakylä   (Mäntsälä )",41,119,12,107,103,109.9,103,0
"04820 Kaukalampi   (Mäntsälä )",22,144,12,132,122,115.1,121,1
"04840 Hautjärvi   (Mäntsälä )",135,157,24,133,122,106.0,122,0
"04920 Saarentaus   (Mäntsälä )",29,181,36,145,156,103.7,152,4
"04940 Levanto   (Mäntsälä )",91,166,30,136,131,116.7,124,7
"05100 Röykkä   (Nurmijärvi )",205,834,81,753,937,104.6,873,64
"05200 Rajamäki   (Nurmijärvi )",85,2020,243,1777,2871,93.2,2207,664
"05250 Kiljava   (Nurmijärvi )",16,79,11,68,88,94.3,74,14
"05400 Jokela   (Tuusula )",17,2008,205,1803,2795,92.0,2037,758
"05430 Nuppulinna   (Tuusula )",36,485,59,426,430,108.9,430,0
"05440 Hyvinkää   (Hyvinkää )",1,113,15,98,101,130.8,101,0
"05450 Nukari   (Nurmijärvi )",35,505,65,440,444,117.9,440,4
"05460 Hakalanmäki-Hakala   (Hyvinkää )",0,794,109,685,1595,83.5,1042,553
"05470 Palopuro   (Hyvinkää )",8,152,5,147,150,98.9,150,0
"05510 Päivärinta   (Hyvinkää )",33,202,21,181,270,80.3,220,50
"05620 Noppo   (Hyvinkää )",89,525,64,461,507,108.9,507,0
"05720 Kytäjä   (Hyvinkää )",48,253,20,233,250,128.6,245,5
"05800 Hyvinkää Keskus   (Hyvinkää )",82,1612,407,1205,5876,65.1,1310,4566
"05810 Martti   (Hyvinkää )",0,1180,130,1050,2103,98.7,1479,624
"05820 Mustamännistö   (Hyvinkää )",12,1521,121,1400,2460,84.0,1623,837
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",1,1619,103,1516,3751,78.0,2063,1688
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",6,831,121,710,1849,83.0,1211,638
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,4,4,0,0,0.0,0,0
"05860 Talvisilta   (Hyvinkää )",0,302,8,294,709,80.4,341,368
"05880 Paavola-Vaivero   (Hyvinkää )",0,427,61,366,1927,71.3,543,1384
"05900 Vieremä   (Hyvinkää )",0,557,47,510,2263,71.1,596,1667
"05950 Ridasjärvi   (Hyvinkää )",144,221,52,169,188,99.3,184,4
"06100 Porvoo Keskus   (Porvoo )",28,3657,410,3247,10067,76.8,3867,6200
"06150 Kevätkumpu   (Porvoo )",5,1278,231,1047,3016,78.7,1436,1580
"06200 Porvoo itäinen   (Porvoo )",1054,1305,147,1158,1133,117.8,1099,34
"06400 Gammelbacka   (Porvoo )",17,1360,75,1285,3451,81.4,1880,1571
"06450 Eestinmäki-Ernestas   (Porvoo )",2,559,131,428,975,86.8,532,443
"06500 Saksala-Suomenkylä   (Porvoo )",78,1004,93,911,920,114.2,910,10
"06530 Kerkkoo   (Porvoo )",19,342,35,307,336,108.2,330,6
"06650 Hamari   (Porvoo )",6,503,29,474,661,95.7,605,56
"06750 Tolkkinen   (Porvoo )",63,690,84,606,722,104.7,706,16
"06830 Kulloonkylä   (Porvoo )",85,518,68,450,457,117.3,456,1
"06850 Kulloo   (Porvoo )",16,387,370,17,12,86.7,12,0
"06880 Kärrby   (Sipoo )",536,231,36,195,178,116.3,175,3
"06950 Emäsalo   (Porvoo )",448,268,42,226,214,113.2,214,0
"07110 Hinthaara   (Porvoo )",64,607,46,561,590,114.0,590,0
"07130 Anttila   (Porvoo )",64,308,30,278,268,116.2,267,1
"07150 Laukkoski   (Pornainen )",266,481,55,426,392,114.6,392,0
"07170 Keski-Pornainen   (Pornainen )",118,930,136,794,971,108.0,924,47
"07190 Halkia   (Pornainen )",104,685,109,576,555,120.6,553,2
"07220 Kaarenkylä   (Porvoo )",26,161,10,151,146,116.4,146,0
"07230 Monninkylä   (Askola )",115,658,118,540,684,101.5,677,7
"07280 Ilola   (Porvoo )",147,435,66,369,370,111.7,359,11
"07310 Sannainen   (Porvoo )",57,191,29,162,158,125.5,158,0
"07320 Jakari-Sannäs   (Porvoo )",72,229,22,207,205,109.2,205,0
"07350 Gäddrag   (Porvoo )",53,51,3,48,41,102.9,41,0
"07360 Tirmo   (Porvoo )",132,44,9,35,32,103.8,32,0
"07370 Pellinki   (Porvoo )",497,121,33,88,77,103.7,77,0
"07390 Suurpellinki   (Porvoo )",129,63,7,56,53,117.1,53,0
"07410 Kråkö   (Porvoo )",57,203,26,177,164,116.1,164,0
"07450 Voolahti   (Porvoo )",88,230,31,199,202,109.0,192,10
"07500 Askola Kirkonkylä   (Askola )",32,413,41,372,494,98.2,494,0
"07510 Vakkola   (Askola )",57,360,59,301,294,101.1,279,15
"07530 Onkimaa   (Askola )",57,201,27,174,149,97.4,149,0
"07550 Torpinkylä   (Pukkila )",56,153,13,140,135,105.9,135,0
"07560 Pukkila Keskus   (Pukkila )",168,695,103,592,692,94.7,678,14
"07565 Kantele   (Pukkila )",70,170,20,150,123,108.9,123,0
"07580 Tiilää   (Askola )",14,52,14,38,37,115.8,37,0
"07590 Huuvari-Tiilää   (Askola )",131,326,44,282,274,115.7,274,0
"07600 Myrskylä Keskus   (Myrskylä )",410,935,145,790,857,98.1,857,0
"07680 Juornaankylä   (Askola )",169,291,31,260,255,102.2,252,3
"07690 Kankkila   (Myrskylä )",72,102,15,87,67,108.3,67,0
"07700 Koskenkylän saha-alue   (Loviisa )",61,471,66,405,580,93.5,506,74
"07720 Malmgård   (Loviisa )",7,55,7,48,50,82.9,46,4
"07740 Gammelby   (Loviisa )",128,245,31,214,198,113.8,192,6
"07750 Isnäs   (Loviisa )",601,334,64,270,310,94.6,289,21
"07780 Härkäpää   (Loviisa )",478,172,27,145,113,96.7,113,0
"07800 Lapinjärvi Keskus   (Lapinjärvi )",44,408,80,328,510,82.6,507,3
"07810 Ingermaninkylä   (Lapinjärvi )",60,193,45,148,142,94.5,133,9
"07820 Porlammi   (Lapinjärvi )",164,335,41,294,293,92.6,289,4
"07830 Pukaro   (Lapinjärvi )",57,200,28,172,148,102.7,148,0
"07840 Lindkoski   (Lapinjärvi )",20,134,13,121,98,124.7,98,0
"07850 Heikinkylä   (Lapinjärvi )",24,173,17,156,143,112.0,143,0
"07870 Skinnarby   (Loviisa )",67,276,30,246,220,103.3,220,0
"07880 Liljendal Keskus   (Loviisa )",158,546,77,469,526,93.7,526,0
"07890 Mickelspiltom   (Loviisa )",42,125,12,113,101,105.8,101,0
