"Postal code area","Households, total, 2014 (TE)","Average size of households, 2014 (TE)","Occupancy rate, 2014 (TE)","Young single persons, 2014 (TE)","Young couples without children, 2014 (TE)","Households with children, 2014 (TE)","Households with small children, 2014 (TE)","Households with children under school age, 2014 (TE)","Households with school-age children, 2014 (TE)","Households with teenagers, 2014 (TE)","Adult households, 2014 (TE)","Pensioner households, 2014 (TE)","Households living in owner-occupied dwellings, 2014 (TE)","Households living in rented dwellings, 2014 (TE)","Households living in other dwellings, 2014 (TE)"
"Finland",2617780,2.0,39.9,263763,118253,577750,155522,288434,255335,222133,1268154,782810,1698803,862162,56815
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",9874,1.7,39.1,2039,863,1206,422,714,443,308,6368,2343,4615,4905,354
"00120 Punavuori   (Helsinki )",3819,1.8,39.4,700,339,538,177,315,207,134,2438,865,1942,1760,117
"00130 Kaartinkaupunki   (Helsinki )",793,1.9,44.4,124,74,117,36,58,45,37,505,176,416,336,41
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4353,1.8,42.1,748,346,652,176,332,262,198,2653,1064,2185,1973,195
"00150 Eira - Hernesaari   (Helsinki )",5629,1.6,34.5,1429,455,672,247,417,214,145,3949,1029,2800,2563,266
"00160 Katajanokka   (Helsinki )",2301,1.9,40.7,161,135,432,124,226,173,132,1116,761,1173,1036,92
"00170 Kruununhaka   (Helsinki )",3951,1.8,38.6,649,290,639,179,357,229,175,2422,911,2053,1751,147
"00180 Kamppi - Ruoholahti   (Helsinki )",7196,1.8,33.9,1278,636,1082,337,586,392,336,4788,1352,2835,4181,180
"00190 Suomenlinna   (Helsinki )",321,2.4,30.9,9,9,111,27,53,54,38,150,65,12,303,6
"00200 Lauttasaari   (Helsinki )",8384,1.8,34.2,1480,713,1399,514,864,501,336,4977,2042,4684,3418,282
"00210 Vattuniemi   (Helsinki )",3895,1.9,37.6,369,282,769,278,465,282,163,1957,1181,2633,1141,121
"00220 Jätkäsaari   (Helsinki )",1437,1.9,30.1,345,251,291,133,207,72,52,1029,122,290,1142,5
"00230 Ilmala   (Helsinki )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",2764,1.9,34.2,234,221,419,134,234,141,132,1562,784,1168,1548,48
"00250 Taka-Töölö   (Helsinki )",6678,1.6,34.0,1623,664,716,245,420,241,185,4631,1349,3077,3355,246
"00260 Keski-Töölö   (Helsinki )",3061,1.7,39.1,541,223,316,114,197,103,75,1830,921,1477,1452,132
"00270 Pohjois-Meilahti   (Helsinki )",4442,1.7,31.6,983,356,658,185,360,280,209,2905,888,1841,2477,124
"00280 Ruskeasuo   (Helsinki )",1593,1.7,31.9,270,165,226,73,135,82,58,972,399,804,759,30
"00290 Meilahden sairaala-alue   (Helsinki )",101,1.5,43.1,16,6,9,4,6,1,2,75,17,37,64,0
"00300 Pikku Huopalahti   (Helsinki )",2912,2.0,31.9,252,174,638,199,333,275,223,1574,714,988,1888,36
"00310 Kivihaka   (Helsinki )",547,1.6,32.3,109,33,66,26,49,13,16,363,119,309,222,16
"00320 Etelä-Haaga   (Helsinki )",5942,1.6,32.1,1665,453,694,264,416,245,164,4091,1168,2836,2939,167
"00330 Munkkiniemi   (Helsinki )",4635,1.8,39.4,566,246,827,213,402,340,299,2149,1685,2363,2084,188
"00340 Kuusisaari-Lehtisaari   (Helsinki )",734,2.3,53.4,36,18,199,38,78,90,92,292,251,545,145,44
"00350 Munkkivuori-Niemenmäki   (Helsinki )",5311,1.7,31.8,953,298,894,253,482,363,267,3229,1198,2433,2749,129
"00360 Pajamäki   (Helsinki )",1130,1.6,31.1,197,81,137,49,80,40,34,718,275,654,454,22
"00370 Reimarla   (Helsinki )",3214,2.0,33.3,363,213,703,234,406,275,213,1653,866,1349,1818,47
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",2334,1.9,32.0,212,211,470,153,271,172,162,1426,441,594,1712,28
"00390 Konala   (Helsinki )",3204,1.9,33.1,477,200,668,211,358,252,209,1883,665,1693,1414,97
"00400 Pohjois-Haaga   (Helsinki )",5424,1.7,30.7,870,360,762,279,453,255,208,3181,1492,2282,3024,118
"00410 Malminkartano   (Helsinki )",4076,2.1,30.7,344,392,912,264,471,348,342,2519,655,1436,2596,44
"00420 Kannelmäki   (Helsinki )",7530,1.8,32.7,917,396,1296,361,653,493,463,4284,1978,3200,4162,168
"00430 Maununneva   (Helsinki )",1933,2.5,36.2,72,80,653,143,297,278,272,811,484,1380,491,62
"00440 Lassila   (Helsinki )",2482,1.8,33.2,283,170,352,135,217,131,91,1335,795,1334,1109,39
"00500 Sörnäinen   (Helsinki )",8892,1.4,28.4,3044,882,431,196,292,103,76,7462,1004,3324,5317,251
"00510 Etu-Vallila - Alppila   (Helsinki )",6095,1.4,28.7,1883,568,396,188,282,95,51,4807,897,2512,3380,203
