"Postal code area","Households, total, 2016 (TE)","Average size of households, 2016 (TE)","Occupancy rate, 2016 (TE)","Young single persons, 2016 (TE)","Young couples without children, 2016 (TE)","Households with children, 2016 (TE)","Households with small children, 2016 (TE)","Households with children under school age, 2016 (TE)","Households with school-age children, 2016 (TE)","Households with teenagers, 2016 (TE)","Adult households, 2016 (TE)","Pensioner households, 2016 (TE)","Households living in owner-occupied dwellings, 2016 (TE)","Households living in rented dwellings, 2016 (TE)","Households living in other dwellings, 2016 (TE)"
"26410 Kaaro   (Rauma )",586,2.7,41.8,15,12,241,51,124,137,79,220,125,570,13,3
"26510 Uotila   (Rauma )",1194,2.2,45.4,58,36,294,63,132,136,131,492,410,985,194,15
"26560 Kolla   (Rauma )",282,2.5,47.7,6,8,78,19,44,34,28,117,88,276,4,2
"26660 Paroalho   (Rauma )",2552,1.9,43.0,242,102,463,117,213,210,181,1219,876,1843,678,31
"26720 Monnanummi   (Rauma )",137,2.6,45.8,3,4,59,6,19,35,26,49,29,125,12,0
"26740 Vasarainen   (Rauma )",228,2.4,47.5,7,9,64,16,25,28,26,99,66,225,2,1
"26820 Sampaanala   (Rauma )",814,1.9,41.7,86,37,148,32,61,64,62,422,246,589,216,9
"26840 Kortela   (Rauma )",347,2.3,45.3,12,6,92,20,35,46,45,131,124,310,32,5
"26910 Unaja   (Rauma )",265,2.6,43.1,4,9,92,13,37,50,43,89,85,258,1,6
"26930 Vermuntila   (Rauma )",255,2.3,46.8,8,3,65,18,31,32,25,104,92,247,4,4
"26950 Voiluoto   (Rauma )",171,2.3,49.1,5,7,43,9,15,21,20,74,57,168,0,3
"27100 Eurajoki Keskus   (Eurajoki )",1472,2.2,46.1,62,47,396,92,183,191,157,526,556,1220,233,19
"27110 Irjanne   (Eurajoki )",252,2.3,43.4,15,7,64,15,30,43,19,114,75,235,12,5
"27130 Eurajoki asemanseutu   (Eurajoki )",147,2.2,48.2,4,4,29,5,15,17,11,65,54,137,6,4
"27150 Lapijoki   (Eurajoki )",591,2.3,42.9,31,23,139,32,68,72,53,274,184,508,27,56
"27160 Olkiluoto   (Eurajoki )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"27170 Kuivalahti   (Eurajoki )",166,2.1,47.3,2,2,34,3,13,11,17,61,72,153,7,6
"27220 Ala-Kieri   (Rauma )",257,2.4,44.4,6,3,71,14,34,39,30,95,93,249,3,5
"27230 Lappi   (Rauma )",939,2.2,47.4,48,18,233,61,124,106,85,354,355,787,135,17
"27250 Kodiksami   (Rauma )",67,2.1,49.2,3,1,17,1,6,6,10,21,29,61,2,4
"27260 Kuolimaa   (Rauma )",89,2.1,52.5,0,1,17,3,4,10,12,31,43,86,0,3
"27310 Kodisjoki   (Rauma )",226,2.3,45.3,8,7,57,13,30,26,21,86,83,206,17,3
"27320 Ihode   (Pyhäranta )",335,2.3,46.2,15,7,96,20,41,37,47,125,114,302,28,5
"27340 Reila   (Pyhäranta )",214,2.2,49.2,6,3,46,12,23,25,13,95,76,205,4,5
"27400 Kiukainen Keskus   (Eura )",590,2.1,47.8,34,11,126,32,52,58,56,241,226,483,97,10
"27420 Panelia Asemanseutu   (Eura )",118,2.2,51.9,1,2,23,6,13,14,8,50,48,114,1,3
"27430 Panelia   (Eura )",578,2.1,47.4,27,20,118,30,59,52,50,226,239,483,83,12
"27450 Harola   (Eura )",99,2.1,51.2,4,3,22,7,14,6,8,41,37,94,3,2
"27500 Kauttua   (Eura )",1591,2.1,45.5,159,56,369,92,176,186,139,730,494,1206,360,25
"27510 Eura Keskus   (Eura )",2016,2.0,46.8,103,54,401,112,189,188,177,775,846,1623,353,40
"27600 Hinnerjoki   (Eura )",353,2.1,48.4,21,7,71,16,38,36,31,133,151,312,37,4
"27640 Honkilahti kk   (Eura )",140,2.2,47.3,4,6,24,8,10,11,13,51,65,138,1,1
"27650 Honkilahti   (Eura )",164,1.9,51.5,10,4,26,4,11,12,12,63,77,143,18,3
"27670 Mannila   (Eura )",77,2.1,53.2,2,0,17,4,7,6,6,19,41,75,0,2
"27710 Köyliö Keskus   (Säkylä )",530,2.0,46.7,35,9,107,25,42,51,45,200,226,422,96,12
"27730 Tuiskula   (Säkylä )",86,2.4,46.1,1,4,19,8,11,7,8,35,34,79,7,0
"27740 Voitoinen   (Säkylä )",79,2.0,46.5,2,2,16,1,7,9,6,32,31,72,5,2
"27750 Yttilä   (Säkylä )",167,1.9,51.5,2,0,30,4,13,12,15,66,72,161,3,3
"27800 Säkylä Keskus   (Säkylä )",1542,2.0,50.3,77,23,294,61,135,143,122,601,651,1210,292,40
"27820 Iso-Vimma   (Säkylä )",360,2.0,49.5,28,6,65,19,36,30,28,165,131,315,41,4
"27840 Kakkuri   (Säkylä )",211,2.0,52.9,12,1,38,13,17,12,14,85,90,185,24,2
"27860 Vuori   (Säkylä )",152,2.3,48.4,4,5,35,6,14,14,19,54,65,145,4,3
"27910 Huovinrinne   (Säkylä )",110,1.5,41.8,25,7,16,6,9,7,4,78,16,48,57,5
"27920 Otajoki   (Säkylä )",128,2.1,50.5,8,4,24,3,11,10,15,55,49,122,2,4
"28100 Pori Keskus   (Pori )",8586,1.4,41.2,1880,482,627,163,301,237,203,4652,3317,3805,4586,195
"28120 Käppärä-Isomäki   (Pori )",2048,1.7,38.8,400,91,335,57,112,151,154,1158,559,1144,846,58
"28130 Impola   (Pori )",3814,1.7,38.6,827,294,520,139,251,195,200,2305,995,1769,1927,118
"28190 Pormestarinluoto   (Pori )",2157,1.7,41.3,249,85,332,91,178,139,117,998,833,1152,976,29
"28200 Toejoki   (Pori )",2144,2.3,43.6,87,90,599,151,299,282,231,866,688,1848,249,47
"28220 Ruosniemi   (Pori )",2059,2.4,41.3,136,105,684,171,351,331,267,892,491,1812,209,38
"28240 Isojoenranta   (Pori )",331,2.3,47.0,13,13,90,24,44,44,34,130,111,300,24,7
"28260 Harjunpää   (Ulvila )",402,2.5,44.3,12,7,118,38,67,57,50,164,122,379,19,4
"28300 Kalaholma-Väinölä   (Pori )",1070,2.4,44.7,20,48,340,69,151,162,154,451,283,999,47,24
"28330 Koivistonluoto   (Pori )",1448,1.9,41.5,188,69,299,84,153,116,117,739,412,913,506,29
"28360 Vanhakoivisto   (Pori )",2196,1.9,43.2,189,82,419,94,191,169,174,940,847,1661,496,39
"28370 Sampola   (Pori )",1923,1.6,42.2,185,54,239,64,112,91,89,845,846,1006,876,41
"28400 Ulvila Keskus   (Ulvila )",2680,2.1,45.2,145,80,645,147,311,286,271,1065,981,2168,476,36
"28430 Kartano-Harmaalinna   (Pori )",693,2.4,42.6,32,40,192,47,104,93,66,328,176,593,84,16
"28450 Vanha-Ulvila   (Ulvila )",1919,2.2,45.3,104,53,522,120,230,254,211,736,664,1520,377,22
"28500 Keskussairaala-alue-Tiilimäki   (Pori )",580,1.3,35.5,139,25,39,13,19,11,10,313,228,168,407,5
"28540 Pinomäki   (Pori )",269,2.4,45.2,15,14,75,9,23,42,38,135,61,238,27,4
"28560 Lattomeri   (Pori )",206,2.3,45.9,10,9,61,15,29,33,24,83,62,196,2,8
"28580 Niittymaa   (Pori )",244,2.4,47.4,5,8,60,17,29,24,20,102,84,224,13,7
"28600 Vähärauma   (Pori )",2263,2.2,43.5,285,149,691,192,361,328,233,1037,539,1707,513,43
"28610 Musa-Tiiliruukki   (Pori )",1904,2.0,42.4,190,80,420,110,206,182,165,960,530,1419,444,41
"28660 Pietniemi-Leppäkorpi   (Pori )",1691,2.3,44.7,103,83,475,122,238,224,185,733,491,1412,255,24
"28760 Kyläsaari   (Pori )",968,2.3,44.8,37,29,275,55,123,132,129,387,311,885,61,22
"28800 Pihlava   (Pori )",2146,2.0,43.2,113,49,447,111,219,236,155,919,786,1664,444,38
"28840 Yyteri-Kaanaa   (Pori )",429,2.1,43.9,24,8,76,17,36,45,28,192,165,361,58,10
"28880 Mäntyluoto   (Pori )",240,1.7,43.9,10,4,21,5,8,10,11,116,104,152,81,7
"28900 Tahkoluoto-Reposaari   (Pori )",530,1.9,47.9,10,6,70,14,28,38,36,186,276,384,125,21
"29100 Luvia Keskus   (Eurajoki )",1314,2.3,47.1,32,29,377,97,189,186,144,443,502,1136,143,35
"29180 Peränkylä   (Eurajoki )",124,2.1,50.2,1,3,23,8,9,13,13,44,59,120,3,1
"29200 Harjavalta Keskus   (Harjavalta )",3758,1.9,47.5,283,78,704,174,316,313,297,1566,1496,2785,873,100
"29250 Nakkila Keskus   (Nakkila )",2257,2.1,47.0,162,57,512,111,228,244,225,888,863,1845,373,39
"29270 Hormisto   (Nakkila )",207,2.1,50.1,8,5,41,4,21,20,19,72,96,198,3,6
"29280 Järvimaa   (Nakkila )",134,2.1,50.5,1,3,32,10,15,15,11,48,54,126,1,7
"29310 Kaasmarkku   (Ulvila )",248,2.3,47.2,10,5,63,17,38,25,27,93,92,228,14,6
"29320 Leineperi   (Ulvila )",94,2.5,41.1,2,2,30,2,6,14,19,34,30,89,5,0
"29340 Kullaa Keskus   (Ulvila )",436,2.1,47.1,20,7,84,25,43,45,26,191,161,378,49,9
"29350 Palus   (Ulvila )",138,2.2,47.9,3,3,32,11,20,15,13,45,61,137,1,0
"29570 Söörmarkku   (Pori )",376,2.6,46.5,7,6,146,37,81,69,57,111,120,357,10,9
"29600 Noormarkku Keskus   (Pori )",2097,2.2,47.1,72,56,527,120,247,272,217,824,757,1757,304,36
"29630 Pomarkku Keskus   (Pomarkku )",886,2.1,45.8,28,9,195,54,84,87,86,310,386,705,156,25
"29640 Honkakoski   (Pomarkku )",133,2.1,49.1,4,2,26,4,9,11,16,50,59,121,7,5
"29680 Kairila   (Pori )",142,2.1,47.0,1,0,23,3,8,13,10,47,73,130,8,4
"29700 Ahlainen   (Pori )",388,2.0,45.6,9,2,70,16,29,27,36,122,200,349,28,11
"29720 Lamppi   (Pori )",94,2.1,44.8,3,5,15,5,9,9,6,31,48,89,2,3
"29740 Etelämaa   (Merikarvia )",37,2.5,46.5,0,0,8,3,3,5,3,13,18,36,0,1
"29750 Pohjansaha   (Merikarvia )",52,2.2,42.3,4,0,8,2,3,8,4,19,26,49,2,1
"29760 Köörtilä   (Merikarvia )",40,2.0,48.8,1,0,4,2,2,2,3,15,21,37,1,2
"29790 Tuorila   (Merikarvia )",144,2.2,50.5,4,1,24,13,15,9,9,56,66,135,5,4
"29810 Siikainen Keskus   (Siikainen )",442,1.9,46.5,11,7,58,13,27,25,29,177,211,337,96,9
"29830 Sammi   (Siikainen )",78,2.4,44.9,1,0,18,4,8,8,9,29,32,76,1,1
"29860 Otamo   (Siikainen )",60,2.4,40.0,1,0,11,4,6,5,6,20,30,55,3,2
"29880 Leväsjoki-Saarineva   (Siikainen )",93,2.1,48.1,1,0,18,4,6,5,11,35,44,81,10,2
"29900 Merikarvia Keskus-Rannikko   (Merikarvia )",1112,2.0,46.1,34,12,185,49,81,85,83,429,507,799,285,28
"29940 Kuvaskangas   (Merikarvia )",125,2.1,52.1,3,2,22,8,10,8,10,38,65,117,4,4
"30100 Forssa Keskus   (Tammela )",5442,1.9,44.7,496,167,945,186,397,443,438,2364,2157,3916,1396,130
"30300 Viksberg   (Forssa )",1552,1.6,39.6,229,50,189,48,84,89,70,850,515,765,759,28
"30420 Tölö   (Forssa )",2485,1.9,41.7,235,77,470,123,221,207,185,1122,899,1772,679,34
"31110 Matku   (Forssa )",269,2.1,48.3,12,3,63,15,30,21,27,112,97,239,17,13
"31130 Koijärvi   (Forssa )",118,2.2,48.1,3,3,21,4,8,10,12,49,48,108,8,2
"31140 Menonen   (Urjala )",81,2.2,50.5,3,0,21,4,9,10,5,24,39,76,2,3
"31160 Nuutajärvi   (Urjala )",153,1.8,49.4,9,1,17,3,5,8,6,74,62,107,38,8
"31170 Savijoki   (Forssa )",99,2.0,52.5,2,3,16,5,9,6,5,39,46,90,4,5
"31230 Susikas   (Tammela )",91,2.2,47.4,1,1,18,5,7,10,8,39,37,88,2,1
"31250 Teuro   (Tammela )",101,2.1,54.0,6,2,18,9,14,4,4,45,41,97,2,2
"31300 Tammela Keskus   (Tammela )",1490,2.1,45.9,71,40,334,57,134,175,153,569,591,1121,338,31
"31310 Mustiala   (Tammela )",40,1.9,54.6,3,0,5,1,2,3,1,21,14,33,7,0
"31340 Porras   (Tammela )",244,2.3,48.0,9,5,60,12,26,31,30,96,91,231,7,6
"31350 Vistinkoski   (Tammela )",121,2.1,45.0,1,1,25,6,10,15,8,40,56,110,8,3
"31370 Eerikkilän Urheiluopisto   (Tammela )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"31380 Letku-Torro   (Tammela )",141,2.4,47.0,1,3,34,7,16,17,13,62,48,133,4,4
"31400 Somero Keskus   (Somero )",3195,1.9,46.0,187,71,563,126,250,275,262,1204,1439,2441,664,90
"31410 Ylöpirtti   (Somero )",176,2.1,52.5,6,2,37,10,19,14,15,75,67,169,7,0
"31450 Häntälä   (Somero )",154,2.3,49.5,3,4,37,10,15,17,18,71,48,149,2,3
"31460 Hirsjärvi   (Somero )",119,2.0,55.1,4,2,20,5,9,6,8,46,55,109,6,4
"31470 Somerniemi   (Somero )",313,2.2,48.4,8,3,67,11,22,31,42,105,143,283,20,10
"31490 Terttilä   (Somero )",113,2.2,49.5,4,0,26,4,9,9,16,43,44,108,1,4
"31500 Koski Tl   (Koski Tl )",1205,2.0,50.0,57,23,232,47,105,100,104,431,550,982,181,42
"31520 Pitkäjärvi   (Somero )",229,2.3,49.0,4,2,60,17,27,26,28,86,87,211,8,10
"31530 Pyöli   (Somero )",150,2.1,49.9,9,4,28,5,8,15,15,65,60,142,4,4
"31600 Jokioinen Keskus   (Jokioinen )",1745,2.1,44.0,68,33,414,86,184,193,178,703,638,1351,366,28
"31610 Vaulammi   (Jokioinen )",201,2.3,46.7,6,1,45,8,15,20,25,89,68,188,8,5
"31620 Latovainio   (Jokioinen )",183,2.2,48.1,10,6,45,9,15,19,28,71,68,172,9,2
"31630 Minkiö   (Jokioinen )",246,2.3,48.5,11,4,68,13,30,34,32,101,79,228,10,8
"31640 Humppila Keskus   (Humppila )",1000,2.1,46.3,36,20,201,38,79,105,98,415,390,823,159,18
"31650 Venäjänkangas   (Humppila )",123,2.2,52.5,5,2,26,6,11,15,9,62,39,114,7,2
"31700 Urjala Asemanseutu-Hanhisuo   (Urjala )",670,2.1,46.8,23,9,144,30,71,64,67,266,263,568,85,17
"31720 Urjalankylä-Kehro   (Urjala )",186,2.0,48.4,3,2,32,10,14,15,14,70,84,176,8,2
"31730 Honkola   (Urjala )",63,1.9,59.8,4,2,9,0,2,4,4,36,19,57,6,0
"31750 Kehro   (Urjala )",32,1.6,55.5,0,1,1,0,0,1,0,14,17,30,1,1
"31760 Urjala Keskus   (Urjala )",1015,1.8,46.8,75,10,170,37,77,74,69,371,477,644,350,21
"31810 Oriniemi   (Punkalaidun )",179,2.3,51.7,3,1,40,9,22,24,14,62,80,168,4,7
"31830 Halkivaha   (Urjala )",127,2.3,45.2,3,2,31,5,9,19,15,39,59,124,3,0
"31850 Koskioinen   (Punkalaidun )",67,2.2,50.3,2,1,17,3,7,8,10,28,24,63,1,3
"31860 Tursa   (Urjala )",146,2.1,49.2,2,4,23,4,9,10,11,61,65,139,3,4
"31900 Punkalaidun Keskus   (Punkalaidun )",969,1.9,48.6,47,12,137,29,53,69,61,357,480,714,221,34
"31930 Vanttila   (Punkalaidun )",51,2.4,51.8,1,0,14,2,6,3,8,18,20,50,1,0
"31950 Sadonmaa   (Punkalaidun )",73,2.2,51.6,1,1,13,2,7,8,5,26,35,69,2,2
"31960 Orisuo   (Loimaa )",32,2.1,56.3,1,0,7,0,0,3,4,11,15,31,0,1
"31970 Kanteenmaa   (Punkalaidun )",74,2.1,54.5,3,2,12,2,4,6,8,34,31,59,11,4
"32100 Ypäjä Keskus   (Ypäjä )",992,2.0,46.9,64,23,182,40,74,86,92,424,390,785,186,21
"32140 Ypäjä Asemanseutu   (Ypäjä )",137,2.3,47.1,1,2,29,2,8,16,17,62,46,130,2,5
"32200 Loimaa Keskus   (Loimaa )",4333,1.9,45.2,440,145,762,174,347,346,310,1913,1680,3085,1104,144
"32210 Loimaa kk   (Loimaa )",1196,1.9,47.8,79,27,218,43,103,107,93,474,506,913,255,28
"32250 Kojonkulma   (Loimaa )",124,2.5,46.7,3,2,43,9,18,20,24,35,48,116,4,4
"32260 Kojonperä   (Loimaa )",72,2.2,58.7,4,1,11,3,3,7,5,29,33,68,1,3
"32270 Metsämaa-Murto   (Loimaa )",232,2.0,50.6,7,1,35,12,20,21,11,89,109,205,15,12
"32280 Metsäkorpi   (Loimaa )",78,2.2,43.6,4,1,13,4,8,6,5,36,29,70,3,5
"32300 Mellilä   (Loimaa )",636,2.0,47.5,22,10,111,24,44,49,51,263,268,532,77,27
"32410 Niinijoki   (Loimaa )",243,2.3,51.6,6,3,60,11,22,22,37,98,87,229,5,9
"32430 Ylhäinen   (Loimaa )",45,2.1,57.7,0,1,7,2,2,2,4,22,16,44,1,0
"32440 Alastaro Keskus   (Loimaa )",860,2.0,48.3,35,16,154,32,70,73,63,347,362,671,165,24
"32450 Tammiainen   (Loimaa )",116,2.3,47.2,4,4,23,2,9,12,12,42,53,113,1,2
"32500 Oripää Keskus   (Oripää )",545,2.1,44.9,21,9,130,28,61,67,65,178,239,434,92,19
"32520 Latva   (Oripää )",59,2.6,49.7,4,2,16,4,6,7,11,30,14,52,4,3
"32560 Virttaa   (Loimaa )",203,2.2,46.4,6,3,50,13,22,19,23,80,75,180,16,7
"32610 Vampula Keskus   (Huittinen )",496,2.0,49.3,20,10,103,25,44,45,49,177,219,412,75,9
"32620 Rutava   (Huittinen )",191,2.1,48.9,4,5,36,4,15,17,16,75,82,181,2,8
"32700 Huittinen Keskus   (Huittinen )",4007,1.9,47.2,359,107,782,219,378,347,300,1719,1518,2957,974,76
"32710 Sampu   (Huittinen )",263,2.4,49.3,4,6,77,19,36,35,32,103,85,250,10,3
"32730 Keikyä   (Sastamala )",351,2.1,48.3,4,5,65,18,32,29,26,141,149,318,15,18
"32740 Äetsä Keskus   (Sastamala )",957,1.8,47.3,71,22,162,36,72,63,76,416,384,711,226,20
"32760 Suttila   (Huittinen )",84,2.0,52.4,2,0,16,3,8,5,7,44,26,81,2,1
"32770 Huhtamo   (Huittinen )",102,2.2,48.6,5,1,18,6,12,5,4,47,38,97,4,1
"32800 Kokemäki Keskus   (Kokemäki )",2100,1.9,49.0,141,41,355,82,158,178,145,891,864,1605,454,41
"32810 Peipohja   (Kokemäki )",868,2.1,48.0,59,27,188,42,92,88,70,366,317,751,108,9
"32830 Riste   (Kokemäki )",222,2.1,50.0,8,5,41,8,15,17,23,87,95,202,15,5
"32860 Korkeaoja   (Kokemäki )",69,2.2,49.9,2,3,17,4,7,6,7,33,19,66,3,0
"32910 Kauvatsa Asemanseutu   (Kokemäki )",139,2.1,49.4,5,2,30,6,13,15,10,58,53,130,4,5
"32920 Kauvatsa   (Kokemäki )",293,1.9,50.1,9,6,42,6,16,24,19,98,155,257,27,9
"33100 Tampere Keskus   (Tampere )",10446,1.6,36.5,2591,1227,936,289,506,314,255,7118,2411,4553,5662,231
"33180 Lapinniemi-Käpylä   (Tampere )",946,1.8,38.5,128,84,144,37,68,53,43,554,250,493,443,10
"33200 Tampere Keskus Läntinen   (Tampere )",4234,1.5,39.0,1081,331,301,73,143,110,98,2762,1181,1898,2236,100
"33210 Itä-Amuri-Tammerkoski   (Tampere )",3837,1.5,38.6,876,314,298,102,169,98,75,2345,1198,1513,2244,80
"33230 Länsi-Amuri   (Tampere )",3580,1.7,38.4,583,258,448,113,223,189,136,1938,1199,2125,1364,91
"33240 Tahmela   (Tampere )",828,2.0,41.3,114,23,192,37,81,94,78,447,192,566,232,30
"33250 Pispala   (Tampere )",1239,1.9,36.4,236,74,243,54,106,115,93,786,215,656,541,42
"33270 Epilä   (Tampere )",3852,1.9,37.2,489,225,857,236,464,362,271,2052,952,2031,1751,70
"33300 Rahola   (Tampere )",2501,2.0,38.5,325,137,586,163,290,260,212,1284,639,1551,908,42
"33310 Tesoma   (Tampere )",3938,1.8,36.4,377,134,822,215,424,358,291,1828,1294,1969,1903,66
"33330 Myllypuro-Kalkku   (Tampere )",1692,2.0,35.1,251,105,433,138,244,187,140,928,337,801,872,19
"33340 Haukiluoma-Ikuri   (Tampere )",2260,2.3,39.4,122,82,631,179,313,259,227,945,690,1729,499,32
"33380 Pitkäniemi   (Nokia )",2,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"33400 Luoteis-Tampere   (Tampere )",3899,2.1,38.3,459,244,1053,247,498,457,428,1872,989,2211,1635,53
"33410 Lentävänniemi   (Tampere )",2591,1.8,39.1,330,145,427,151,247,154,126,1284,887,1725,805,61
"33420 Lamminpää   (Tampere )",933,2.2,41.3,73,21,249,58,127,108,96,423,268,672,231,30
"33430 Vuorentausta   (Ylöjärvi )",1263,2.3,38.4,62,49,366,110,190,140,135,543,362,1181,67,15
"33450 Siivikkala   (Ylöjärvi )",1132,2.5,42.8,30,48,389,103,195,180,154,465,280,1062,52,18
"33470 Ylöjärvi Keskus   (Ylöjärvi )",3071,2.0,39.2,239,113,717,197,362,281,266,1331,1029,1893,1126,52
"33480 Manninmäki-Haavisto   (Ylöjärvi )",2900,2.5,38.0,147,91,1127,259,537,549,440,1108,676,2240,634,26
"33500 Osmonmäki-Petsamo   (Tampere )",7124,1.6,35.6,1606,679,725,232,413,277,176,4373,2033,3076,3869,179
"33520 Keskussairaala-alue-Kauppi   (Tampere )",545,1.8,34.6,118,42,96,24,53,39,27,338,115,230,307,8
"33530 Kissanmaa   (Tampere )",2840,1.7,37.1,593,203,348,91,172,128,120,1754,747,1353,1436,51
"33540 Kaleva   (Tampere )",5734,1.5,34.0,1663,675,550,164,329,199,138,3983,1205,2104,3518,112
"33560 Takahuhti   (Tampere )",5036,1.9,38.2,569,294,1068,293,521,487,388,2381,1607,2917,2019,100
"33580 Atala-Linnainmaa   (Tampere )",7260,2.1,37.7,755,436,1952,544,1021,836,637,3593,1724,4185,3002,73
"33610 Olkahinen-Tasanne   (Tampere )",1616,2.4,39.4,67,62,522,132,243,217,211,710,390,1429,176,11
"33680 Aitolahti   (Tampere )",678,2.4,48.7,11,8,195,34,78,96,93,218,271,630,27,21
"33700 Messukylä   (Tampere )",827,2.1,37.6,134,85,188,57,94,73,72,446,198,534,274,19
"33710 Kaukajärvi   (Tampere )",8942,2.0,36.4,1111,568,2157,645,1171,925,697,4649,2153,4541,4299,102
"33720 Hervanta   (Tampere )",13998,1.7,33.8,3444,1283,2100,690,1241,871,581,8943,2980,4465,9354,179
"33730 Leinola-Vehmainen   (Tampere )",787,2.4,41.1,40,34,235,61,105,107,99,335,224,700,71,16
"33800 Nekala   (Tampere )",3087,1.7,32.6,798,187,517,150,280,225,155,1940,635,1338,1683,66
"33820 Koivistonkylä   (Tampere )",4316,2.1,38.5,462,249,1093,264,508,470,415,2196,1041,2709,1528,79
"33840 Peltolammi   (Tampere )",1955,1.7,36.9,340,140,286,86,149,120,82,1138,533,1125,780,50
"33850 Multisilta   (Pirkkala )",1344,1.8,37.2,199,67,260,95,149,88,89,739,347,702,623,19
"33870 Vuores   (Lempäälä )",1523,1.9,33.0,470,179,403,166,298,139,54,1020,101,554,939,30
"33880 Höytämö   (Lempäälä )",1688,2.2,41.3,130,48,493,117,245,234,180,739,464,1248,409,31
"33900 Härmälä-Rantaperkiö   (Tampere )",6281,1.7,34.6,1176,683,983,355,564,336,283,4028,1279,2188,3998,95
"33920 Toivio   (Pirkkala )",430,2.9,37.1,6,7,207,49,109,108,69,131,96,400,25,5
"33950 Killo   (Pirkkala )",2660,2.1,39.6,227,148,704,198,387,287,227,1288,678,1730,907,23
"33960 Suuppa   (Pirkkala )",4477,2.3,38.2,268,172,1464,385,733,679,538,1770,1254,3343,1079,55
"33980 Pirkkala kk   (Pirkkala )",530,2.8,44.6,8,9,206,40,98,108,85,184,140,493,25,12
"34110 Lakiala   (Ylöjärvi )",410,3.3,39.7,4,13,196,52,94,113,99,141,73,401,5,4
"34130 Ylinen   (Ylöjärvi )",498,2.5,43.4,29,14,158,30,69,82,82,240,101,412,80,6
"34140 Mutala   (Ylöjärvi )",279,2.8,42.3,5,5,105,25,53,60,43,95,84,256,13,10
"34150 Kyrönlahti   (Ylöjärvi )",166,2.5,43.4,4,5,46,15,24,26,17,61,65,150,10,6
"34180 Länsi-Teisko   (Ylöjärvi )",74,2.1,50.3,2,1,9,3,5,4,4,35,31,64,5,5
"34240 Kämmenteisko   (Tampere )",662,2.6,43.0,9,8,243,52,107,114,110,231,192,512,131,19
"34260 Terälahti   (Tampere )",421,2.1,47.4,12,6,86,21,40,41,36,189,150,348,53,20
"34270 Velaatta   (Tampere )",151,2.0,47.4,7,1,24,2,6,12,16,64,63,139,5,7
"34300 Kuru Keskus   (Ylöjärvi )",767,1.9,44.2,34,10,130,30,58,67,63,320,326,557,191,19
"34320 Parkkuu   (Ylöjärvi )",106,2.0,57.7,3,1,22,2,7,9,13,43,45,99,0,7
"34330 Poikelus   (Ylöjärvi )",108,2.6,44.3,3,2,31,11,16,13,17,43,37,103,0,5
"34410 Murole   (Ruovesi )",87,2.0,43.8,0,2,16,5,7,11,5,34,38,71,12,4
"34420 Muroleen Kanava   (Ruovesi )",22,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"34430 Kekkonen   (Ruovesi )",61,2.1,52.3,1,1,13,2,5,4,8,25,25,50,3,8
"34450 Jäminkipohja   (Ruovesi )",168,2.0,50.5,3,0,24,8,10,10,10,81,67,131,20,17
"34510 Luode   (Ylöjärvi )",45,2.3,38.8,0,0,8,3,5,6,4,13,24,41,0,4
"34530 Länsi-Aure   (Ylöjärvi )",32,2.3,40.5,1,0,9,1,3,7,4,6,17,31,0,1
"34550 Itä-Aure   (Ylöjärvi )",82,1.9,50.3,2,0,8,3,4,2,4,26,48,78,3,1
"34600 Ruovesi Keskus-Nenonen   (Ruovesi )",1347,1.9,45.0,77,21,211,48,91,98,106,521,621,894,398,55
"34640 Mustajärvi   (Ruovesi )",96,2.1,47.9,2,2,23,6,9,11,9,29,46,89,3,4
"34710 Vaskivesi   (Virrat )",151,2.4,46.9,3,1,37,5,14,19,19,44,74,139,6,6
"34730 Vaskuu   (Virrat )",49,2.0,45.2,0,1,8,1,2,4,4,17,26,48,0,1
"34740 Koro   (Virrat )",39,2.0,52.8,1,0,6,3,3,1,3,8,25,37,0,2
"34770 Kurjenkylä   (Virrat )",102,2.2,45.8,2,1,20,3,6,8,13,36,46,92,6,4
"34800 Virrat Keskus   (Virrat )",2424,1.8,46.0,171,46,378,88,176,176,165,922,1135,1623,732,69
"34870 Visuvesi   (Ruovesi )",281,2.0,44.1,10,0,43,9,20,17,20,100,141,214,53,14
"34910 Äijänneva   (Virrat )",46,2.3,44.0,0,1,6,0,3,3,2,21,20,39,4,3
"34930 Liedenpohja   (Virrat )",134,2.2,47.3,2,0,31,4,13,13,15,41,67,126,5,3
"34950 Ohtola   (Virrat )",87,2.4,42.5,0,0,22,6,12,11,7,22,45,85,0,2
"34970 Toisvesi   (Virrat )",50,2.3,46.4,0,2,11,3,5,6,7,20,22,48,1,1
"34980 Killinkoski   (Virrat )",201,1.8,46.9,10,4,28,5,13,13,9,83,92,146,51,4
"35100 Orivesi Asemanseutu   (Orivesi )",1295,2.2,43.9,59,40,339,77,164,178,130,550,411,1101,169,25
"35220 Eräjärvi   (Orivesi )",261,2.0,47.2,5,3,36,3,12,23,22,90,139,206,34,21
"35240 Ristakallio   (Orivesi )",85,2.2,47.2,3,2,17,8,9,6,6,37,32,83,0,2
"35260 Leväslahti   (Orivesi )",8,..,..,..,..,..,..,..,..,..,..,..,..,..,..
