"Postal code area","Households, total, 2016 (TE)","Average size of households, 2016 (TE)","Occupancy rate, 2016 (TE)","Young single persons, 2016 (TE)","Young couples without children, 2016 (TE)","Households with children, 2016 (TE)","Households with small children, 2016 (TE)","Households with children under school age, 2016 (TE)","Households with school-age children, 2016 (TE)","Households with teenagers, 2016 (TE)","Adult households, 2016 (TE)","Pensioner households, 2016 (TE)","Households living in owner-occupied dwellings, 2016 (TE)","Households living in rented dwellings, 2016 (TE)","Households living in other dwellings, 2016 (TE)"
"00640 Oulunkylä-Patola   (Helsinki )",4251,1.9,35.8,502,272,833,242,418,348,280,2187,1248,2356,1779,116
"00650 Veräjämäki   (Helsinki )",1957,2.2,35.5,119,96,537,151,278,245,172,946,485,821,1106,30
"00660 Länsi-Pakila   (Helsinki )",2620,2.5,39.7,76,54,831,172,348,364,354,869,950,2251,276,93
"00670 Paloheinä   (Helsinki )",2249,2.7,37.7,22,22,886,194,395,401,339,701,677,2015,160,74
"00680 Itä-Pakila   (Helsinki )",1404,2.6,39.3,33,29,491,108,220,229,194,502,421,1150,201,53
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",1068,2.6,36.0,14,26,418,98,197,183,164,368,286,775,274,19
"00700 Malmi   (Helsinki )",7031,1.9,33.2,907,360,1403,443,779,532,490,3916,1737,2669,4264,98
"00710 Pihlajamäki   (Helsinki )",6744,1.9,33.6,714,284,1351,437,764,533,398,3549,1873,2818,3781,145
"00720 Pukinmäki-Savela   (Helsinki )",4535,1.9,33.6,415,271,842,272,479,340,256,2374,1334,2112,2304,119
"00730 Tapanila   (Helsinki )",5142,2.2,34.6,355,207,1422,347,685,642,530,2574,1172,2952,2069,121
"00740 Siltamäki   (Helsinki )",4431,2.3,34.5,192,245,1247,296,597,528,480,1930,1273,2810,1516,105
"00750 Puistola   (Helsinki )",4392,2.2,33.5,390,206,1151,345,620,487,391,2258,1007,2064,2257,71
"00760 Suurmetsä   (Helsinki )",3038,2.5,35.7,74,98,994,224,447,476,420,1220,849,2304,665,69
"00770 Jakomäki - Alppikylä   (Helsinki )",3366,2.0,32.2,323,143,783,269,447,299,285,1699,895,884,2424,58
"00780 Tapaninvainio   (Helsinki )",3193,2.2,37.4,176,125,758,206,383,315,264,1438,1012,2314,807,72
"00790 Viikki   (Helsinki )",4990,2.1,29.4,713,542,1487,466,821,703,431,2816,698,1492,3461,37
"00800 Länsi-Herttoniemi   (Helsinki )",4034,1.7,33.0,533,189,707,198,376,289,211,2304,1033,1415,2567,52
"00810 Herttoniemi   (Helsinki )",5939,1.9,33.0,631,471,1291,384,705,511,401,3534,1133,1814,4074,51
"00820 Roihuvuori   (Helsinki )",4056,1.7,31.1,524,167,729,205,393,294,206,2361,972,1692,2276,88
"00830 Tammisalo   (Helsinki )",915,2.4,46.1,34,15,280,56,120,140,115,299,347,780,95,40
"00840 Laajasalo   (Helsinki )",4119,2.0,38.5,332,109,864,209,427,379,303,1738,1537,2981,996,142
"00850 Jollas   (Helsinki )",1180,2.7,38.8,22,20,447,87,198,219,183,458,288,786,362,32
"00860 Santahamina   (Helsinki )",160,2.5,25.4,22,16,63,24,43,33,9,95,2,0,159,1
"00870 Etelä-Laajasalo   (Helsinki )",2992,1.9,34.6,371,186,703,216,391,288,214,1541,759,916,2057,19
