"Postal code area","Workplaces, 2016 (TP)","Primary production, 2016 (TP)","Processing, 2016 (TP)","Services, 2016 (TP)","A Agriculture, forestry and fishing, 2016 (TP)","B Mining and quarrying, 2016 (TP)","C Manufacturing, 2016 (TP)","D Electricity, gas, steam and air conditioning supply, 2016 (TP)","E Water supply; sewerage, waste management and remediation activities, 2016 (TP)","F Construction, 2016 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2016 (TP)","H Transportation and storage, 2016 (TP)","I Accommodation and food service activities, 2016 (TP)","J Information and communication, 2016 (TP)","K Financial and insurance activities, 2016 (TP)","L Real estate activities, 2016 (TP)","M Professional, scientific and technical activities, 2016 (TP)","N Administrative and support service activities, 2016 (TP)","O Public administration and defence; compulsory social security, 2016 (TP)","P Education, 2016 (TP)","Q Human health and social work activities, 2016 (TP)","R Arts, entertainment and recreation, 2016 (TP)","S Other service activities, 2016 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2016 (TP)","U Activities of extraterritorial organisations and bodies, 2016 (TP)","X Industry unknown, 2016 (TP)"
"Finland",2094313,56104,461153,1576997,56104,5283,283209,11714,10703,150244,255103,124098,81927,87853,44179,20788,127868,90438,108121,150968,379828,41898,62929,656,343,59
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",48470,104,1805,46560,104,0,752,554,1,498,6440,1345,4776,7359,4798,899,7191,1553,2370,2496,2659,2072,2585,0,17,1
"00120 Punavuori   (Helsinki )",8358,8,190,8160,8,0,113,4,4,69,670,272,700,646,916,116,1554,717,594,323,563,169,920,0,0,0
"00130 Kaartinkaupunki   (Helsinki )",11138,13,386,10739,13,8,233,0,7,138,726,639,1004,673,655,218,2214,371,2206,108,463,308,1142,0,12,0
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",2347,12,103,2232,12,0,17,0,0,86,228,159,272,294,15,102,369,80,61,51,362,102,136,0,1,0
"00150 Eira - Hernesaari   (Helsinki )",5336,4,892,4440,4,0,746,4,4,138,407,95,358,792,18,93,1597,141,0,224,465,83,152,7,8,0
"00160 Katajanokka   (Helsinki )",4381,6,431,3944,6,0,365,0,0,66,243,595,359,96,26,31,227,108,1685,342,108,29,95,0,0,0
"00170 Kruununhaka   (Helsinki )",8332,1,159,8172,1,0,42,0,1,116,232,52,504,185,624,68,420,125,2594,1725,380,475,554,0,234,0
"00180 Kamppi - Ruoholahti   (Helsinki )",20970,12,2535,18423,12,1,1130,499,45,860,1017,339,821,4576,1362,167,4422,1130,1069,1014,1494,436,576,0,0,0
"00190 Suomenlinna   (Helsinki )",480,0,47,433,0,0,27,0,0,20,19,16,55,2,0,0,14,24,143,23,33,76,19,0,9,0
"00200 Lauttasaari   (Helsinki )",2338,1,185,2152,1,0,23,0,0,162,344,72,159,109,15,56,277,120,46,174,517,114,149,0,0,0
"00210 Vattuniemi   (Helsinki )",4929,0,385,4544,0,0,218,16,0,151,1021,77,102,883,99,124,1234,640,0,23,138,90,113,0,0,0
"00220 Jätkäsaari   (Helsinki )",1031,0,72,959,0,0,11,0,0,61,101,534,129,8,0,0,26,7,80,21,29,14,10,0,0,0
"00230 Ilmala   (Helsinki )",2468,0,29,2439,0,0,24,0,0,5,8,2112,8,242,0,22,0,46,0,0,1,0,0,0,0,0
