"Postal code area","Households, total, 2015 (TR)","Average income of households, 2015 (TR)","Median income of households, 2015 (TR)","Households belonging to the lowest income category, 2015 (TR)","Households belonging to the middle income category, 2015 (TR)","Households belonging to the highest income category, 2015 (TR)","Accumulated purchasing power of households, 2015 (TR)"
"23200 Vinkkilä   (Vehmaa )",763,35372,28573,221,439,103,26988613
"23210 Vehmaa   (Vehmaa )",260,37901,33155,61,162,37,9854247
"23260 Rautila   (Vehmaa )",89,41789,33363,20,51,18,3719238
"23310 Taivassalo   (Taivassalo )",793,41808,31647,227,433,133,33154125
"23360 Kustavi   (Kustavi )",469,36037,30089,123,268,78,16901558
"23390 Iniö   (Parainen )",105,40889,31885,29,57,19,4293388
"23450 Lokalahti   (Uusikaupunki )",442,39526,34978,126,252,64,17470701
"23500 Uusikaupunki Keskus   (Uusikaupunki )",5953,36105,29357,1403,3696,854,214935422
"23600 Kalanti Keskus   (Uusikaupunki )",971,39677,36005,214,612,145,38526596
"23660 Kalanti Asemanseutu   (Uusikaupunki )",155,50719,43100,28,92,35,7861461
"23800 Laitila Keskus   (Laitila )",3804,36306,30651,1058,2264,482,138106786
"23840 Soukainen   (Laitila )",113,39673,34036,26,67,20,4483032
"23880 Suontaka   (Laitila )",48,35347,37819,14,27,7,1696652
"23930 Pyhämaa   (Uusikaupunki )",267,37296,32421,75,146,46,9958080
"23950 Pyhäranta   (Pyhäranta )",255,39308,31449,64,157,34,10023568
"23960 Santtio   (Pyhäranta )",111,38693,37176,25,70,16,4294883
"24100 Salo Keskus   (Salo )",5446,29829,23760,2000,2871,575,162447797
"24130 Ylhäisi   (Salo )",1697,40734,35116,394,1007,296,69125764
"24240 Rappula   (Salo )",2064,34592,26985,653,1103,308,71398618
"24260 Ollikkala   (Salo )",2388,30524,25310,931,1223,234,72891211
"24280 Tupuri-Hähkänä   (Salo )",2070,45906,42247,306,1325,439,95025079
"24800 Halikko Keskus   (Salo )",2312,36501,30271,597,1337,378,84391001
"24910 Halikko Asemanseutu   (Salo )",414,49842,46273,55,268,91,20634628
"25110 Kruusila   (Salo )",161,38600,30793,54,80,27,6214634
"25130 Muurla   (Salo )",673,42267,36662,160,395,118,28445452
"25160 Tuohittu   (Salo )",54,35526,32141,16,31,7,1918425
"25170 Kotalato   (Salo )",60,38689,31131,14,38,8,2321334
"25180 Romsila   (Salo )",100,42871,36407,17,60,23,4287140
"25190 Inkere   (Salo )",440,37076,33087,115,275,50,16313451
"25210 Vartsala   (Salo )",155,49697,46245,17,104,34,7703034
"25230 Angelniemi   (Salo )",157,41861,34669,42,80,35,6572130
"25240 Hajala   (Salo )",291,41098,34819,70,167,54,11959545
"25250 Märynummi   (Salo )",472,39137,35317,86,315,71,18472742
"25260 Vaskio   (Salo )",461,38863,34232,123,274,64,17915856
"25320 Raatala   (Salo )",194,37566,30509,56,110,28,7287785
"25330 Kuusjoki Keskus   (Salo )",403,32874,28540,136,227,40,13248297
"25340 Kanunki   (Salo )",182,37005,29448,54,98,30,6734911
"25360 Pertteli Keskus   (Salo )",540,38939,33673,132,336,72,21026818
"25370 Hiisi   (Salo )",283,39611,36743,71,170,42,11209893
"25380 Rekijoki   (Salo )",243,34318,27888,77,131,35,8339177
"25390 Kiikala Keskus   (Salo )",409,33494,28705,146,216,47,13698949
"25410 Suomusjärvi Keskus   (Salo )",575,33063,27855,185,326,64,19011321
"25420 Lahnajärvi   (Salo )",72,37144,31441,20,39,13,2674357
"25430 Kettula   (Salo )",37,38155,31301,8,22,7,1411730
"25460 Toija   (Salo )",570,36550,30878,169,319,82,20833530
"25470 Kisko kk   (Salo )",140,38490,32750,34,85,21,5388651
"25500 Perniö Keskus   (Salo )",1688,35184,28628,532,964,192,59391355
"25520 Perniö Asemanseutu   (Salo )",280,46266,38628,67,153,60,12954344
"25540 Knaapila   (Salo )",96,40026,35783,24,56,16,3842504
"25550 Aijala   (Salo )",54,28322,25759,18,33,3,1529368
"25560 Koski Asemanseutu   (Salo )",109,45305,30331,32,61,16,4938244
"25570 Teijo-Mathildedal   (Salo )",288,38698,30655,77,165,46,11144920
"25610 Ylönkylä   (Salo )",176,45378,35299,43,92,41,7986469
"25630 Finby   (Salo )",146,35933,29397,37,90,19,5246233
"25640 Förby   (Salo )",134,37742,30794,33,75,26,5057473
"25650 Strömma   (Kemiönsaari )",58,39595,29075,17,33,8,2296525
"25660 Mathildedal   (Salo )",76,38743,30879,18,38,20,2944454
"25700 Kemiö Keskus   (Kemiönsaari )",1144,35743,31095,313,684,147,40889617
"25710 Vreta-Vestlax   (Kemiönsaari )",137,40265,33042,36,81,20,5516260
"25730 Mjösund   (Kemiönsaari )",46,42984,37470,9,29,8,1977284
"25760 Kiila   (Kemiönsaari )",60,36047,29947,18,35,7,2162833
"25810 Mark   (Kemiönsaari )",33,33273,24780,11,17,5,1098018
"25820 Vestlax   (Kemiönsaari )",50,35109,31298,12,31,7,1755469
"25830 Västanfjärd Keskus   (Kemiönsaari )",243,35706,31848,65,138,40,8676513
"25840 Nivelax   (Kemiönsaari )",117,43498,41870,23,72,22,5089278
"25860 Björkboda   (Kemiönsaari )",173,37758,28901,49,97,27,6532081
"25870 Dragsfjärd   (Kemiönsaari )",457,36088,31206,96,301,60,16492381
"25900 Taalintehdas   (Kemiönsaari )",758,32058,27598,233,455,70,24299685
"25910 Vänoxa   (Kemiönsaari )",5,..,..,..,..,..,..
"25930 Kasnäs   (Kemiönsaari )",34,45723,31094,8,19,7,1554573
"25940 Hiittinen   (Kemiönsaari )",37,30226,27143,11,22,4,1118354
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",61,37659,31854,17,30,14,2297210
"25960 Högsåra   (Kemiönsaari )",23,..,..,..,..,..,..
"26100 Rauma Keskus   (Rauma )",9011,33531,26255,2873,4717,1421,302145547
"26200 Merirauma-Kappelinluhta   (Rauma )",2384,45861,38265,424,1346,614,109332027
"26410 Kaaro   (Rauma )",589,51484,46913,58,397,134,30324322
"26510 Uotila   (Rauma )",1193,41239,36872,207,776,210,49197943
"26560 Kolla   (Rauma )",284,48209,45219,35,181,68,13691484
"26660 Paroalho   (Rauma )",2575,35834,30764,593,1623,359,92273763
"26720 Monnanummi   (Rauma )",138,49759,50842,17,85,36,6866678
"26740 Vasarainen   (Rauma )",226,49063,42049,35,138,53,11088204
"26820 Sampaanala   (Rauma )",821,32944,28906,221,509,91,27047191
"26840 Kortela   (Rauma )",347,44215,40261,50,224,73,15342545
"26910 Unaja   (Rauma )",265,46711,43990,39,166,60,12378358
"26930 Vermuntila   (Rauma )",254,44347,38107,49,156,49,11264066
"26950 Voiluoto   (Rauma )",168,51898,43462,18,102,48,8718832
"27100 Eurajoki Keskus   (Eurajoki )",1469,41636,37528,314,852,303,61163319
"27110 Irjanne   (Eurajoki )",254,41163,38511,52,152,50,10455344
"27130 Eurajoki asemanseutu   (Eurajoki )",147,39244,34976,30,92,25,5768808
"27150 Lapijoki   (Eurajoki )",536,43744,39905,74,350,112,23446642
"27160 Olkiluoto   (Eurajoki )",.,.,.,.,.,.,.
"27170 Kuivalahti   (Eurajoki )",165,41850,34292,48,85,32,6905320
"27220 Ala-Kieri   (Rauma )",256,43169,39301,40,168,48,11051276
"27230 Lappi   (Rauma )",927,39065,35066,231,534,162,36213259
"27250 Kodiksami   (Rauma )",66,38367,31677,18,39,9,2532247
"27260 Kuolimaa   (Rauma )",92,34390,25823,38,44,10,3163924
"27310 Kodisjoki   (Rauma )",229,38096,36853,57,141,31,8723929
"27320 Ihode   (Pyhäranta )",336,39250,35437,66,223,47,13188085
"27340 Reila   (Pyhäranta )",220,43090,41346,28,143,49,9479769
"27400 Kiukainen Keskus   (Eura )",605,36608,31405,189,330,86,22147813
"27420 Panelia Asemanseutu   (Eura )",122,40716,33295,30,69,23,4967323
"27430 Panelia   (Eura )",590,35742,32179,166,344,80,21087647
"27450 Harola   (Eura )",102,37606,33579,26,62,14,3835846
"27500 Kauttua   (Eura )",1567,39234,34154,310,969,288,61479923
"27510 Eura Keskus   (Eura )",2033,38286,32293,501,1200,332,77835470
"27600 Hinnerjoki   (Eura )",351,35871,30279,112,192,47,12590632
"27640 Honkilahti kk   (Eura )",144,35016,29146,45,82,17,5042347
"27650 Honkilahti   (Eura )",165,32384,27630,62,83,20,5343406
"27670 Mannila   (Eura )",82,39912,35707,26,39,17,3272791
"27710 Köyliö Keskus   (Säkylä )",525,36637,31515,142,309,74,19234524
"27730 Tuiskula   (Säkylä )",86,41190,34424,22,48,16,3542333
"27740 Voitoinen   (Säkylä )",80,34740,26322,31,38,11,2779186
"27750 Yttilä   (Säkylä )",171,36339,32083,42,100,29,6213954
"27800 Säkylä Keskus   (Säkylä )",1536,39050,32077,349,921,266,59980319
"27820 Iso-Vimma   (Säkylä )",375,38270,32876,66,241,68,14351244
"27840 Kakkuri   (Säkylä )",216,40461,34974,31,151,34,8739633
"27860 Vuori   (Säkylä )",151,40303,30523,40,91,20,6085821
"27910 Huovinrinne   (Säkylä )",106,29412,27452,24,69,13,3117637
"27920 Otajoki   (Säkylä )",131,39461,35504,27,78,26,5169438
"28100 Pori Keskus   (Pori )",8491,28535,21564,3162,4340,989,242292802
"28120 Käppärä-Isomäki   (Pori )",2068,30803,24184,742,1086,240,63700260
"28130 Impola   (Pori )",3713,29474,23316,1386,1946,381,109435849
"28190 Pormestarinluoto   (Pori )",2167,28140,22701,810,1213,144,60979043
"28200 Toejoki   (Pori )",2128,41224,38114,344,1398,386,87725140
"28220 Ruosniemi   (Pori )",2011,42233,38813,350,1317,344,84930521
"28240 Isojoenranta   (Pori )",330,49789,38968,54,199,77,16430407
"28260 Harjunpää   (Ulvila )",406,42795,40883,71,261,74,17374918
"28300 Kalaholma-Väinölä   (Pori )",1065,50661,47217,95,669,301,53954057
"28330 Koivistonluoto   (Pori )",1433,33294,27749,461,797,175,47709715
"28360 Vanhakoivisto   (Pori )",2225,34224,29210,581,1358,286,76148772
"28370 Sampola   (Pori )",1929,25518,20645,835,998,96,49224972
"28400 Ulvila Keskus   (Ulvila )",2688,38502,33212,602,1664,422,103492181
"28430 Kartano-Harmaalinna   (Pori )",707,44214,41016,105,447,155,31259368
"28450 Vanha-Ulvila   (Ulvila )",1916,40237,35890,380,1215,321,77094141
"28500 Keskussairaala-alue-Tiilimäki   (Pori )",592,21996,17709,282,281,29,13021750
"28540 Pinomäki   (Pori )",268,45542,43033,44,161,63,12205270
"28560 Lattomeri   (Pori )",207,43380,41654,33,138,36,8979748
"28580 Niittymaa   (Pori )",243,43493,40976,48,147,48,10568827
"28600 Vähärauma   (Pori )",2199,42103,36722,480,1272,447,92583623
"28610 Musa-Tiiliruukki   (Pori )",1907,39773,34181,437,1128,342,75847296
"28660 Pietniemi-Leppäkorpi   (Pori )",1698,43033,39056,271,1102,325,73070148
"28760 Kyläsaari   (Pori )",980,40342,37709,181,653,146,39535517
"28800 Pihlava   (Pori )",2139,34781,30795,600,1266,273,74396488
"28840 Yyteri-Kaanaa   (Pori )",444,36548,35183,114,269,61,16227272
"28880 Mäntyluoto   (Pori )",237,31257,27840,77,135,25,7407806
"28900 Tahkoluoto-Reposaari   (Pori )",532,34690,30157,160,287,85,18455343
"29100 Luvia Keskus   (Eurajoki )",1318,40960,36825,272,814,232,53985495
"29180 Peränkylä   (Eurajoki )",123,39143,32695,37,59,27,4814586
"29200 Harjavalta Keskus   (Harjavalta )",3778,34695,29342,1004,2272,502,131077916
"29250 Nakkila Keskus   (Nakkila )",2275,36527,31337,623,1327,325,83099134
"29270 Hormisto   (Nakkila )",212,35698,29989,60,133,19,7568064
"29280 Järvimaa   (Nakkila )",133,36887,34855,30,86,17,4906026
"29310 Kaasmarkku   (Ulvila )",252,40708,37777,58,151,43,10258366
"29320 Leineperi   (Ulvila )",92,44571,41339,22,51,19,4100528
"29340 Kullaa Keskus   (Ulvila )",447,35597,29292,129,263,55,15911880
"29350 Palus   (Ulvila )",139,35859,33321,40,76,23,4984379
"29570 Söörmarkku   (Pori )",378,47158,43643,61,237,80,17825854
"29600 Noormarkku Keskus   (Pori )",2132,40441,35039,468,1316,348,86220480
"29630 Pomarkku Keskus   (Pomarkku )",882,34942,30410,288,493,101,30818437
"29640 Honkakoski   (Pomarkku )",138,34751,28866,56,69,13,4795569
"29680 Kairila   (Pori )",147,34232,27689,56,77,14,5032073
"29700 Ahlainen   (Pori )",401,34831,29477,135,215,51,13967141
"29720 Lamppi   (Pori )",92,33983,31276,35,51,6,3126427
"29740 Etelämaa   (Merikarvia )",40,40285,35266,11,22,7,1611401
"29750 Pohjansaha   (Merikarvia )",48,37084,34289,12,30,6,1780043
"29760 Köörtilä   (Merikarvia )",41,36880,30298,11,24,6,1512063
"29790 Tuorila   (Merikarvia )",141,40231,32771,35,81,25,5672547
"29810 Siikainen Keskus   (Siikainen )",444,31631,26212,168,232,44,14044010
"29830 Sammi   (Siikainen )",87,34528,26382,34,48,5,3003959
"29860 Otamo   (Siikainen )",60,33618,28487,27,26,7,2017060
"29880 Leväsjoki-Saarineva   (Siikainen )",96,33664,27152,39,48,9,3231783
"29900 Merikarvia Keskus-Rannikko   (Merikarvia )",1116,33483,28088,359,646,111,37367295
"29940 Kuvaskangas   (Merikarvia )",124,35764,29651,46,62,16,4434705
"30100 Forssa Keskus   (Tammela )",5419,35272,29411,1523,3093,803,191137029
"30300 Viksberg   (Forssa )",1575,24934,20185,733,775,67,39271584
"30420 Tölö   (Forssa )",2481,33354,28789,713,1492,276,82750748
"31110 Matku   (Forssa )",279,36279,31087,81,161,37,10121824
"31130 Koijärvi   (Forssa )",116,39725,38261,29,67,20,4608110
"31140 Menonen   (Urjala )",86,36859,29267,24,51,11,3169901
"31160 Nuutajärvi   (Urjala )",156,28798,23994,67,77,12,4492446
"31170 Savijoki   (Forssa )",96,35582,29220,33,46,17,3415841
"31230 Susikas   (Tammela )",94,36143,31069,28,55,11,3397453
"31250 Teuro   (Tammela )",103,44620,36370,21,57,25,4595858
"31300 Tammela Keskus   (Tammela )",1477,39161,33102,377,814,286,57841428
"31310 Mustiala   (Tammela )",46,37200,30284,14,21,11,1711196
"31340 Porras   (Tammela )",249,41997,35599,63,143,43,10457242
"31350 Vistinkoski   (Tammela )",119,36819,32127,35,65,19,4381402
"31370 Eerikkilän Urheiluopisto   (Tammela )",.,.,.,.,.,.,.
"31380 Letku-Torro   (Tammela )",138,41549,37839,31,83,24,5733818
"31400 Somero Keskus   (Somero )",3196,33236,27909,1046,1777,373,106221003
"31410 Ylöpirtti   (Somero )",177,37277,30964,49,97,31,6598047
"31450 Häntälä   (Somero )",155,42610,36654,31,94,30,6604604
"31460 Hirsjärvi   (Somero )",122,46545,31212,40,62,20,5678542
"31470 Somerniemi   (Somero )",317,40757,32601,82,180,55,12919992
"31490 Terttilä   (Somero )",112,40109,35031,27,63,22,4492176
"31500 Koski Tl   (Koski Tl )",1186,35998,29311,364,656,166,42693539
"31520 Pitkäjärvi   (Somero )",230,40341,31988,69,122,39,9278426
"31530 Pyöli   (Somero )",145,41086,37436,39,68,38,5957453
"31600 Jokioinen Keskus   (Jokioinen )",1746,37214,32629,434,1065,247,64974878
"31610 Vaulammi   (Jokioinen )",202,42712,39067,44,115,43,8627794
"31620 Latovainio   (Jokioinen )",182,43815,36803,43,108,31,7974387
"31630 Minkiö   (Jokioinen )",249,40279,36013,54,155,40,10029577
"31640 Humppila Keskus   (Humppila )",995,34118,28586,313,589,93,33947593
"31650 Venäjänkangas   (Humppila )",121,40691,36015,31,69,21,4923603
"31700 Urjala Asemanseutu-Hanhisuo   (Urjala )",673,36753,32409,187,406,80,24734676
"31720 Urjalankylä-Kehro   (Urjala )",182,35872,30297,53,107,22,6528616
"31730 Honkola   (Urjala )",64,42215,29275,25,29,10,2701763
"31750 Kehro   (Urjala )",33,24650,20304,17,14,2,813436
"31760 Urjala Keskus   (Urjala )",1023,30792,24750,384,530,109,31500043
"31810 Oriniemi   (Punkalaidun )",176,38531,29375,55,99,22,6781460
"31830 Halkivaha   (Urjala )",130,36121,29873,43,71,16,4695719
"31850 Koskioinen   (Punkalaidun )",66,36941,31776,19,38,9,2438086
"31860 Tursa   (Urjala )",145,34143,29791,50,80,15,4950704
"31900 Punkalaidun Keskus   (Punkalaidun )",988,31134,25384,390,503,95,30760845
"31930 Vanttila   (Punkalaidun )",51,40433,31576,17,28,6,2062070
"31950 Sadonmaa   (Punkalaidun )",75,34531,30896,22,45,8,2589792
"31960 Orisuo   (Loimaa )",34,36105,27176,14,17,3,1227557
"31970 Kanteenmaa   (Punkalaidun )",70,35582,30928,20,43,7,2490774
"32100 Ypäjä Keskus   (Ypäjä )",1002,34662,28680,312,563,127,34730825
"32140 Ypäjä Asemanseutu   (Ypäjä )",135,38213,33338,44,74,17,5158740
"32200 Loimaa Keskus   (Loimaa )",4351,33621,26727,1353,2477,521,146285142
"32210 Loimaa kk   (Loimaa )",1211,36360,27806,382,671,158,44031816
"32250 Kojonkulma   (Loimaa )",128,44287,37024,33,76,19,5668776
"32260 Kojonperä   (Loimaa )",75,35099,32613,24,45,6,2632440
"32270 Metsämaa-Murto   (Loimaa )",238,35962,29335,75,127,36,8559031
"32280 Metsäkorpi   (Loimaa )",79,32429,29492,35,35,9,2561904
"32300 Mellilä   (Loimaa )",642,36631,30099,187,367,88,23516960
"32410 Niinijoki   (Loimaa )",244,46718,37299,56,131,57,11399076
"32430 Ylhäinen   (Loimaa )",46,41979,34189,10,24,12,1931040
"32440 Alastaro Keskus   (Loimaa )",870,33623,28859,274,487,109,29251869
"32450 Tammiainen   (Loimaa )",118,37722,30401,32,70,16,4451254
"32500 Oripää Keskus   (Oripää )",547,36566,29333,176,305,66,20001723
"32520 Latva   (Oripää )",58,51396,33994,13,32,13,2980947
"32560 Virttaa   (Loimaa )",203,39277,33556,50,126,27,7973309
"32610 Vampula Keskus   (Huittinen )",500,36074,29474,145,280,75,18037241
"32620 Rutava   (Huittinen )",187,34802,30156,62,106,19,6508031
"32700 Huittinen Keskus   (Huittinen )",4026,33931,27785,1247,2282,497,136607604
"32710 Sampu   (Huittinen )",262,43742,40730,51,160,51,11460463
"32730 Keikyä   (Sastamala )",351,36294,31597,96,214,41,12739237
"32740 Äetsä Keskus   (Sastamala )",955,32096,27370,302,542,111,30651408
"32760 Suttila   (Huittinen )",82,37364,28234,27,46,9,3063823
"32770 Huhtamo   (Huittinen )",104,36204,29704,36,57,11,3765257
"32800 Kokemäki Keskus   (Kokemäki )",2091,33493,27418,675,1136,280,70034829
"32810 Peipohja   (Kokemäki )",890,36283,32182,237,536,117,32291761
"32830 Riste   (Kokemäki )",233,35854,31910,60,145,28,8353900
"32860 Korkeaoja   (Kokemäki )",69,39834,40732,18,41,10,2748580
"32910 Kauvatsa Asemanseutu   (Kokemäki )",144,32967,26878,46,84,14,4747211
"32920 Kauvatsa   (Kokemäki )",301,31627,25697,130,134,37,9519741
"33100 Tampere Keskus   (Tampere )",10319,34743,26503,3066,5177,2076,358510559
"33180 Lapinniemi-Käpylä   (Tampere )",947,43459,33965,219,455,273,41155482
"33200 Tampere Keskus Läntinen   (Tampere )",4236,34988,25152,1257,2175,804,148210549
"33210 Itä-Amuri-Tammerkoski   (Tampere )",3846,32022,24850,1187,2058,601,123158287
"33230 Länsi-Amuri   (Tampere )",3580,40943,28597,882,1845,853,146577087
"33240 Tahmela   (Tampere )",827,55604,35481,195,364,268,45984797
"33250 Pispala   (Tampere )",1224,42865,30685,381,558,285,52466575
"33270 Epilä   (Tampere )",3826,39965,29867,980,2113,733,152906407
"33300 Rahola   (Tampere )",2501,41016,32701,593,1396,512,102581471
"33310 Tesoma   (Tampere )",3943,29711,25490,1333,2302,308,117151330
"33330 Myllypuro-Kalkku   (Tampere )",1677,33689,28366,494,987,196,56496334
"33340 Haukiluoma-Ikuri   (Tampere )",2273,42868,39417,402,1388,483,97439317
"33380 Pitkäniemi   (Nokia )",3,..,..,..,..,..,..
"33400 Luoteis-Tampere   (Tampere )",3583,42666,34762,795,2049,739,152873959
"33410 Lentävänniemi   (Tampere )",2502,33589,27420,688,1499,315,84039194
"33420 Lamminpää   (Tampere )",923,44487,37151,216,500,207,41061864
"33430 Vuorentausta   (Ylöjärvi )",1260,43755,39541,175,843,242,55131347
"33450 Siivikkala   (Ylöjärvi )",1126,52372,47535,115,707,304,58970839
"33470 Ylöjärvi Keskus   (Ylöjärvi )",3072,36293,29922,812,1823,437,111492497
"33480 Manninmäki-Haavisto   (Ylöjärvi )",2893,45876,41561,449,1853,591,132719782
"33500 Osmonmäki-Petsamo   (Tampere )",7034,30423,24340,2202,3867,965,213998192
"33520 Keskussairaala-alue-Kauppi   (Tampere )",544,34815,26104,164,289,91,18939421
"33530 Kissanmaa   (Tampere )",2746,34098,26383,910,1373,463,93633793
"33540 Kaleva   (Tampere )",5523,26382,22137,2126,2894,503,145705209
"33560 Takahuhti   (Tampere )",5023,38155,29385,1228,2889,906,191650498
"33580 Atala-Linnainmaa   (Tampere )",7122,40438,33819,1516,4270,1336,287999448
"33610 Olkahinen-Tasanne   (Tampere )",1614,51748,45474,186,958,470,83522049
"33680 Aitolahti   (Tampere )",681,51518,43634,110,383,188,35083439
"33700 Messukylä   (Tampere )",817,46270,37357,193,406,218,37802996
"33710 Kaukajärvi   (Tampere )",8819,35932,29420,2519,4936,1364,316882893
"33720 Hervanta   (Tampere )",13884,26578,22015,6226,6572,1086,369002874
"33730 Leinola-Vehmainen   (Tampere )",770,49607,43352,108,445,217,38197437
"33800 Nekala   (Tampere )",3055,30563,22579,1157,1493,405,93370488
"33820 Koivistonkylä   (Tampere )",4298,42937,34127,1007,2342,949,184541611
"33840 Peltolammi   (Tampere )",1949,30187,26067,641,1101,207,58833839
"33850 Multisilta   (Pirkkala )",1348,29899,25547,467,788,93,40304097
"33870 Vuores   (Lempäälä )",1040,37778,30298,278,562,200,39289159
"33880 Höytämö   (Lempäälä )",1693,42623,36383,355,980,358,72160277
"33900 Härmälä-Rantaperkiö   (Tampere )",6009,32574,26610,1761,3362,886,195737020
"33920 Toivio   (Pirkkala )",429,56768,53971,44,241,144,24353570
"33950 Killo   (Pirkkala )",2569,45400,36287,431,1518,620,116632547
"33960 Suuppa   (Pirkkala )",4461,46564,39553,769,2587,1105,207723362
"33980 Pirkkala kk   (Pirkkala )",518,56867,49775,67,296,155,29456903
"34110 Lakiala   (Ylöjärvi )",415,53791,52186,59,252,104,22323160
"34130 Ylinen   (Ylöjärvi )",502,46536,44349,97,294,111,23360898
"34140 Mutala   (Ylöjärvi )",281,48203,44729,52,172,57,13544928
"34150 Kyrönlahti   (Ylöjärvi )",166,44061,40360,35,101,30,7314121
"34180 Länsi-Teisko   (Ylöjärvi )",72,35905,30543,22,32,18,2585193
"34240 Kämmenteisko   (Tampere )",661,47436,44055,120,396,145,31355287
"34260 Terälahti   (Tampere )",424,40486,30202,129,207,88,17166225
"34270 Velaatta   (Tampere )",150,35307,30163,44,85,21,5295985
"34300 Kuru Keskus   (Ylöjärvi )",782,32724,26208,286,422,74,25589947
"34320 Parkkuu   (Ylöjärvi )",109,36285,32366,30,60,19,3955055
"34330 Poikelus   (Ylöjärvi )",110,38220,33870,29,66,15,4204157
"34410 Murole   (Ruovesi )",86,34125,29304,27,47,12,2934769
"34420 Muroleen Kanava   (Ruovesi )",23,..,..,..,..,..,..
"34430 Kekkonen   (Ruovesi )",63,39595,38369,14,32,17,2494511
"34450 Jäminkipohja   (Ruovesi )",177,39509,27409,66,96,15,6993138
"34510 Luode   (Ylöjärvi )",45,32492,29899,16,25,4,1462161
"34530 Länsi-Aure   (Ylöjärvi )",35,33129,25045,17,13,5,1159505
"34550 Itä-Aure   (Ylöjärvi )",85,30108,26513,33,44,8,2559159
"34600 Ruovesi Keskus-Nenonen   (Ruovesi )",1348,31974,27366,409,793,146,43100871
"34640 Mustajärvi   (Ruovesi )",99,36052,30756,34,50,15,3569127
"34710 Vaskivesi   (Virrat )",160,39573,30995,54,81,25,6331632
"34730 Vaskuu   (Virrat )",50,31749,26122,14,30,6,1587432
"34740 Koro   (Virrat )",41,35924,23421,17,20,4,1472881
"34770 Kurjenkylä   (Virrat )",104,32995,28862,43,53,8,3431450
"34800 Virrat Keskus   (Virrat )",2449,32558,26278,829,1348,272,79734951
"34870 Visuvesi   (Ruovesi )",295,31485,27592,99,174,22,9287964
"34910 Äijänneva   (Virrat )",45,38767,31277,19,18,8,1744516
"34930 Liedenpohja   (Virrat )",133,37927,33804,48,66,19,5044307
"34950 Ohtola   (Virrat )",93,36324,32125,30,53,10,3378175
"34970 Toisvesi   (Virrat )",51,33385,29043,16,32,3,1702660
"34980 Killinkoski   (Virrat )",200,30863,25982,80,99,21,6172669
"35100 Orivesi Asemanseutu   (Orivesi )",1303,38358,34771,306,804,193,49980320
"35220 Eräjärvi   (Orivesi )",261,33629,27188,90,142,29,8777071
"35240 Ristakallio   (Orivesi )",85,40450,31742,22,53,10,3438244
"35260 Leväslahti   (Orivesi )",8,..,..,..,..,..,..
"35270 Västilä   (Orivesi )",79,34863,28874,29,34,16,2754192
"35300 Orivesi Keskus   (Orivesi )",2437,33529,27676,773,1371,293,81710552
"35320 Hirsilä   (Orivesi )",237,36763,32642,72,145,20,8712831
"35400 Länkipohja   (Jämsä )",491,31254,25709,193,242,56,15345945
"35420 Talviainen   (Orivesi )",55,33702,33662,16,30,9,1853591
"35480 Längelmäki   (Orivesi )",34,32866,29481,13,13,8,1117446
"35500 Korkeakoski   (Juupajoki )",523,33479,29415,171,302,50,17509320
"35520 Pirttikangas   (Juupajoki )",36,32634,24210,11,21,4,1174823
"35530 Lyly   (Juupajoki )",143,34329,30408,39,85,19,4909102
"35540 Juupajoki   (Juupajoki )",184,48180,36961,40,103,41,8865045
"35550 Salokunta   (Juupajoki )",61,46595,40281,17,29,15,2842290
"35600 Halli   (Jämsä )",724,35523,31301,167,449,108,25718768
"35610 Pihlaisto   (Jämsä )",43,35254,25557,13,26,4,1515942
"35630 Suinula-Valkamanperä   (Jämsä )",80,38629,33142,15,53,12,3090321
"35700 Vilppula Keskus   (Mänttä-Vilppula )",1697,33837,28721,524,988,185,57420753
"35740 Ylä-Vääri   (Ruovesi )",48,50571,41864,9,24,15,2427387
"35750 Väärinmaja   (Ruovesi )",130,38954,30008,32,79,19,5064082
"35800 Mänttä   (Mänttä-Vilppula )",2314,32360,27188,666,1377,271,74880464
"35820 Asemakulma-Mustalahti   (Jämsä )",1017,36616,32284,232,646,139,37238392
"35990 Kolho   (Mänttä-Vilppula )",573,33306,28803,152,364,57,19084582
"36100 Kangasala Asemanseutu   (Kangasala )",420,53804,50160,47,256,117,22597864
"36110 Ruutana   (Kangasala )",1025,50750,48213,99,641,285,52019011
"36120 Suinula-Haviseva   (Kangasala )",422,49275,46975,59,262,101,20794026
"36200 Kangasala Keskus   (Kangasala )",4546,41290,34605,972,2729,845,187702166
"36220 Suorama   (Kangasala )",2259,38385,33451,460,1486,313,86712340
"36240 Nattari   (Kangasala )",2074,42397,37773,366,1281,427,87931565
"36270 Huutijärvi   (Kangasala )",583,47070,40317,111,339,133,27441828
"36280 Pikonlinna   (Kangasala )",42,59861,59700,5,16,21,2514173
"36340 Tohkala   (Kangasala )",109,43544,35199,24,68,17,4746299
"36420 Sahalahti Keskus   (Kangasala )",800,41998,33457,208,468,124,33598227
"36430 Pakkala   (Kangasala )",205,42170,33317,49,125,31,8644805
"36450 Salmentaka   (Pälkäne )",113,35365,28511,36,57,20,3996213
"36520 Raikku   (Kangasala )",167,47291,39558,30,108,29,7897534
"36570 Kaivanto   (Kangasala )",113,53395,45729,22,67,24,6033653
"36600 Pälkäne Keskus   (Pälkäne )",1563,38853,33881,373,938,252,60727215
