"Postal code area","Households, total, 2015 (TR)","Average income of households, 2015 (TR)","Median income of households, 2015 (TR)","Households belonging to the lowest income category, 2015 (TR)","Households belonging to the middle income category, 2015 (TR)","Households belonging to the highest income category, 2015 (TR)","Accumulated purchasing power of households, 2015 (TR)"
"00880 Roihupellon teollisuusalue   (Helsinki )",421,36715,30694,78,254,89,15456886
"00890 Itäsalmi   (Helsinki )",666,113349,73265,45,259,362,75490424
"00900 Puotinharju   (Helsinki )",2329,31758,26048,660,1349,320,73964142
"00910 Puotila   (Helsinki )",3463,32695,26984,854,2055,554,113223169
"00920 Myllypuro   (Helsinki )",5883,38008,31083,1398,3410,1075,223602758
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3262,45070,31049,809,1714,739,147017477
"00940 Kontula - Vesala   (Helsinki )",12776,32774,27681,3633,7768,1375,418718557
"00950 Vartioharju   (Helsinki )",2354,57101,49002,285,1123,946,134414658
"00960 Pohjois-Vuosaari   (Helsinki )",3780,36079,30461,805,2347,628,136379732
"00970 Mellunmäki   (Helsinki )",5552,34753,28948,1342,3402,808,192950934
"00980 Etelä-Vuosaari   (Helsinki )",11008,35883,29954,2680,6629,1699,395005029
"00990 Aurinkolahti   (Helsinki )",4134,45067,37571,583,2224,1327,186305897
"01120 Västerskog   (Sipoo )",546,61147,49403,75,265,206,33386309
"01150 Söderkulla   (Sipoo )",2006,57845,48245,283,992,731,116036533
"01180 Kalkkiranta   (Porvoo )",190,57676,47801,13,103,74,10958486
"01190 Box   (Sipoo )",399,52978,49387,47,220,132,21138157
"01200 Hakunila   (Vantaa )",5789,34964,29360,1447,3626,716,202405453
"01230 Vaarala   (Vantaa )",1304,48003,45305,152,752,400,62596193
"01260 Itä-Hakkila   (Vantaa )",1811,56862,51143,127,1027,657,102976818
"01280 Länsimäki   (Vantaa )",4433,39495,34884,913,2654,866,175081115
"01300 Tikkurila   (Vantaa )",9737,40187,33105,1590,5928,2219,391300898
"01340 Leinelä   (Vantaa )",350,34581,31409,42,253,55,12103435
"01350 Hiekkaharju   (Vantaa )",4943,38839,32475,820,3190,933,191981056
"01360 Koivukylä-Havukoski   (Vantaa )",6358,33336,27528,1722,3845,791,211948814
"01370 Jokiniemi   (Vantaa )",3271,35376,30133,788,1962,521,115713930
"01380 Kuusikko-Hakkila   (Vantaa )",737,56344,50036,60,432,245,41525615
"01390 Ruskeasanta-Ilola   (Vantaa )",3499,53767,50416,356,1960,1183,188130800
"01400 Rekola   (Vantaa )",3497,44870,38852,491,2193,813,156911117
"01420 Päiväkumpu   (Vantaa )",1099,60919,57131,86,594,419,66949492
"01450 Korso   (Vantaa )",8333,41974,36293,1537,4992,1804,349767601
"01480 Mikkola   (Vantaa )",2842,40248,34009,559,1787,496,114386173
"01490 Nikinmäki   (Sipoo )",1363,60658,57140,96,754,513,82676981
"01510 Kirkonkylä-Veromäki   (Vantaa )",2857,41613,36448,380,1783,694,118887150
"01520 Tammisto   (Vantaa )",3443,47711,41517,359,1952,1132,164268182
"01530 Veromiehenkylä   (Vantaa )",292,32948,27922,69,190,33,9620796
"01600 Myyrmäki   (Vantaa )",8746,34840,30001,1646,5616,1484,304709488
"01610 Kaivoksela   (Vantaa )",2584,36919,30946,476,1614,494,95398613
"01620 Martinlaakso   (Vantaa )",5931,38279,33042,1066,3727,1138,227031817
"01630 Hämeenkylä   (Vantaa )",839,60550,52113,54,429,356,50801475
"01640 Hämevaara   (Vantaa )",1491,50566,42732,169,825,497,75393543
"01650 Vapaala   (Vantaa )",1879,48414,39994,298,993,588,90970709
"01660 Varisto   (Vantaa )",1055,44848,39482,139,646,270,47315132
"01670 Vantaanlaakso   (Vantaa )",1168,54309,50007,91,619,458,63433102
"01680 Askisto   (Vantaa )",775,57139,50901,58,428,289,44282562
"01690 Ylästö   (Vantaa )",1562,65686,61743,101,728,733,102602036
"01700 Kivistö   (Vantaa )",1849,55602,48725,176,1018,655,102807910
"01710 Pähkinärinne   (Vantaa )",2721,36752,31419,502,1664,555,100002783
"01720 Petikko   (Vantaa )",35,35244,27826,7,22,6,1233537
"01730 Vantaanpuisto   (Vantaa )",1045,49016,44311,114,609,322,51221892
"01740 Tuupakan teollisuusalue   (Vantaa )",86,52874,48461,10,43,33,4547155
"01750 Keimola   (Vantaa )",313,64186,52603,28,173,112,20090141
"01760 Seutula   (Vantaa )",841,52509,46601,101,505,235,44160261
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",3529,46001,39587,527,2051,951,162337685
