"Postal code area","Workplaces, 2015 (TP)","Primary production, 2015 (TP)","Processing, 2015 (TP)","Services, 2015 (TP)","A Agriculture, forestry and fishing, 2015 (TP)","B Mining and quarrying, 2015 (TP)","C Manufacturing, 2015 (TP)","D Electricity, gas, steam and air conditioning supply, 2015 (TP)","E Water supply; sewerage, waste management and remediation activities, 2015 (TP)","F Construction, 2015 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2015 (TP)","H Transportation and storage, 2015 (TP)","I Accommodation and food service activities, 2015 (TP)","J Information and communication, 2015 (TP)","K Financial and insurance activities, 2015 (TP)","L Real estate activities, 2015 (TP)","M Professional, scientific and technical activities, 2015 (TP)","N Administrative and support service activities, 2015 (TP)","O Public administration and defence; compulsory social security, 2015 (TP)","P Education, 2015 (TP)","Q Human health and social work activities, 2015 (TP)","R Arts, entertainment and recreation, 2015 (TP)","S Other service activities, 2015 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2015 (TP)","U Activities of extraterritorial organisations and bodies, 2015 (TP)","X Industry unknown, 2015 (TP)"
"Finland",2083796,60409,453640,1569717,60409,4983,284292,11553,10450,142362,255755,125481,79950,85278,43775,20634,125274,88540,108402,154743,376588,41405,63280,310,302,30
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",46662,105,1837,44719,105,0,716,723,3,395,6458,1378,4593,6326,4757,753,6630,1411,2316,2722,2662,2247,2442,0,24,1
"00120 Punavuori   (Helsinki )",8515,9,198,8308,9,1,126,6,3,62,704,251,671,707,872,121,1520,784,609,358,569,206,936,0,0,0
"00130 Kaartinkaupunki   (Helsinki )",10927,12,269,10646,12,3,218,0,5,43,651,579,935,713,858,293,2143,318,2099,86,512,333,1126,0,0,0
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",2282,11,124,2146,11,0,22,0,0,102,205,169,286,268,12,80,369,94,64,45,331,97,125,1,0,1
"00150 Eira - Hernesaari   (Helsinki )",5187,8,793,4386,8,0,683,0,4,106,374,99,284,881,18,98,1413,123,0,227,603,89,163,7,7,0
"00160 Katajanokka   (Helsinki )",4283,7,448,3828,7,0,393,0,0,55,345,586,346,110,11,39,222,141,1734,79,97,14,104,0,0,0
"00170 Kruununhaka   (Helsinki )",8627,4,149,8474,4,0,37,0,1,111,237,95,462,188,642,69,368,221,2643,1909,352,490,572,0,226,0
"00180 Kamppi - Ruoholahti   (Helsinki )",19136,6,1987,17143,6,0,980,189,52,766,1154,292,738,4234,1012,176,4116,849,1080,1074,1230,459,729,0,0,0
"00190 Suomenlinna   (Helsinki )",445,0,31,414,0,0,11,0,0,20,25,14,54,0,0,0,13,21,152,15,29,67,24,0,0,0
"00200 Lauttasaari   (Helsinki )",2259,11,147,2101,11,0,20,0,0,127,313,121,102,62,24,53,331,121,40,158,495,151,130,0,0,0
"00210 Vattuniemi   (Helsinki )",4604,0,344,4260,0,0,206,7,4,127,986,70,106,821,72,79,1126,663,0,20,149,56,112,0,0,0
"00220 Jätkäsaari   (Helsinki )",870,0,76,794,0,0,6,0,0,70,40,509,54,9,0,0,20,8,85,17,31,17,4,0,0,0
"00230 Ilmala   (Helsinki )",2335,0,49,2286,0,0,44,0,0,5,10,1981,2,219,0,24,0,49,0,0,1,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",11409,32,496,10881,32,0,69,75,1,351,373,929,414,4101,686,165,892,267,1800,67,327,572,288,0,0,0
"00250 Taka-Töölö   (Helsinki )",7721,23,136,7562,23,0,16,2,0,118,304,117,305,72,98,65,430,418,583,502,3688,617,362,1,0,0
"00260 Keski-Töölö   (Helsinki )",6964,11,14,6938,11,0,7,0,0,7,183,109,529,90,9,33,1089,584,0,443,3106,521,242,0,0,1
"00270 Pohjois-Meilahti   (Helsinki )",2054,2,15,2037,2,0,4,0,0,11,138,14,95,258,3,50,380,102,0,207,666,40,84,0,0,0
"00280 Ruskeasuo   (Helsinki )",3699,3,974,2722,3,0,86,0,0,888,303,649,52,109,30,137,244,33,149,354,510,42,110,0,0,0
"00290 Meilahden sairaala-alue   (Helsinki )",10191,0,307,9884,0,0,1,0,0,306,149,0,135,25,2,0,298,649,218,1042,7268,73,25,0,0,0
"00300 Pikku Huopalahti   (Helsinki )",2999,0,75,2924,0,0,23,0,0,52,124,57,54,196,4,281,844,53,0,258,980,16,57,0,0,0
"00310 Kivihaka   (Helsinki )",1768,0,1024,744,0,0,6,0,0,1018,99,1,18,1,7,21,80,57,14,0,445,0,1,0,0,0
"00320 Etelä-Haaga   (Helsinki )",1947,1,264,1682,1,0,15,0,3,246,263,9,113,68,1,50,104,47,49,393,492,24,69,0,0,0
"00330 Munkkiniemi   (Helsinki )",2676,6,76,2594,6,0,8,0,0,68,288,31,171,856,31,41,292,59,19,250,397,41,118,0,0,0
"00340 Kuusisaari-Lehtisaari   (Helsinki )",334,5,32,297,5,0,2,0,0,30,10,14,9,68,7,15,42,1,0,2,109,14,3,0,3,0
"00350 Munkkivuori-Niemenmäki   (Helsinki )",1834,3,107,1724,3,0,9,0,9,89,610,41,62,151,30,71,54,74,0,181,349,46,55,0,0,0
"00360 Pajamäki   (Helsinki )",77,0,7,70,0,0,0,0,0,7,17,5,3,4,1,13,21,0,0,1,0,5,0,0,0,0
