"Postal code area","Free-time residences, 2015 (RA)","Buildings, total, 2015 (RA)","Other buildings, 2015 (RA)","Residential buildings, 2015 (RA)","Dwellings, 2015 (RA)","Average floor area, 2015 (RA)","Dwellings in small houses, 2015 (RA)","Dwellings in blocks of flats, 2015 (RA)"
"Finland",501596,1505138,221847,1283291,2877974,80.3,1552154,1325820
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",0,628,320,308,11698,66.3,2,11696
"00120 Punavuori   (Helsinki )",0,248,102,146,4336,69.1,7,4329
"00130 Kaartinkaupunki   (Helsinki )",0,142,108,34,904,74.4,0,904
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",0,247,76,171,5394,73.6,13,5381
"00150 Eira - Hernesaari   (Helsinki )",2,368,104,264,6737,55.3,31,6706
"00160 Katajanokka   (Helsinki )",0,140,62,78,2625,76.9,3,2622
"00170 Kruununhaka   (Helsinki )",0,264,129,135,4573,68.1,9,4564
"00180 Kamppi - Ruoholahti   (Helsinki )",0,334,147,187,8366,59.0,66,8300
"00190 Suomenlinna   (Helsinki )",0,113,57,56,364,69.3,62,302
"00200 Lauttasaari   (Helsinki )",5,583,49,534,9122,60.1,482,8640
"00210 Vattuniemi   (Helsinki )",0,234,96,138,4374,71.3,41,4333
"00220 Jätkäsaari   (Helsinki )",0,39,17,22,1579,58.0,0,1579
"00230 Ilmala   (Helsinki )",0,2,2,0,0,0.0,0,0
"00240 Länsi-Pasila   (Helsinki )",0,202,89,113,2888,63.2,19,2869
"00250 Taka-Töölö   (Helsinki )",0,408,129,279,7700,53.8,63,7637
"00260 Keski-Töölö   (Helsinki )",0,136,44,92,3616,63.0,0,3616
"00270 Pohjois-Meilahti   (Helsinki )",0,194,27,167,4873,53.0,68,4805
"00280 Ruskeasuo   (Helsinki )",0,136,26,110,1725,54.6,37,1688
"00290 Meilahden sairaala-alue   (Helsinki )",0,35,30,5,113,64.4,0,113
"00300 Pikku Huopalahti   (Helsinki )",0,225,61,164,3106,61.8,63,3043
"00310 Kivihaka   (Helsinki )",0,35,11,24,604,50.9,13,591
"00320 Etelä-Haaga   (Helsinki )",0,393,54,339,6440,49.6,166,6274
"00330 Munkkiniemi   (Helsinki )",0,383,51,332,5212,70.7,230,4982
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1,224,21,203,853,123.2,396,457
"00350 Munkkivuori-Niemenmäki   (Helsinki )",0,264,64,200,5666,54.9,139,5527
"00360 Pajamäki   (Helsinki )",3,37,7,30,1230,49.9,0,1230
"00370 Reimarla   (Helsinki )",0,774,139,635,3486,66.9,884,2602
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",0,172,108,64,2460,60.1,13,2447
"00390 Konala   (Helsinki )",0,731,141,590,3426,63.0,847,2579
"00400 Pohjois-Haaga   (Helsinki )",0,223,29,194,5772,52.7,69,5703
"00410 Malminkartano   (Helsinki )",0,358,70,288,4212,63.9,341,3871
"00420 Kannelmäki   (Helsinki )",0,708,62,646,7923,59.7,900,7023
"00430 Maununneva   (Helsinki )",0,1228,62,1166,2032,90.9,1640,392
"00440 Lassila   (Helsinki )",0,205,44,161,2803,56.0,71,2732
"00500 Sörnäinen   (Helsinki )",0,226,61,165,9707,39.4,0,9707
"00510 Etu-Vallila - Alppila   (Helsinki )",0,370,153,217,6642,40.4,64,6578
"00520 Itä-Pasila   (Helsinki )",0,210,84,126,4144,54.1,8,4136
"00530 Kallio   (Helsinki )",0,344,112,232,13607,45.3,7,13600
"00540 Kalasatama   (Helsinki )",0,63,38,25,1150,61.9,17,1133
"00550 Vallila   (Helsinki )",6,196,28,168,6378,45.4,14,6364
"00560 Toukola-Vanhakaupunki   (Helsinki )",3,643,131,512,7014,61.2,425,6589
"00570 Kulosaari   (Helsinki )",0,443,73,370,2070,88.9,563,1507
"00580 Verkkosaari   (Helsinki )",0,148,100,48,1413,60.8,12,1401
"00590 Kaitalahti   (Helsinki )",16,151,15,136,154,104.6,154,0
"00600 Koskela-Helsinki   (Helsinki )",0,287,35,252,1847,65.0,248,1599
"00610 Käpylä   (Helsinki )",2,484,70,414,4564,55.9,359,4205
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",0,400,90,310,1578,79.3,518,1060
"00630 Maunula-Suursuo   (Helsinki )",0,565,37,528,4780,59.8,636,4144
"00640 Oulunkylä-Patola   (Helsinki )",0,622,74,548,4512,67.3,888,3624
"00650 Veräjämäki   (Helsinki )",0,372,31,341,2070,76.0,558,1512
"00660 Länsi-Pakila   (Helsinki )",0,1430,68,1362,2789,98.3,2573,216
"00670 Paloheinä   (Helsinki )",1,1309,43,1266,2346,100.2,2327,19
"00680 Itä-Pakila   (Helsinki )",1,809,74,735,1515,99.3,1339,176
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",0,633,40,593,1109,92.3,920,189
"00700 Malmi   (Helsinki )",2,1363,289,1074,7286,62.7,1179,6107
"00710 Pihlajamäki   (Helsinki )",0,379,75,304,7074,62.9,432,6642
"00720 Pukinmäki-Savela   (Helsinki )",1,537,69,468,4820,62.1,553,4267
"00730 Tapanila   (Helsinki )",1,1865,116,1749,5339,75.5,2592,2747
"00740 Siltamäki   (Helsinki )",0,1512,105,1407,4627,77.8,2303,2324
"00750 Puistola   (Helsinki )",3,1385,130,1255,4445,72.7,1839,2606
"00760 Suurmetsä   (Helsinki )",1,1651,124,1527,3187,89.4,2552,635
"00770 Jakomäki - Alppikylä   (Helsinki )",0,530,291,239,3624,63.8,260,3364
"00780 Tapaninvainio   (Helsinki )",1,1351,71,1280,3260,81.9,2092,1168
"00790 Viikki   (Helsinki )",0,394,79,315,5185,63.0,466,4719
"00800 Länsi-Herttoniemi   (Helsinki )",0,447,40,407,4391,57.1,462,3929
"00810 Herttoniemi   (Helsinki )",1,284,84,200,6173,62.5,118,6055
"00820 Roihuvuori   (Helsinki )",0,158,49,109,4334,53.6,0,4334
"00830 Tammisalo   (Helsinki )",42,362,30,332,990,110.5,806,184
"00840 Laajasalo   (Helsinki )",5,715,62,653,4334,75.6,1407,2927
"00850 Jollas   (Helsinki )",132,706,46,660,1255,103.0,1004,251
"00860 Santahamina   (Helsinki )",1,122,84,38,263,59.4,36,227
"00870 Etelä-Laajasalo   (Helsinki )",11,341,31,310,2577,69.0,418,2159
"00880 Roihupellon teollisuusalue   (Helsinki )",0,215,207,8,415,56.6,3,412
"00890 Itäsalmi   (Helsinki )",47,900,196,704,707,162.2,706,1
"00900 Puotinharju   (Helsinki )",0,165,41,124,2428,59.4,135,2293
"00910 Puotila   (Helsinki )",0,229,36,193,3647,55.7,125,3522
"00920 Myllypuro   (Helsinki )",1,950,59,891,6110,69.0,1321,4789
"00930 Itäkeskus-Marjaniemi   (Helsinki )",19,671,62,609,3408,80.0,917,2491
"00940 Kontula - Vesala   (Helsinki )",1,1261,138,1123,13223,64.6,1450,11773
"00950 Vartioharju   (Helsinki )",2,1443,86,1357,2525,90.2,1942,583
"00960 Pohjois-Vuosaari   (Helsinki )",2,305,20,285,3933,63.2,687,3246
"00970 Mellunmäki   (Helsinki )",0,665,62,603,5767,64.1,864,4903
"00980 Etelä-Vuosaari   (Helsinki )",87,1277,285,992,11376,67.0,1491,9885
"00990 Aurinkolahti   (Helsinki )",10,199,27,172,4419,66.2,194,4225
"01120 Västerskog   (Sipoo )",840,736,132,604,605,120.4,549,56
"01150 Söderkulla   (Sipoo )",434,1661,199,1462,2136,108.4,1569,567
"01180 Kalkkiranta   (Porvoo )",501,290,57,233,209,122.8,209,0
"01190 Box   (Sipoo )",62,521,79,442,423,118.0,423,0
"01200 Hakunila   (Vantaa )",18,896,102,794,6005,67.8,1233,4772
"01230 Vaarala   (Vantaa )",3,491,42,449,1366,80.9,1000,366
"01260 Itä-Hakkila   (Vantaa )",26,1452,92,1360,1863,100.6,1746,117
