"Postal code area","Inhabitants, 2015 (PT)","Labour force, 2015 (PT)","Employed, 2015 (PT)","Unemployed, 2015 (PT)","Persons outside the labour force, 2015 (PT)","Children aged 0 to 14, 2015 (PT)","Students, 2015 (PT)","Pensioners, 2015 (PT)","Others, 2015 (PT)"
"Finland",5487308,2631321,2256459,374862,2855987,896023,411925,1368473,179566
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",17868,10735,9871,864,7133,1773,1258,3295,807
"00120 Punavuori   (Helsinki )",7026,4187,3837,350,2839,794,434,1246,365
"00130 Kaartinkaupunki   (Helsinki )",1536,932,862,70,604,170,111,252,71
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7817,4494,4111,383,3323,892,508,1494,429
"00150 Eira - Hernesaari   (Helsinki )",9299,5833,5297,536,3466,912,564,1484,506
"00160 Katajanokka   (Helsinki )",4470,2262,2063,199,2208,621,279,1107,201
"00170 Kruununhaka   (Helsinki )",7391,4426,4116,310,2965,868,507,1284,306
"00180 Kamppi - Ruoholahti   (Helsinki )",13157,8066,7297,769,5091,1524,858,2045,664
"00190 Suomenlinna   (Helsinki )",792,423,378,45,369,187,54,91,37
"00200 Lauttasaari   (Helsinki )",14921,8614,7925,689,6307,2049,914,2813,531
"00210 Vattuniemi   (Helsinki )",7697,4134,3842,292,3563,1170,353,1806,234
"00220 Jätkäsaari   (Helsinki )",2918,1799,1658,141,1119,445,352,224,98
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",5138,2795,2477,318,2343,574,392,1188,189
"00250 Taka-Töölö   (Helsinki )",11079,7038,6468,570,4041,1002,737,1900,402
"00260 Keski-Töölö   (Helsinki )",5422,2991,2737,254,2431,480,310,1368,273
"00270 Pohjois-Meilahti   (Helsinki )",7644,4579,4098,481,3065,962,553,1285,265
"00280 Ruskeasuo   (Helsinki )",3000,1739,1592,147,1261,331,313,535,82
"00290 Meilahden sairaala-alue   (Helsinki )",161,96,88,8,65,17,4,31,13
"00300 Pikku Huopalahti   (Helsinki )",5857,3015,2609,406,2842,987,471,1170,214
"00310 Kivihaka   (Helsinki )",896,529,474,55,367,97,61,171,38
"00320 Etelä-Haaga   (Helsinki )",9726,5834,5324,510,3892,1012,684,1884,312
"00330 Munkkiniemi   (Helsinki )",8864,4379,4029,350,4485,1246,616,2268,355
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1654,786,724,62,868,269,138,368,93
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9315,5154,4667,487,4161,1276,748,1801,336
"00360 Pajamäki   (Helsinki )",1875,1066,941,125,809,210,148,373,78
"00370 Reimarla   (Helsinki )",6672,3400,3000,400,3272,1135,543,1289,305
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4356,2409,2088,321,1947,654,349,772,172
"00390 Konala   (Helsinki )",6214,3543,3125,418,2671,921,420,1101,229
"00400 Pohjois-Haaga   (Helsinki )",9450,4898,4286,612,4552,1073,823,2191,465
"00410 Malminkartano   (Helsinki )",8693,4795,4139,656,3898,1354,952,1195,397
"00420 Kannelmäki   (Helsinki )",13869,7052,6023,1029,6817,1762,1190,3103,762
"00430 Maununneva   (Helsinki )",4884,2517,2334,183,2367,912,455,870,130
"00440 Lassila   (Helsinki )",4513,2200,1956,244,2313,511,337,1321,144
"00500 Sörnäinen   (Helsinki )",12618,9055,7813,1242,3563,563,929,1508,563
"00510 Etu-Vallila - Alppila   (Helsinki )",8978,6149,5292,857,2829,551,578,1335,365
"00520 Itä-Pasila   (Helsinki )",6973,3977,3451,526,2996,759,520,1322,395
"00530 Kallio   (Helsinki )",18663,12070,10611,1459,6593,949,1255,3602,787
"00540 Kalasatama   (Helsinki )",2132,1300,1212,88,832,260,229,297,46
"00550 Vallila   (Helsinki )",9368,5972,5271,701,3396,726,883,1436,351
"00560 Toukola-Vanhakaupunki   (Helsinki )",13187,7683,7028,655,5504,2189,1219,1719,377
"00570 Kulosaari   (Helsinki )",3824,1901,1747,154,1923,583,310,839,191
"00580 Verkkosaari   (Helsinki )",2721,1553,1455,98,1168,430,216,407,115
"00590 Kaitalahti   (Helsinki )",380,191,172,19,189,78,33,62,16
"00600 Koskela-Helsinki   (Helsinki )",4120,1720,1491,229,2400,535,393,1274,198
"00610 Käpylä   (Helsinki )",8201,4396,3902,494,3805,1280,517,1734,274
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3226,1651,1514,137,1575,426,212,864,73
"00630 Maunula-Suursuo   (Helsinki )",8299,4094,3471,623,4205,1182,541,2125,357
"00640 Oulunkylä-Patola   (Helsinki )",8049,4139,3736,403,3910,1162,615,1869,264
"00650 Veräjämäki   (Helsinki )",4345,2258,1970,288,2087,819,358,738,172
"00660 Länsi-Pakila   (Helsinki )",6696,3135,2905,230,3561,1222,515,1652,172
"00670 Paloheinä   (Helsinki )",6015,3051,2859,192,2964,1274,425,1129,136
"00680 Itä-Pakila   (Helsinki )",3640,1783,1633,150,1857,721,320,707,109
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2778,1397,1277,120,1381,608,231,464,78
"00700 Malmi   (Helsinki )",13176,6787,5687,1100,6389,1990,1077,2711,611
"00710 Pihlajamäki   (Helsinki )",12480,6383,5332,1051,6097,1890,801,2802,604
"00720 Pukinmäki-Savela   (Helsinki )",8554,4359,3777,582,4195,1196,693,1944,362
"00730 Tapanila   (Helsinki )",11305,6178,5537,641,5127,2091,855,1796,385
"00740 Siltamäki   (Helsinki )",10201,5067,4512,555,5134,1819,911,2083,321
"00750 Puistola   (Helsinki )",9208,4890,4197,693,4318,1617,789,1523,389
"00760 Suurmetsä   (Helsinki )",7718,3996,3681,315,3722,1520,632,1347,223
"00770 Jakomäki - Alppikylä   (Helsinki )",6638,3255,2685,570,3383,1133,561,1344,345
"00780 Tapaninvainio   (Helsinki )",7032,3569,3185,384,3463,1093,454,1704,212
"00790 Viikki   (Helsinki )",10839,5826,5268,558,5013,2367,1243,1002,401
"00800 Länsi-Herttoniemi   (Helsinki )",7212,3946,3321,625,3266,966,531,1467,302
"00810 Herttoniemi   (Helsinki )",11469,6519,5638,881,4950,1889,850,1768,443
"00820 Roihuvuori   (Helsinki )",7248,3790,3150,640,3458,1002,552,1520,384
"00830 Tammisalo   (Helsinki )",2255,998,930,68,1257,425,155,562,115
"00840 Laajasalo   (Helsinki )",8290,3932,3527,405,4358,1273,560,2289,236
"00850 Jollas   (Helsinki )",3119,1563,1433,130,1556,693,252,501,110
"00860 Santahamina   (Helsinki )",425,259,251,8,166,128,23,6,9
"00870 Etelä-Laajasalo   (Helsinki )",4854,2326,1977,349,2528,874,374,1057,223
"00880 Roihupellon teollisuusalue   (Helsinki )",723,409,361,48,314,76,50,158,30
"00890 Itäsalmi   (Helsinki )",2056,1040,961,79,1016,443,259,235,79
"00900 Puotinharju   (Helsinki )",4135,2024,1619,405,2111,489,338,1036,248
"00910 Puotila   (Helsinki )",6231,3128,2642,486,3103,855,460,1487,301
"00920 Myllypuro   (Helsinki )",12149,5774,4873,901,6375,2019,898,2900,558
"00930 Itäkeskus-Marjaniemi   (Helsinki )",6794,3165,2679,486,3629,1039,626,1586,378
"00940 Kontula - Vesala   (Helsinki )",25817,11951,9585,2366,13866,4248,2361,5764,1493
"00950 Vartioharju   (Helsinki )",5629,2915,2662,253,2714,981,414,1146,173
"00960 Pohjois-Vuosaari   (Helsinki )",7234,3719,3198,521,3515,1097,504,1637,277
"00970 Mellunmäki   (Helsinki )",10633,5278,4437,841,5355,1536,829,2469,521
"00980 Etelä-Vuosaari   (Helsinki )",22601,10679,8649,2030,11922,4191,1963,4542,1226
"00990 Aurinkolahti   (Helsinki )",8006,4285,3832,453,3721,1289,430,1667,335
"01120 Västerskog   (Sipoo )",1357,690,637,53,667,249,84,293,41
"01150 Söderkulla   (Sipoo )",5069,2597,2418,179,2472,1156,331,838,147
"01180 Kalkkiranta   (Porvoo )",462,225,216,9,237,79,34,110,14
"01190 Box   (Sipoo )",1023,528,493,35,495,197,66,214,18
"01200 Hakunila   (Vantaa )",12029,6028,4869,1159,6001,2309,930,2189,573
"01230 Vaarala   (Vantaa )",2964,1722,1546,176,1242,507,182,476,77
"01260 Itä-Hakkila   (Vantaa )",4791,2478,2291,187,2313,991,337,837,148
"01280 Länsimäki   (Vantaa )",9472,5064,4292,772,4408,1673,658,1697,380
"01300 Tikkurila   (Vantaa )",18450,10114,8956,1158,8336,2483,1191,4123,539
"01340 Leinelä   (Vantaa )",612,384,346,38,228,73,39,102,14
"01350 Hiekkaharju   (Vantaa )",9904,5428,4778,650,4476,1669,726,1756,325
"01360 Koivukylä-Havukoski   (Vantaa )",12141,6276,5212,1064,5865,1852,1040,2435,538
"01370 Jokiniemi   (Vantaa )",6468,3888,3429,459,2580,1082,703,593,202
