Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Kirkonkylä	1h, tk, kph, s, p	kt	3900	57650	1478	1997	2/3	ei	hyvä	F2013
Kirkonkylä	1h, tk, kph, s, p	kt	3900	57650	1478	1997	3/3	ei	hyvä	F2013
Kirkonkylä	1h, tk, kph, s, p	kt	3900	58000	1487	1997	3/3	ei	hyvä	F2013
Kylälaakso	2h,k,s	rt	6100	55000	902	1985	1/1	ei	tyyd.	
Keskusta	2h,k,s	rt	6300	61000	968	1985	1/1	ei	hyvä	
Keskusta	2h,k,s	rt	5600	76000	1357	1990	1/1	ei	hyvä	D2007
Keskusta	2h,k,s	rt	6300	78000	1238	1988	1/1	ei	hyvä	D2013
Metsähannus	2h,kk,s	rt	3600	44000	1222	1993	1/1	ei	hyvä	F2013
Kirkonkylä	2h, k, kph, s, p	kt	5500	74400	1353	1997	3/3	ei	hyvä	F2013
