Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Härkämäki	2h,k,kh,lasit.p...	kt	6500	67489	1038	1984	6/8	ei	tyyd.	
Vienola	2h,k,kph,vh	kt	5900	83500	1415	1966	2/3	ei	hyvä	F2013
Vienola	2h,k,kph,vh,las...	kt	5500	81000	1473	1966	2/3	ei	hyvä	F2013
Pahaniemi	2h+k	kt	4650	65000	1398	1967	3/3	ei	hyvä	
Pahaniemi	2h, k	kt	4650	60000	1290	1967	2/3	ei	tyyd.	F
Härkämäki	3h, k	kt	7650	80000	1046	1980	1/8	on	hyvä	B2013
Härkämäki	3h+k+kph+wc+p	kt	7900	78850	998	1975	2/3	ei	hyvä	D2013
Härkämäki	3h, k, p	kt	7600	73700	970	1980	6/8	on	tyyd.	B
Vienola	3, k, kph	kt	7450	98000	1315	1970	3/3	ei	hyvä	D
Härkämäki	3h,k,SAUNA, lasitp	kt	7700	81118	1053	1981	3/8	on	tyyd.	B2007
Härkämäki	3h, k, s	kt	8000	74000	925	1978	3/9	on	tyyd.	B
Härkämäki	3h,k	kt	8000	62000	775	1976	1/3	ei	huono	D2013
Härkämäki	4h,k,kph/s/ws,e...	kt	8600	77000	895	1983	8/8	on		B2007
Härkämäki	4h,k,kph,wc,parv	kt	9700	85000	876	1975	1/4	ei	tyyd.	D2007
Härkämäki	4h, k, s	kt	8600	104000	1209	1981	4/8	ei	tyyd.	
