Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Kontula	1h, kk, kph	kt	3150	88000	2794	1967	5/8	on	huono	G2013
Kontula	1h, kk	kt	2550	85000	3333	1965	4/7	on	tyyd.	G2013
Kontula	1h+kk+alkovi	kt	3400	135000	3971	1970	3/3	ei	hyvä	E2007
Vesala	1h+tupak.+kph/w...	kt	4050	125000	3086	1990	3/5	on	tyyd.	E2007
Kontula	1h, kk	kt	3200	86000	2688	1974	1/4	on	tyyd.	G
Kurkimäki	1h+kk+wc/sh+ter...	kt	3180	156000	4906	2019	1/2	ei	hyvä	C
Kurkimäki	1h+kk+wc/sh+par...	kt	3180	156000	4906	2019	2/2	ei	hyvä	C
Kontula	1h,kk	kt	3150	120001	3810	1966	2/8	on	huono	G2007
Vesala	2h+kk+kph+teras...	kt	4850	135000	2784	1991	1/3	ei	tyyd.	E2013
Kivikko	2h+k+s	kt	5600	175000	3125	2004	2/6	on	hyvä	F2013
Kontula	2h+k	kt	5800	100000	1724	1970	1/8	on	huono	G2013
Kontula	2h, kk, kph, p	kt	4350	117000	2690	1969	7/8	on	hyvä	G2013
Kontula	2h+k+kph-wc+las...	kt	5400	120000	2222	1968	7/8	on	tyyd.	
Vesala	2h+k+s (yhti...	kt	5700	139000	2439	1989	1/3	ei	tyyd.	
Kontula	2 h + kk	kt	4350	128990	2965	1966	3/8	on	hyvä	F2013
Kurkimäki	2h+avok, kph, p...	kt	5550	228000	4108	2019	2/2	ei	hyvä	C
Kurkimäki	2h, avok, kph, ...	kt	5550	228000	4108	2019	1/2	ei	hyvä	C
Kontula	2h+k+kph+lasite...	kt	5650	200000	3540	2004	5/8	ei	hyvä	
Kurkimäki	2h, kk, kph, te...	kt	5600	142500	2545	1984	4/4	ei	hyvä	
Kontula	2h, k, kph, las...	kt	5400	121000	2241	1968	2/7	on	hyvä	
Kurkimäki	2h+k+s+las.parv	kt	4550	152000	3341	1984	4/4	ei	hyvä	
Kontula	2h, kk, kph	kt	4600	155000	3370	1966	7/8	on	hyvä	G
Kontula	2h+k+kph+vh+p	kt	5600	127700	2280	1968	7/8	on	tyyd.	G2013
Kontula	2h+kk+p	kt	4200	145000	3452	1971	6/9	on	tyyd.	E
Kontula	2h,k,kph, parveke	kt	5350	145856	2726	1966	6/8	on	tyyd.	G2013
Kontula	2h+kph+kk+p	kt	4250	109000	2565	1968	2/8	on	hyvä	G2013
Kivikko	2h, kk, kph, vh, p	kt	5250	190000	3619	2014	3/3	ei	hyvä	A
Kontula	2h+k+kph+wc+p	kt	5950	104819	1762	1967	3/8	ei	tyyd.	
Kontula	2h, kk, kph, p	kt	4350	112500	2586	1969	1/9	on	tyyd.	G2013
Kontula	2h, k, kph, p	kt	5700	111000	1947	1965	7/7	on	tyyd.	G2013
Kontula	2h,kk,lasitettu...	kt	4600	139000	3022	1966	4/8	on	hyvä	G2013
Kontula	2h, k	kt	5950	108000	1815	1967	1/8	on	tyyd.	G2013
Kurkimäki	2h, k, s, piha	kt	5750	190000	3304	1984	1/4	ei	hyvä	E
Kivikko	2h, k, kph, s, ...	rt	5950	211000	3546	1999	-1/2	ei	hyvä	F2007
Kontula	2h, kk	kt	5000	100000	2000	1965	6/7	on	tyyd.	G2013
Kontula	2h, kk, kph, wc	kt	4350	125000	2874	1964	6/8	on	tyyd.	F
Kurkimäki	2h, avok, kph, ...	kt	4140	188000	4541	2019	1/2	ei	hyvä	C
Kontula	2h, kk, kph	kt	5000	87000	1740	1965	2/7	on	tyyd.	G2013
Kontula	2h, kk, kph	kt	4400	132000	3000	1964	7/8	on	hyvä	F2007
Kurkimäki	2h+tupak+wc+ter...	kt	4140	188000	4541	2019	1/2	ei	hyvä	C
Kontula	2h, k, kph, wc,...	kt	5950	98000	1647	1967	6/8	on	huono	G2013
Kurkimäki	2h+tupak+wc+par...	kt	4140	188000	4541	2019	2/2	ei	hyvä	C
Kurkimäki	2h+tupak+wc+par...	kt	4140	188000	4541	2019	2/2	ei	hyvä	C
Kurkimäki	2h, k, s, piha	kt	5750	135000	2348	1984	1/4	ei	tyyd.	E
Kivikko	2h, k, kph, s, p	kt	5450	185000	3394	2003	3/4	on	hyvä	D
Kontula	2h, kk, kph, vh	kt	4700	100000	2128	1967	4/8	on	hyvä	G
Kontula	2h, avok, kph	kt	4350	145000	3333	1964	3/8	on	hyvä	F
Kontula	2h, k, kph, p	kt	5900	139000	2356	1970	2/3	ei	hyvä	E2007
Kontula	2h+kk+kph+p	kt	4200	159000	3786	1971	4/9	on	hyvä	E2007
Kontula	2h, kk, kph, sa...	kt	4750	175000	3684	2004	3/8	ei	hyvä	
Kontula	2 h, k, kh, par...	kt	5700	100000	1754	1965	3/7	on	tyyd.	G
Kontula	2h, kk, kph	kt	5000	103000	2060	1965	4/7	on	hyvä	G2013
