Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Hakkari	3h, k, s, vh, 2xwc	rt	8650	192000	2220	2005	1/2	ei	hyvä	C2007
Kulju	3 h, k, s	rt	6700	200000	2985	2018	1/1	ei	hyvä	C2018
Hakkari	3h,k,s	rt	7700	120000	1558	1974	1/1	ei	hyvä	E2007
Moisio	4h,k,kph,s,khh,...	rt	10100	312000	3089	2015	-1/1	ei	hyvä	C2013
Hakkari	4h+k+s	rt	10300	199500	1937	1984	2/2	ei		
Kuokkala	4-5 h, k, s, ph...	rt	10550	241000	2284	2006	2/2	ei	hyvä	D2007
Hakkari	4h+avok+kph+s+w...	rt	8500	145000	1706	1974	-1/1	ei	hyvä	
Hakkari	4h, k, s, kph/w...	rt	11800	265000	2246	2015	-1/1	ei	hyvä	C2007
Kiviaho	4h,k,kph,s,khh,vh	rt	10300	285000	2767	2018	-1/1	ei	hyvä	B2018
Hakkari	4h, k, s, vh, w...	rt	8800	269500	3063	2018	2/2	ei	hyvä	C2013
