Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Penttilä	1h, kt, kph	kt	2650	100170	3780	2020	1/5	on	hyvä	
Penttilä	1h, kt, kph	kt	2650	106920	4035	2020	5/5	on	hyvä	
Penttilä	2h, kt, s	kt	4000	130500	3263	2019	2/6	on		B2018
Penttilä	1h, tupak	kt	2850	132000	4632	2019	1/5	on	hyvä	C
Penttilä	2h, kt, s	kt	4000	143000	3575	2019	6/6	on		B2018
Penttilä	2h, kt, s	kt	4000	132000	3300	2019	3/6	on		B2018
Penttilä	1h, kt, s	kt	3100	120000	3871	2016	1/5	on		C2013
Penttilä	oh,k, mh, kph, ...	kt	4800	184000	3833	2014	2/5	on	hyvä	C2013
Penttilä	2h, k	kt	3900	165000	4231	2019	3/5	on	hyvä	C
Penttilä	2h, tupak, s	kt	4850	184000	3794	2019	1/5	on	hyvä	C
Penttilä	2h, kt, kph, s	kt	5050	181500	3594	2018	6/8	on	hyvä	
Penttilä	2h, k, s,	kt	4600	154000	3348	2011	4/7	on	hyvä	F2013
Vehkalahti	2h, kk, s	kt	4800	99000	2063	1987	5/7	on		F2013
Penttilä	3h, k, s	kt	5700	249000	4368	2019	4/5	on	hyvä	C
Vehkalahti	3h, k, khh, s	rt	7100	166000	2338	2010	1/1	ei	hyvä	E
Penttilä	3h, k, s	kt	5200	159000	3058	2019	1/6	on		B2018
Vehkalahti	3h, k, s	rt	8000	170500	2131	2005	1/1	ei		E2013
Penttilä	3h, k, s	kt	5850	200000	3419	2016	3/5	on	hyvä	C
Niinivaara	3 h, k, s, ph+ ...	rt	6900	147000	2130	2002	1/1	ei	hyvä	G
Penttilä	3h+kt+s	kt	5400	194000	3593	2017	5/8	on	hyvä	C2013
Penttilä	3h, k, kph, s, ...	rt	8700	262000	3011	2008	1/2	ei	hyvä	D2013
Vehkalahti	3h, kt, khh, s,...	rt	6800	160000	2353	2011	1/1	ei	hyvä	B2007
Penttilä	3h, k, s	kt	5850	212000	3624	2016	4/5	on	hyvä	C
Penttilä	3h,k,s	kt	8200	239000	2915	2012	5/6	on	hyvä	C2007
Penttilä	3h, k, s	kt	7800	263000	3372	2013	2/4	on		C2013
Penttilä	3h, k, s	kt	6400	221500	3461	2007	8/14	on	hyvä	
Vehkalahti	4h, k, wc, pesu...	rt	8800	215000	2443	2011	1/1	ei	hyvä	D
Penttilä	4-5 h, k, kph, s	kt	12400	493000	3976	2007	12/14	on	hyvä	E2013
