Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Keskusta	2h, kk, s	kt	3700	76000	2054	2004	3/4	on	hyvä	C
Hahtoranta	2h+tupak+kh+s+2V	rt	4800	94500	1969	2006		ei	hyvä	E2007
Santamäki	2h, kk	rt	4500	69500	1544	1991	1/1	ei	hyvä	C
Keskusta	2h,kk,sa,kh,et,...	kt	5200	91500	1760	1999	2/5	on	hyvä	C2013
Ollakka	2h, kk, s	kt	4900	92500	1888	1998	1/4	ei	hyvä	D
Keskusta	2h, kk, s	kt	4300	76000	1767	1998	3/4	on	hyvä	A2007
Keskusta	2h, k, ph, s, l...	kt	4400	108000	2455	2013	2/6	on	hyvä	B2007
Keskusta	2h, k, kph/wc/k...	kt	5400	105000	1944	2008	1/2	ei	hyvä	C2007
Sarkkiranta	2h,k,sa,kh,et	rt	6000	85000	1417	1984	1/1	ei		D2018
Sarkkiranta	3h, k, s	rt	8000	113000	1413	1977	1/1	ei	hyvä	D
Ollakka	3h+k+s	rt	7800	165000	2115	2013	1/1	ei	hyvä	A
Santamäki	3h, k, kph, s, ...	rt	7000	110000	1571	1997	1/1	ei	hyvä	D2007
Sarkkiranta	3h, k, s	rt	7500	105000	1400	1982	-1/2	ei	hyvä	B2007
Keskusta	3h+k+s+parveke	kt	7000	173000	2471	2011	2/3	on	hyvä	
Keskusta	3h+k+s	kt	7200	126000	1750	1999	1/5	on	hyvä	C2007
Keskusta	3h, k, kph, s, vh	kt	7000	138000	1971	2007	2/2	ei	hyvä	C2007
Koskela	3h, k, s	rt	6700	65000	970	1974		ei	hyvä	F2013
Sarkkiranta	3h, k, s	rt	7500	90000	1200	1982	-1/2	ei	hyvä	B2007
Keskusta	3h, k, s	kt	6900	160000	2319	2011	6/8	on	hyvä	
Santamäki	3h+k+s	rt	7600	129500	1704	2003		ei	hyvä	C2007
Keskusta	3h, k, s	kt	7250	140000	1931	2009	1/3	ei	hyvä	A2007
Koskela	3h, k, s	rt	6900	82500	1196	1975	1/1	ei	hyvä	C2013
Santamäki	3h,k,s	rt	7600	182000	2395	2013		ei	hyvä	C2018
Ristisuo	3h, k, eril. wc...	rt	8000	114000	1425	1985	1/1	ei	hyvä	A2007
Santamäki	5h, k, ph, s, a...	ok	12000	87000	725	1975	-1/1	ei	hyvä	
Santamäki	4mh, oh, tkh, k...	ok	16710	205000	1227	1994	-1/1	ei	hyvä	E2013
Ristisuo	3-4 mh,k,oh,kph...	ok	14000	248000	1771	2003		ei	hyvä	
Paituri	4h,k,khh/2ph,s,wc	rt	10700	208000	1944	2007		ei	hyvä	
Kempele	4h+k+s	kt	7400	142000	1919	2006	1/1	ei	hyvä	B2007
Sarkkiranta	5h+k+et+ph+s+3xwc	ok	11700	186000	1590	2006	-1/2	ei	hyvä	E2007
Sarkkiranta	3mh, tkh, oh, k...	ok	12350	165000	1336	1979	-1/1	ei	hyvä	
Santamäki	4h, k, s	rt	9750	112575	1155	1990	1/1	ei	hyvä	C2007
Vihiluoto	4h, k, khh, kph...	ok	10700	218000	2037	2012	-1/1	ei	hyvä	
Koskela	5h+k+sa	rt	12000	159000	1325	1976	1/1	ei	hyvä	D2007
Sarkkiranta	4h, k, kph, s, ...	ok	10200	124000	1216	1976		ei	hyvä	
Ollakka	4h, k, kph*2, s...	rt	10400	175000	1683	2007	-1/2	ei	hyvä	D2013
Ristisuo	4mh, olohuone, ...	ok	14900	132000	886	1963		ei	hyvä	
Ristisuo	5h,k,takkah,khh...	ok	15700	161000	1025	1991		ei	hyvä	
Santamäki	5mh,oh,k,khh,ph...	ok	17600	322000	1830	2006		ei	hyvä	
Ristisuo	4h, työh, ...	ok	12900	157000	1217	1974	-1/1	ei	hyvä	
Vihiluoto	4mh, oh, k, aul...	ok	16650	390000	2342	2003	-1/2	ei	hyvä	B2018
Keskusta	4h, k, khh, kph, s	rt	13170	165000	1253	1989	1/1	ei	hyvä	
Vihiluoto	4mh, oh, k, khh...	ok	14400	253000	1757	1983	-1/2	ei	hyvä	
