Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Syväsenvaara	1h, kk, kph	kt	3350	28000	836	1976	1/3	ei	hyvä	F2013
Syväsenvaara	1h, kk, p	kt	3350	34500	1030	1981	1/3	ei	hyvä	E2013
Länsikangas	1h, kk, kph	kt	3800	24500	645	1988	3/3	ei	hyvä	E2013
Nivavaara	2h, k, kph, s, ...	rt	5880	107000	1820	1990	1/1	ei	hyvä	D2007
Nivavaara	2h,k,s,vh	rt	6000	93000	1550	1992	1/1	ei	hyvä	D2018
Nivavaara	2h,kk,s	rt	4900	75000	1531	1986	1/1	ei	hyvä	E2013
Syväsenvaara	2h, k, kph, s, vh	rt	5650	67000	1186	1976	1/1	ei	hyvä	
Nivavaara	2h, k, kph, s	rt	5850	85000	1453	1989	1/1	ei	hyvä	E2013
Syväsenvaara	2h, kk, kph	kt	4000	52000	1300	1976	1/4	ei	hyvä	F2013
Syväsenvaara	2h,k,s	rt	5900	92000	1559	1987	1/1	ei	hyvä	E2018
Syväsenvaara	2mh, oh, k, khh...	rt	9300	237500	2554	2007		ei	hyvä	E2013
Nivavaara	3h+k+s	rt	8000	850	11	1988	1/1	ei	hyvä	E2013
Nivavaara	3h,k,s	rt	7400	107000	1446	1985	1/1	ei	hyvä	E2013
Syväsenvaara	3h,k,s,p	rt	6800	83500	1228	1983	2/2	ei	hyvä	G2007
Syväsenvaara	3h,k,s	rt	7400	105000	1419	1989	1/1	ei	hyvä	G2013
Nivavaara	3h, k, kph, s	rt	7160	133000	1858	2000	1/1	ei	hyvä	E2013
Syväsenvaara	3h, k, kph, s, ...	rt	7350	115000	1565	1985	1/1	ei	hyvä	E2013
Syväsenvaara	3h,k,s	rt	6600	120000	1818	2004	1/1	ei	hyvä	A2007
Syväsenvaara	3h, k, kph, s, ...	rt	6800	75000	1103	1983	2/2	ei	hyvä	G2007
Syväsenvaara	3h, k, s, kph +...	rt	6500	95000	1462	1986	1/1	ei	hyvä	F2013
Syväsenvaara	3h,kk,s	rt	6500	110000	1692	1992	1/1	ei	hyvä	B2007
Syväsenvaara	4h,k,kph,s,wc,k...	ok	11200	145000	1295	1984		ei	hyvä	E2018
Syväsenvaara	3mh, oh/k, khh/...	rt	11400	290000	2544	2010		ei	hyvä	B2007
Syväsenvaara	4h,k,s	rt	8600	93000	1081	1989	1/1	ei	hyvä	G2013
Syväsenvaara	3mh, oh, k, th,...	ok	12200	162000	1328	1969	1/1	ei	hyvä	
Syväsenvaara	5h, k, khh, kph...	ok	14100	282000	2000	2018	-1/1	ei	hyvä	B2013
Syväsenvaara	4mh, oh, k, khh...	ok	13100	249000	1901	2014	-1/1	ei	hyvä	B2013
Syväsenvaara	4h,k,rt,takkah,...	ok	12100	165000	1364	1971		ei	hyvä	E2018
Syväsenvaara	4h,k,s,p	rt	8800	95500	1085	1983	2/2	ei	hyvä	G2007
Syväsenvaara	5h, k, vh, wc, ...	ok	13050	152000	1165	1990	-1/1	ei	hyvä	
