Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Tyysterniemi	1h+kk	kt	3100	38000	1226	1969	5/5	on	tyyd.	E2013
Voisalmi	1h,kk	kt	3300	29000	879	1972	3/5	on		F2013
Voisalmi	1h+k	kt	3600	24000	667	1965	2/3	ei	tyyd.	F2013
Pallo-tyysterniemi	1h, kk	kt	2600	36000	1385	1964	3/3	ei	tyyd.	E
Pallo-tyysterniemi	2h, k, lasitett...	kt	6050	87000	1438	1964	3/3	ei	hyvä	G2013
Voisalmi	2h, kk	kt	4700	45000	957	1978	4/4	ei	hyvä	D2009
Pallo-tyysterniemi	2h, k	kt	5150	90000	1748	1964	2/2	ei	hyvä	D
Voisalmi	2h+k	kt	5700	71000	1246	1986	3/3	ei	tyyd.	D2007
Voisalmi	3h+k+sauna	rt	7800	117000	1500	1991		ei	hyvä	
Voisalmi	3h, k, tkh, s	rt	8950	165000	1844	1982	2/2	ei	hyvä	D2007
Tyysterniemi	3h+k	kt	7700	65000	844	1966	1/2	ei	tyyd.	G2013
Voisalmi	3h,k	kt	7400	43500	588	1965	1/3	ei	tyyd.	F2013
