Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Puotila	1h, kk,kph,alkovi	kt	3050	137000	4492	1961	3/4	ei	tyyd.	D2007
Puotila	1h+ma+kk	kt	3050	135000	4426	1984	2/3	ei	tyyd.	
Puotila	1h, kk	kt	2700	131000	4852	1961	3/3	ei	hyvä	
Puotila	1h, kk, kph, pa...	kt	3300	131000	3970	1961	3/3	ei	tyyd.	D2007
Puotila	1h, kk, ransk.p...	kt	2600	127000	4885	1961	2/3	ei	hyvä	
Puotila	2h, k, kph, par...	kt	5320	181000	3402	1961	3/3	ei	hyvä	E2007
Puotila	2h, k, kph, par...	kt	5500	177000	3218	1961	2/3	ei	hyvä	F2013
Puotila	2 h, k, parveke	kt	4750	185000	3895	1961	3/3	ei	hyvä	E2007
Puotila	2h, kk	kt	4350	173000	3977	1960	1/3	ei	tyyd.	E
Puotila	2h, kph, WC, vh...	rt	3500	189000	5400	1988	-1/2	ei	hyvä	F2013
Puotila	2h, kk	kt	4700	150000	3191	1961	3/3	ei	tyyd.	
Puotila	2h+k+kph+vh+p	kt	4750	157000	3305	1961	1/3	ei	tyyd.	E2007
Puotila	2h+k+kph+vh	kt	4650	147000	3161	1969	3/3	ei	hyvä	E
Puotila	2h, kk, kph, vh	kt	4400	147000	3341	1961	3/3	ei	tyyd.	F
Puotila	2h, k, kph, par...	kt	5000	181000	3620	1961	3/3	ei	hyvä	
Puotila	2h+k+kph+vh+p	kt	4750	141000	2968	1961	2/3	ei	huono	
Puotila	2h, k, kph, par...	kt	5500	159000	2891	1961	2/3	ei	tyyd.	F2013
Puotila	2h, k, kph, parv.	kt	4700	145000	3085	1960	3/3	ei	hyvä	
Puotila	2h, k, kph, vh, p	kt	4750	154000	3242	1961	2/3	ei	tyyd.	
Puotila	2 h, k, kph, p	kt	5600	165000	2946	1961	3/3	ei	tyyd.	F2007
Puotila	2h, k, kph + pa...	kt	4750	178050	3748	1961	2/3	ei	hyvä	
Puotila	2h, k, parveke	kt	5500	127400	2316	1961	3/3	ei		
Puotila	3h, k, kph/wc, ...	kt	6600	219500	3326	1961	3/3	ei	hyvä	
Puotila	3h+k+kph+vaateh...	kt	6600	240000	3636	1961	2/3	ei	hyvä	E2007
Puotila	3 h, k, kph, s,...	kt	8050	260000	3230	2000	4/4	on	tyyd.	D2007
Puotila	3h, k, wc/kph, p	kt	7450	200000	2685	1961	1/3	ei	tyyd.	D2007
Puotila	3h, k, vh, kph,...	kt	6600	158077	2395	1962	3/4	ei	tyyd.	
Puotila	4h, k, kph/wc, ...	kt	9200	291000	3163	1962	1/3	ei	hyvä	
Puotila, itäkeskus, vartiokylä	4h+k	kt	7900	258000	3266	1961	3/3	ei	tyyd.	
Puotila	4 h, k, kph, wc...	kt	8600	277500	3227	1961	2/3	ei	hyvä	
Vartiokylä	3 h, k, työ...	rt	10450	477000	4565	2018	1/2	ei	hyvä	B2018
Puotila	4h+k+kph+2xvaat...	kt	7900	250000	3165	1961	2/3	ei	tyyd.	D2007
Puotila	4h, k, kph, eri...	kt	9250	175000	1892	1973	3/3	ei	tyyd.	E
