Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Tapiola	1h, k,kph/wc,vh...	kt	3450	199000	5768	1960	2/3	ei	hyvä	F
Tapiola	1 h, kk	kt	2670	168000	6292	1960	1/4	ei	huono	E2007
Tapiola	1h, kk	kt	2670	158500	5936	1960	3/4	ei	hyvä	E2007
Tapiola	1h, k	kt	3600	207000	5750	1959	7/8	on	tyyd.	E2013
Tapiola	2h, k, kph /wc,...	kt	4920	259000	5264	1959	2/4	ei	hyvä	E2007
Tapiola	2h, avok, kph, vh	kt	4550	234000	5143	1959	6/8	on	tyyd.	F2007
Tapiola	1-2 h, avok, kp...	kt	4550	295000	6484	1961	5/9	on	hyvä	G
Tapiola	2h, kk, kph, la...	kt	4400	204400	4645	1963	1/5	on	hyvä	E2007
Tapiola	2 h, k, kph, ra...	kt	5600	280000	5000	1959	5/6	ei	hyvä	
Tapiola	2h, k, kph	kt	4600	237000	5152	1960	4/4	ei	tyyd.	D
Tapiola	2 h, rt, k, kph...	kt	6200	250938	4047	1963	2/6	on	hyvä	E2007
Tapiola	2h,k	kt	4920	187000	3801	1960	1/4	ei	tyyd.	E2007
Tapiola	2 h, k, kph, la...	kt	4920	222000	4512	1959	1/4	ei	hyvä	E2007
Tapiola	2h, k	kt	4600	243800	5300	1960	2/4	ei	hyvä	D
Tapiola	3h, avokeitti...	kt	7000	345000	4929	1960	1/3	ei	hyvä	F
Suvikumpu	3h+k+kph+p	kt	7650	346012	4523	1969	1/3	ei	tyyd.	F2007
Tapiola	2-3 h, k, kh, l...	kt	6200	250000	4032	1963	2/6	ei	tyyd.	
Tapiola	3h, kk, kph, la...	kt	7000	323000	4614	1960	2/3	ei	hyvä	D
Tapiola	3h, k, kph, vaa...	kt	7000	315000	4500	1960	1/3	ei	hyvä	D
Tapiola	3h, k, lasitett...	kt	6500	280000	4308	1964	4/5	on	tyyd.	E2007
Tapiola	3h, k, wc, kph,...	kt	8300	330000	3976	1963	5/6	on	hyvä	E2007
Tapiola	3-4h, k, kph, l...	kt	8650	410000	4740	1959	5/8	on	tyyd.	E2013
Tapiola	3-4h, k, kph, e...	kt	10100	698303	6914	2019	4/4	on	hyvä	B2018
Tapiola	4h, k, kph, eri...	kt	9400	438000	4660	1963	3/3	ei	hyvä	E2007
Tapiola	4-5h, kk, kph, ...	kt	8300	299000	3602	1963	3/5	on	hyvä	E2007
Tapiola	4h, k, kph, eri...	kt	8650	415000	4798	1960	3/4	ei	tyyd.	
Tapiola	4-5h, k, kph, 2...	kt	9400	410000	4362	1963	1/3	ei	tyyd.	E2007
Suvikumpu	4h, k, kph, eri...	kt	9900	430758	4351	1969	1/2	ei	tyyd.	F
