Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Alakaupunki	2h, k, kph, s	kt	6100	90000	1475	1990	3/3	on	hyvä	F2013
Linnoitus	2 h, k, kph, vh	kt	6200	47474	766	1956	1/4	ei	tyyd.	F2018
Alakaupunki	2 h, k, kph	kt	4300	35000	814	1962	1/4	ei	tyyd.	G2013
Linnoitus	2 h, kk, kph, s...	kt	4200	100000	2381	1999	2/3	on	hyvä	E2007
Linnoitus	2h,kk,kph	kt	3900	41000	1051	1959	3/3	ei	hyvä	C2007
Linnoitus	2 h, kk, kph, s	kt	5000	119000	2380	2001	2/3	on	hyvä	F2013
Linnoitus	2h,kk	kt	4900	45000	918	1971	2/3	on		D2018
Saviniemi	2 h, k, kph, s,...	rt	6400	89500	1398	1982	1/1	ei	hyvä	G2013
Linnoitus	2 h, k, s, p	kt	5400	145000	2685	2005	2/3	on	hyvä	F2013
Linnoitus	2h,k,kph,p	kt	5200	73000	1404	1962	3/3	ei	hyvä	G2013
Poitsila	2 h, k, kph, p	kt	5800	30000	517	1978	2/3	ei	tyyd.	F2013
Linnoitus	2h,kk,kph, rans...	kt	3800	32000	842	1957	3/4	ei	tyyd.	D2007
Linnoitus	2h, k, kph, p	kt	5300	71632	1352	1954	4/4	ei	hyvä	E2013
Linnoitus	3 h, k, kph, s	kt	8300	185000	2229	2005	1/3	on	hyvä	F2013
Linnoitus	3 h + k	kt	7500	86000	1147	1956	2/5	on	hyvä	D2018
Alakaupunki	3 h, k, s, ak	rt	7500	140000	1867	2005	1/1	ei	hyvä	C2007
Hevoshaka	3 h, k, kph, s,...	rt	7500	131000	1747	2007	1/1	ei	hyvä	
Pappilansaaret	3h, k, s	rt	7900	95000	1203	1989	2/2	ei	hyvä	D2007
Alakaupunki	3h,k,s,lasit.parv	kt	6800	85000	1250	1969	1/2	ei	hyvä	D2018
Hevoshaka	3h, k, kph	rt	6600	49100	744	1969	1/1	ei	tyyd.	G2007
Alakaupunki	3h,k,p	kt	7000	59000	843	1973	1/3	ei		D2007
Saviniemi	4 h, k, kph, s,...	rt	10500	171000	1629	1995	1/2	ei	hyvä	
Poitsila	3 mh, oh, k, kp...	rt	11000	116000	1055	1949		ei	tyyd.	E2018
Ruotsinkylä	4h,k,kph,s,vh	rt	8500	90000	1059	1989	1/1	ei	tyyd.	G2013
