Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Tapiola	2h+k	kt	5500	228000	4145	1964	2/4	ei	tyyd.	E2007
Pohjois-tapiola	2h,k,parv.	kt	5200	190000	3654	1984	3/3	ei	tyyd.	D2007
Tapiola, pohjois-tapiola	2h+k+kph+parv. ...	kt	5250	238000	4533	1963	2/7	ei	hyvä	
Tapiola, pohjois-tapiola	2h+k+kph+parv. ...	kt	5250	228000	4343	1963	5/7	ei	tyyd.	
Pohjois-tapiola	2h+avokeitti...	kt	5000	308000	6160	2016	3/5	on	hyvä	C
Pohjois-Tapiola	2h+k+kph+parveke	kt	5600	256000	4571	1965	3/3	ei	hyvä	E
Pohjois-Tapiola	2h, k, kph/wc+l...	kt	5300	225000	4245	1963	5/7	on	hyvä	D2007
Tapiola	2h,k,s,parv.	kt	6000	325000	5417	2007	3/5	on	hyvä	C2018
Tapiola	2h,k,kph	kt	5300	236000	4453	1963	7/7	on	hyvä	D2007
Pohjois-Tapiola	2h, k, s, lasit...	kt	5800	218000	3759	1982	3/3	ei	hyvä	
Pohjois-Tapiola	2 huonetta, kph...	kt	5050	232000	4594	1965	1/7	on	hyvä	F
Tapiola	2h, k	kt	5250	223000	4248	1963	3/7	on	tyyd.	D2007
Pohjois-tapiola	3h, k, parveke	kt	5950	210000	3529	1980	4/9	on	hyvä	D
Tapiola, pohjois-tapiola	3H+K+KPH+S+2 pa...	kt	9000	472000	5244	2007	4/5	ei	tyyd.	
Pohjois-tapiola	3 h, avok, 2xkp...	rt	10200	370000	3627	1959	1/2	ei	hyvä	
Pohjois-tapiola	3h+k	kt	6900	273000	3957	1965	3/3	ei	tyyd.	E2007
Pohjois-tapiola	3h + k + s	rt	7650	329000	4301	1983	2/2	ei	hyvä	
Pohjois-Tapiola	3h, k, kph,vh,p...	kt	6800	250000	3676	1963	2/4	ei	tyyd.	D2013
Pohjois-Tapiola	3h,k,s, piha, v...	rt	7100	255000	3592	1996	1/1	ei	tyyd.	
Pohjois-tapiola	5h+k+khh+2xkph+...	rt	14500	398000	2745	1977	-1/2	ei	tyyd.	D
Pohjois-tapiola	4h+k+s (is.tod....	rt	9550	415000	4346	1995	2/2	ei	hyvä	
Tapiola	4 h, k, työ...	rt	16500	530000	3212	1973	1/2	ei	hyvä	E2013
Pohjois-tapiola	4h,k,s	rt	9250	365000	3946	1990	1/2	ei	hyvä	D
Tapiola	4-5h, k, s, 2xw...	rt	13200	380000	2879	1974	1/2	ei	hyvä	D2018
Tapiola	3 mh, oh+rt, k,...	rt	15000	510000	3400	1971	1/1	ei	hyvä	E2013
Tapiola	4h, k, sauna, p...	rt	9800	335000	3418	1977	2/2	ei	hyvä	F2007
Tapiola	6h,k,s,khh,lasi...	rt	14100	470500	3337	2002	1/2	ei	hyvä	
Pohjois-Tapiola	4h, k, rt, 2 x ...	rt	16600	525000	3163	1989		ei	hyvä	
Pohjois-Tapiola	4h, k, s, las.p...	kt	8500	280000	3294	1980	3/3	ei	tyyd.	E2013
Tapiola	5h,k,p	kt	9850	385000	3909	1965	2/7	on	hyvä	F2013
