Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Espoon keskus	1h+kt+lasitettu...	kt	3200	178653	5583	2019	5/5	on	hyvä	B
Espoon keskus	1h+kt	kt	3200	174181	5443	2020	4/5	on	hyvä	B2018
Kaupunginkallio	1h+k+s	kt	3350	137000	4090	2005	1/2	ei	hyvä	B2007
Kirkkojärvi	1h, kk, lasitet...	kt	3200	117000	3656	1981	1/5	on	tyyd.	E2007
Kirkkojärvi	1 h+kk+ kph+alk...	kt	3600	111000	3083	1985	1/6	on	tyyd.	D2007
Espoon keskus	2h+kt	kt	4000	196508	4913	2020	2/5	on	hyvä	B2018
Espoon keskus	2h+k	kt	5200	120000	2308	1983	5/5	on	tyyd.	D2018
Espoon keskus	2h, k, kph, las...	kt	4650	178000	3828	2018	3/5	on	hyvä	C2013
Espoon keskus	2h+k+s	kt	5800	173600	2993	1990	3/3	ei		F2013
Mikkelä	2h+k+s+viherhuone	rt	5050	170000	3366	1989	1/1	ei	tyyd.	D
Espoon keskus	2h+k+kph+vh+las...	kt	5850	144774	2475	1983	4/5	ei	hyvä	
Espoon keskus	2h, k, s	kt	5600	204000	3643	2015	2/5	on	hyvä	C2013
Muurala	2h,k,s,käy...	rt	5400	164500	3046	1988		ei	hyvä	
Saarniraivio	2h+k+s+33,2m2 k...	rt	9370	240000	2561	1989	2/2	ei	hyvä	
Kirkkojärvi	3 h, keitti...	kt	9100	218000	2396	1980	1/5	on	hyvä	E2013
Mikkelä	3 h, k, s, parveke	kt	6950	165000	2374	1989	2/2	ei	hyvä	G2013
Muurala	5 h, k, rt, khh...	rt	12200	375000	3074	1997	1/1	ei	hyvä	
