Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Ruskeasuo	1h, avok, kph	kt	3850	210000	5455	1955	3/3	ei	hyvä	F2013
Ruskeasuo	1h, avok, kph	kt	3400	191000	5618	1955	3/3	ei	hyvä	E2007
Ruskeasuo	1h+kk+kph+eteinen	kt	3500	200000	5714	1956	2/3	ei	hyvä	E2007
Ruskeasuo	1h, kk, kph, pa...	kt	2900	195000	6724	1955	1/4	on	tyyd.	G2013
Ruskeasuo	1h, kk, kh	kt	3500	190000	5429	1956	1/3	ei	tyyd.	E2007
Ruskeasuo	2h, k, parveke	kt	4930	304000	6166	1951	2/4	ei	tyyd.	
Ruskeasuo	2h, avok, vh, k...	kt	6050	307000	5074	1994	2/3	ei	hyvä	E
Ruskeasuo	2h+k	kt	5200	316000	6077	1949	3/3	ei	hyvä	
Ruskeasuo	2h, kk	kt	3900	248031	6360	1948	1/3	ei	tyyd.	E2007
Ruskeasuo	2h+kk+kph.	kt	4400	240000	5455	1949	3/3	ei	tyyd.	D2007
Ruskeasuo	2h, kk, kph, pa...	kt	3450	210000	6087	1950	1/4	ei	tyyd.	
Ruskeasuo	2h, k	kt	4930	289000	5862	1951	2/3	ei	hyvä	E2013
Ruskeasuo	2h, k, kph, las...	kt	4450	206000	4629	1969	2/3	on	hyvä	G2013
Ruskeasuo	2h, avokeitti...	kt	3550	240620	6778	1996	5/5	ei	hyvä	
Ruskeasuo	2 h, k, kh, vh, p	kt	5900	280000	4746	1955	1/3	ei	huono	G2013
Ruskeasuo	2h + kk + parveke	kt	4400	290000	6591	1996	1/3	ei	tyyd.	
