Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Kalanti	5h+k/rt+kph+aul...	ok	17100	175000	1023	1952	2/2	ei	hyvä	E2018
Kalanti	4h+k+et+wc+yl...	ok	10000	65000	650	1925		ei		
Kalanti	4h,k,tkh,ph,k,w...	ok	11800	120000	1017	1973		ei		F2018
Kalanti	4h,k,khh,ph,wc,...	ok	11800	104000	881	1974		ei		
Kalanti	4h,k,s	ok	12000	165000	1375	1974		ei	tyyd.	E2018
Kalanti	5h,k,pukuh,ph,s...	ok	12500	99000	792	1976		ei		
Kalanti	4h+k+ph+s+wc	ok	11300	75000	664	1976		ei		
Kalanti	4h,k,ph,s,wc,te...	ok	10300	78000	757	1965		ei		
Kalanti	4h,k,s,autot	ok	12400	104000	839	1976		ei		
