Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Jyskä	1h,kk,las.p	kt	3200	45000	1406	1983	2/3	ei		C2007
Jyskä	1h,kk,s	rt	3800	70000	1842	1989	1/1	ei	tyyd.	C2007
Jyskä	1h,kk,las p	kt	3000	23055	769	1973	3/3	ei	tyyd.	D2007
Jyskä	1h, kk, s, kph,...	rt	3700	60000	1622	1982	1/1	ei	tyyd.	A2007
Äijälä	2h, k, s, kph, ...	kt	5800	106000	1828	1993	1/2	ei	hyvä	G2013
Jyskä	2h,k,kh	kt	5700	63000	1105	1973	2/3	ei	hyvä	D2007
Väinölä	2h, kt, s, p	kt	5000	146000	2920	2019	2/4	on	hyvä	
Jyskä	2h,k	kt	6200	75000	1210	1969	1/3	ei	tyyd.	D2007
Jyskä	2h, k, kph, las.p.	kt	5650	56000	991	1983	2/3	ei	tyyd.	C2007
Jyskä	2h, k, kh, et, ...	kt	5700	34500	605	1975	3/3	ei	huono	D2013
Väinölä	2h, kt, p	kt	4700	143900	3062	2018	4/4	on	hyvä	C2013
Väinölä	2h, kt, p	kt	4700	139900	2977	2018	3/4	on	hyvä	C2013
Väinölä	2h, kt, s, p	kt	5000	146900	2938	2018	1/4	on	hyvä	C2013
Äijälä	2h,k,kph,s,p	kt	5700	97500	1711	1993	2/2	ei	tyyd.	G2013
Jyskä	2h, k, kph, las.p.	kt	5700	77255	1355	1973	1/3	ei	tyyd.	D2007
Jyskä	2h, k, s, kph, ...	rt	5550	133000	2396	1990	1/1	ei	hyvä	E2007
Jyskä	3h,k,kph,s	rt	6800	72000	1059	1974	1/1	ei	tyyd.	
Jyskä	3h,k,s,kph,wc,vh	rt	7600	129000	1697	1983	1/1	ei	tyyd.	C2007
Jyskä	3h, k, s, kph, ...	ok	10100	175000	1733	1997	-1/1	ei	tyyd.	D2018
Väinölä	3h, kt, s, p	kt	6150	209000	3398	2019	3/4	on	hyvä	B2018
Jyskä	3h,k,s,kph,khh,...	ok	8200	154000	1878	2000		ei		
Jyskä	3h, k, s, khh, wc	ok	9000	242000	2689	2014	-1/1	ei	hyvä	C2013
Jyskä	3h,k,kh,s,wc,vh...	rt	8400	157000	1869	2004	1/2	ei		E2013
Väinölä	3h, kt, s, vh, ...	kt	6850	195900	2860	2018	1/4	on	hyvä	C2013
Väinölä	3h, kt, s, vh, p	kt	5500	164900	2998	2018	2/4	on	hyvä	C2013
Jyskä	3h+k+kh	kt	7400	75000	1014	1977	1/3	ei	tyyd.	D2007
Jyskä	4-5h, k, s, kph...	ok	12000	230000	1917	1994	-1/1	ei	hyvä	
Jyskä	5-6h, k, s, 2kp...	rt	17400	245000	1408	2001	-1/2	ei	hyvä	
Jyskä	5h,k,rh,khh,ph,...	ok	16700	210000	1257	1942		ei	tyyd.	
Jyskä	4h,k,s	rt	7800	152500	1955	1986	1/1	ei	tyyd.	
Äijälä	4h,k,s	rt	7700	170000	2208	1986	1/1	ei	tyyd.	
Jyskä	4h, k, s	ok	9200	162000	1761	1987	1/1	ei	tyyd.	F2013
Jyskä	5h,k,2wc,ph,s,a...	ok	15000	178000	1187	1980	-1/2	ei	tyyd.	E2018
Jyskä	4h,k,kh,khh,s +...	ok	10400	234000	2250	1988		ei	hyvä	D2018
