Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Palokka	1h,kt	kt	2700	91425	3386	2020	1/6	on	hyvä	
Palokka	1h,kt,alk	kt	3000	97500	3250	2020	2/6	on	hyvä	
Mannila	Autopaikka	kt	1250	1750	140	2017		on	hyvä	C2013
Mannila	1h, kt	kt	2600	93900	3612	2017	1/6	on	hyvä	C2013
Palokka, pappilanvuori	1h,kk,p	kt	3200	46000	1438	1989	1/4	ei	tyyd.	C2007
Mannila	1h, kt	kt	2600	103000	3962	2017	4/6	on	hyvä	C2013
Mannisenmäki	1h, kt	kt	2900	105850	3650	2018	3/5	on	hyvä	C2013
Palokka	2h,k,s,terassi	rt	5700	115000	2018	1990	1/1	ei	hyvä	F2013
Palokka	2h, kk, s, p	kt	4800	128000	2667	2004	1/6	ei	hyvä	G2018
Palokka	2h, k, s, kph, ...	rt	4500	90000	2000	1989	1/1	ei	tyyd.	G2013
Palokka	2h,k,khh,s	rt	6500	187000	2877	2016	1/1	ei	hyvä	C2013
Palokka, pappilanrinne	2h,k	kt	5100	58275	1143	1979	2/3	ei	tyyd.	C2007
Mannisenmäki	2h, k, s, kph, ...	kt	4450	160000	3596	2018	5/6	ei	hyvä	C
Nuutti	2h,k,s,kph,vh,v...	rt	5800	154000	2655	2007	1/1	ei	hyvä	D2013
Palokka	2h, k,kph, p	kt	5600	79000	1411	1978	2/3	ei	hyvä	D2007
Haukkamäki	2h+k+s	rt	6500	187050	2878	2019	1/1	ei	hyvä	
Ritopohja	2h,k,khh,s	rt	6300	159000	2524	2011	1/1	ei	hyvä	D2007
Palokka	2h, k, kph/WC	rt	5700	91000	1596	1974	1/1	ei	hyvä	E2007
Palokka	2h,k,s	rt	6500	83500	1285	1982	1/1	ei	tyyd.	E2013
Palokka	2h, k, s, kph, ter	rt	5800	120000	2069	1989	1/1	ei	hyvä	G2013
Mannila	2h, kt	kt	3550	115800	3262	2017	1/6	on	hyvä	C2013
Mannisenmäki	2 h+k+s	kt	4700	149700	3185	2018	1/6	on	hyvä	
Mannila	2h, kt	kt	3550	117420	3308	2017	3/6	on	hyvä	C2013
Mannila	2h, kt	kt	3550	121540	3424	2017	5/6	on	hyvä	C2013
Palokka	2h, k, s, kph, ...	kt	5700	163000	2860	2006	2/6	on	hyvä	D2007
Palokka	2h,k,kph,sauna	rt	6200	129000	2081	1984	1/1	ei	tyyd.	
Palokka, haukkamäki	2h,k,s	rt	6000	135000	2250	2007	1/1	ei	tyyd.	D2013
Palokka	2h, k, alk, s, ...	rt	5650	57000	1009	1977	1/1	ei	tyyd.	G2007
Palokka	2h,kt,s,las.p	kt	4800	155000	3229	2014	3/4	on	hyvä	D2007
Haukkamäki	3h+k+s	rt	8000	230550	2882	2019	1/1	ei	hyvä	
Palokka, pappilanvuori	3h,k,kph,p	kt	6800	97500	1434	1978	3/3	ei	tyyd.	C2007
Palokka	3h, k, kph, wc,...	kt	8300	116000	1398	1975	2/2	ei	hyvä	F2013
Palokka	3h,k,kph,s	rt	8200	145000	1768	1988	1/2	ei	tyyd.	E2013
Jokela	3h, k, s, kph, ...	rt	8250	123000	1491	1978	1/1	ei	hyvä	E2013
Haukkamäki	3h+k+s	rt	7600	198000	2605	2017	1/1	ei	hyvä	C2007
Palokka	3h,k,s,ph,var	rt	8100	96500	1191	1984	1/2	ei	tyyd.	C2007
Haukkamäki	3h+k+s	rt	8000	230550	2882	2019	1/1	ei	hyvä	
Haukkamäki	3h+k+s	rt	8000	230550	2882	2019	1/1	ei	hyvä	
Mannila	3h, kt, s	kt	5550	173040	3118	2017	3/6	on	hyvä	C2013
Korppumäki	3h, k, s, kph, ...	rt	7800	141000	1808	1987	1/1	ei	hyvä	F2013
Palokka	3h+k+s+las.p	kt	6700	114124	1703	1990	1/3	ei	hyvä	B2007
Palokka	3h+k+s	rt	7600	194500	2559	2017	1/1	ei	hyvä	C2007
Palokka	3h+k+s	rt	7600	201500	2651	2017	1/1	ei	hyvä	C2007
Palokka	3h, k, s, kph, ...	rt	8050	150000	1863	1984	-1/2	ei	hyvä	C2007
Palokka	3h,k,s,ph,wc,te...	rt	8100	155000	1914	1981	1/1	ei	hyvä	D2007
Palokka	3h, k, kh, lasi...	kt	6800	95000	1397	1978	1/3	ei	hyvä	C2007
Palokka	3h,k,s,lasit.p	kt	6700	118000	1761	1990	2/3	ei	hyvä	B2007
Palokka	3h, k, kph, las.p.	kt	7050	118000	1674	1977	-1/3	ei	hyvä	D2007
Mannila	3h, kt, s	kt	5550	184780	3329	2017	3/6	on	hyvä	C2013
Mannisenmäki	3 h+k+s	kt	6900	235900	3419	2018	4/6	on	hyvä	
Palokka/nuutti	3h,k,khh,s	rt	8200	184500	2250	2007	1/1	ei	hyvä	D2013
