Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Gammelbacka	2h+kk	kt	4950	73300	1481	1976	4/5	on	tyyd.	F2013
Alkrog	2h, k, kph-s	rt	6200	148000	2387	1986	1/1	ei	hyvä	
Lehtihamari	2h,k,s	kt	5900	125000	2119	1990	2/2	ei	hyvä	G2013
Gammelbacka	2h+k+ph+s+erill...	rt	6150	150000	2439	1984	1/1	ei	hyvä	D2007
Haikkoo	2h, k, s, vh, v...	rt	6650	176000	2647	1990	1/1	ei	hyvä	B
Haikkoo	2h, avok, s	kt	4800	145000	3021	2014	2/2	ei	hyvä	C2013
Uutela	2-3h, k, s, kph	rt	6600	217000	3288	2004		ei	hyvä	
Gammelbacka	2h, k, kph, vh,...	kt	5900	82000	1390	1971	5/5	on	hyvä	E2013
Gammelbacka	2h,k,kph,s	rt	5800	135000	2328	1990	1/1	ei	hyvä	E2007
Gammelbacka	3h, k, kph, wc	rt	8000	170000	2125	1995	1/1	ei	hyvä	E
Lehtihamari	3h, avok-rt, kp...	rt	8000	177000	2213	1990	1/1	ei	hyvä	D2007
Gammelbacka	3H+K+S	rt	7800	155000	1987	1978	1/1	ei	tyyd.	
Lehtihamari	3+k+s	rt	7050	188000	2667	2006	2/2	ei	hyvä	
Lehtihamari	3h + k +kph+ s ...	kt	6900	152000	2203	1990	1/2	ei	hyvä	G2013
Uutela	3h, k, kph, s, ...	rt	8150	172000	2110	2006	1/2	ei	tyyd.	
Uutela	3h, k, s, kph	rt	7100	185000	2606	2006	1/2	ei	hyvä	D2007
Gammelbacka	3h+k	kt	7450	102000	1369	1974	2/5	on	tyyd.	G2013
Gammelbacka	3h,k	kt	7500	135000	1800	1974	2/8	on	hyvä	F2013
Gammelbacka	3h+k+s	rt	7050	169000	2397	1989	1/1	ei	hyvä	
Gammelbacka	3h+k	kt	7600	79000	1039	1971	4/7	ei	tyyd.	
Gammelbacka	3h, k, kph, vh,...	kt	7450	108000	1450	1973	7/8	on	hyvä	F2013
Purola	5h+k+kph+erilli...	rt	10500	200000	1905	1971	1/1	ei	hyvä	F2013
Haikkoo	4h,k,s	rt	9500	256000	2695	2004	1/1	ei	hyvä	D2007
Haikkoo	4h,k,s	rt	9600	240000	2500	2004	1/2	ei		D2007
Uutela	4h+k+wc+aula+kh...	rt	9800	225000	2296	1999	1/2	ei	hyvä	F2013
Haikkoo	4-5h, k, s, ph,...	rt	10700	287000	2682	2013	2/2	ei	hyvä	B2007
Haikkoontörmä	4h, k, s, wc	rt	9300	216000	2323	1990	2/2	ei	hyvä	D2007
Haikkoo	4h, k, khh, ph-...	rt	8850	280000	3164	2013	-1/2	ei	hyvä	A2007
Gammelbacka	4h, k, s	rt	9800	181000	1847	1985	1/2	ei	hyvä	D2013
