Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Saunalahti	1H+KT	kt	2800	146113	5218	2019	5/6	on	hyvä	C2013
Saunalahti	1h+kt+kh+lasite...	kt	2800	136342	4869	2019	3/6	ei	hyvä	C
Saunalahti	3h + kt	kt	5800	260879	4498	2019	6/6	on	hyvä	C
Saunalahti	2h+k+s+las.parv	kt	5350	228000	4262	2007	4/4	on	hyvä	D2007
Saunalahti	2h+kk+s+parveke	kt	5200	220000	4231	2007	3/5	on	hyvä	B2007
Saunalahti	2h+kt+tt	kt	4350	253638	5831	2019	1/6	on	hyvä	C
Saunalahti	2h, k, s, kph, ...	kt	4700	235000	5000	2016	6/6	on	hyvä	C2013
Saunalahti	2h, kt, kph	kt	4150	172000	4145	2018	2/6	on	hyvä	C2013
Saunalahti	3h, k, s, lasit...	kt	7200	275000	3819	2007	2/5	on	hyvä	C2007
Saunalahti	3h, kk, kph/wc/...	kt	7400	317000	4284	2016	3/5	ei	hyvä	
Tillinmäki	3h, k, 2kph, s,...	rt	7700	280000	3636	2015	1/2	ei	hyvä	C2013
Tillinmäki	3h, k, 2xkph, s...	rt	7200	294500	4090	2017	1/2	ei	hyvä	C2013
Saunalahti	3h+kt+s	kt	5750	273185	4751	2019	6/6	ei	hyvä	C
Tillinmäki	3h+kt+s+kph+wc+...	rt	7600	290000	3816	2015	1/2	ei	hyvä	C2013
Saunalahti	3h, k, ruok, kp...	kt	7700	240000	3117	2004	3/4	on	hyvä	D2007
Saunalahti	3h, keittiö...	kt	7250	285000	3931	2007	4/4	on	hyvä	D2007
Saunalahti	4h+kt+erill.wc+...	kt	7950	329800	4148	2019	6/6	ei	hyvä	C2013
Saunalahti	4h, k, s	kt	11150	363000	3256	2005	5/5	on	hyvä	F2013
Saunalahti	4h k,s, las.par...	kt	12750	360000	2824	2004	1/2	ei	hyvä	
Saunalahti	5h, k, s, parve...	rt	10300	469900	4562	2017	1/2	ei	hyvä	
Saunalahti	4h+kt+s	kt	8700	321119	3691	2019	4/6	on	hyvä	C
Nöykkiö	5-6h+k+s+kph+2 ...	rt	12150	300000	2469	1989	2/2	ei	hyvä	B2007
