Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Katajaranta	Autokatospaikka	kt	1300	8500	654	2020	1/3	on	hyvä	B2018
Katajaranta	1h,k,ransk.p	kt	3000	133100	4437	2020	3/3	on	hyvä	B2018
Katajaranta	Autopaikka	kt	1300	4000	308	2020	1/3	on	hyvä	B2018
Pahtaja	1h, kk, alk, kp...	rt	2500	16000	640	1967	1/1	ei	tyyd.	
Kiiruna	1h, kk, kph	kt	2800	45000	1607	1954	5/7	on	hyvä	G2007
Katajaranta	Autopaikka	kt	1300	4000	308	2020	1/3	on	hyvä	B2018
Katajaranta	Autopaikka	kt	1300	4000	308	2020	1/3	on	hyvä	B2018
Katajaranta	Autokatospaikka	kt	1300	8500	654	2020	1/3	on	hyvä	B2018
Katajaranta	Autokatospaikka	kt	1300	8500	654	2020	1/3	on	hyvä	B2018
Kiiruna	1h, kk, kph, alk	kt	2800	54372	1942	1955	6/7	on	hyvä	G2007
Katajaranta	1h, kk, kph, vh	kt	3450	43000	1246	1977	2/2	ei	hyvä	
Ounasmetsä	1h, kk, kph, vh...	kt	3200	46000	1438	1985	2/2	ei	hyvä	E2013
Katajaranta	2h,kk,s,terassi	kt	4400	166700	3789	2020	1/3	on	hyvä	B2018
Katajaranta	2h,k,s,p	kt	4400	163600	3718	2020	2/3	on	hyvä	B2018
Ounasmetsä	2h,k,p	kt	6400	69250	1082	1978	2/3	ei	hyvä	
Katajaranta	2h,k,s,p	kt	4400	169600	3855	2020	3/3	on	hyvä	B2018
Ounasmetsä	2h+kk+s+autopaikka	rt	5500	87500	1591	1977	1/1	ei	hyvä	E2013
Katajaranta	2h, kk, kph	kt	3520	62488	1775	1957	1/3	ei	hyvä	F2013
Katajaranta	2h, kk, kph, s, p	kt	4100	73000	1780	1990	2/2	ei	hyvä	
Katajaranta	2h,k,s,p	kt	4700	179800	3826	2020	3/3	on	hyvä	B2018
Katajaranta	2h,kk,s,p	kt	4400	175800	3995	2020	2/3	on	hyvä	B2018
Ounasmetsä	2h, kk, kph	rt	5250	46000	876	1969	1/1	ei	hyvä	E2013
Kiiruna	2h, kk, kph	kt	4000	62000	1550	1956	1/7	on	hyvä	
Ounasmetsä	2h,kk,p	kt	4600	60000	1304	1978	2/3	ei	hyvä	
Ounasrinne	2h,k,p	kt	5900	23000	390	1978	1/3	ei	hyvä	F2013
Katajaranta	2h, k, kph, s, ...	kt	5520	158500	2871	2007	1/2	ei	hyvä	C2013
Ounasmetsä	3h,k,kph,wc,s +...	rt	6700	114000	1701	1990	1/1	ei	hyvä	D2013
Ounasmetsä	3h, k, s, p, vh...	kt	7250	136000	1876	1983	2/2	ei	hyvä	
Katajaranta	3h,k,s,p	kt	6200	249700	4027	2020	3/3	on	hyvä	B2018
Pahtaja	3h,k,s	rt	6900	92000	1333	1967	1/1	ei	hyvä	
Katajaranta	3h,k,s,p	kt	6200	243600	3929	2020	2/3	on	hyvä	B2018
Katajaranta	3h,k,s,p	kt	6800	269800	3968	2020	3/3	on	hyvä	B2018
Katajaranta	3h,k,p	kt	7200	85500	1188	1977	1/2	ei	hyvä	
Ounasmetsä	3h,k,kph,vh	rt	6500	68000	1046	1961	1/2	ei	hyvä	D2013
Katajaranta	3h, k, s	kt	6100	115000	1885	1957	1/3	ei	hyvä	F2013
Ounasmetsä	3h,k,kph,s,wc,vh	rt	6500	80000	1231	1961	1/2	ei	hyvä	D2013
Katajaranta	3h, k, kph, s, ...	rt	8050	113000	1404	1977	-1/2	ei	hyvä	D2013
Ounasmetsä	3h,k,s,erill.wc,vh	rt	7900	116000	1468	1977	1/1	ei	hyvä	E2013
Ounasmetsä	4h,k,rt,khh,s,a...	ok	13300	208000	1564	1976		ei	hyvä	E2018
Ounasmetsä	3mh, oh, k, rt,...	ok	16250	181000	1114	1988	-1/2	ei	hyvä	C2018
Ounasmetsä	5h, k, khh, kph...	ok	12140	205000	1689	2008		ei	hyvä	C2018
Ounasmetsä	4h, k, kph, s, ...	rt	9750	230000	2359	2007	-1/2	ei	hyvä	D2013
Ounasmetsä	3mh, oh, k, eri...	ok	10480	185000	1765	1987	-1/1	ei	hyvä	C2018
Ounasmetsä	4h,k,khh,s,ak,var	ok	12400	250000	2016	2010		ei	hyvä	C2018
Ounasmetsä	57 huoneistoa: ...	kt	221100	925000	418	1984	-1/4	ei	hyvä	E2013
Ounasmetsä	3mh, oh, k, tak...	ok	15900	430000	2704	2010	-1/2	ei	hyvä	C2007
Pahtaja	5h, k, s	rt	10400	135000	1298	1978	1/1	ei	hyvä	
