Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Nahkuri	2h,k,s	rt	5400	61000	1130	1985		ei	hyvä	F2018
Friitala	2h,k,s	kt	6100	122000	2000	2004	3/4	on	hyvä	F2013
Friitala	2h, k, p	kt	5800	33000	569	1972	1/3	ei	tyyd.	B2013
Friitala	2h,kk,s	kt	4800	91000	1896	1999	4/4	ei		B2013
Friitala	3h+k+wc+ph+s+vh...	kt	7300	120000	1644	1999	3/4	on	hyvä	B2013
Friitala	3h+k+p	kt	7500	53000	707	1973	2/3	ei	hyvä	D2013
Palovainio	3h, k, ph, s, wc	rt	7800	107000	1372	1995	1/2	ei	hyvä	G
Palovainio	3h, k, kph/wc, ...	rt	7800	109000	1397	1995	1/2	ei	hyvä	G
Ulvila	2mh, k, oh, th,...	rt	10100	93500	926	1972	1/1	ei	tyyd.	
Palovainio	3h, k, khh, wc, s	rt	8600	149000	1733	1999	1/1	ei	hyvä	
Friitala	4h+k+s	ok	13000	150000	1154	1936		ei		
Friitala	7h,k,s	ok	20000	140000	700	1952		ei	hyvä	E2018
Friitala	4h+k+s	ok	9300	150000	1613	1981		ei		
Friitala	4-5h+k	ok	10500	137000	1305	1920		ei		
Uotila	4h, k, s, autot...	rt	8350	114500	1371	2005	1/1	ei	hyvä	E
Friitala	4h,k,s	rt	10500	123000	1171	1989		ei		
Hakanpää	4h, k, s	rt	9500	124000	1305	1979	2/2	ei	hyvä	D2007
Palovainio	oh, k, 3mh, ph/...	rt	9100	126000	1385	1996	1/2	ei	hyvä	F
