Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Pajala	1h, avokeitti...	kt	3650	159000	4356	2016	10/12	on	hyvä	C
Pöytäalho	1h,kk	kt	3400	96500	2838	1973	1/4	on	hyvä	D2013
Järvenpää	1h+kk+s+lasit.p...	kt	3450	111000	3217	1983	3/3	ei	hyvä	F
Sorto	2h+k+s+var+yl...	rt	5700	150000	2632	1974	1/2	ei	hyvä	D2013
Isokytö	2 h+k+s	rt	6250	161000	2576	1986	1/1	ei	hyvä	C2013
Isokytö	2h,k,kph,s.wc,v...	rt	5800	123000	2121	1989	1/1	ei	hyvä	
Pöytäalho	2h, kk, kph, s, p	kt	4000	132000	3300	1990	2/4	ei	hyvä	
Pöytäalho	h,kt	kt	3600	199000	5528	2020	5/5	ei	hyvä	C2013
Isokytö/väinönkulma	2h,k,kph,s,eril...	rt	5700	163500	2868	1986	1/1	ei	hyvä	
Peltola	2h,k,kh,s	rt	4600	139000	3022	1987	1/1	ei	hyvä	E2007
Pöytäalho	2h,kk,kph,s,las...	kt	4800	185000	3854	2008	2/6	ei	hyvä	
Pajala	2h, kk	kt	5000	102000	2040	1985	2/3	ei	hyvä	C2012
Isokytö	2 h, keitti...	rt	6400	151000	2359	1988	1/1	ei	hyvä	E2018
Pajala	2h,k	kt	6000	110000	1833	1989	3/3	ei	tyyd.	C2007
Pajala	2h,k,s,p	kt	5400	214000	3963	2015	1/5	on	hyvä	C2013
Pöytäalho	2h,kk,s, lasite...	kt	4300	145000	3372	2002	2/5	on	hyvä	D2007
Isokytö	2h,k,kh,wc,s	rt	6400	139000	2172	1988	1/1	ei	hyvä	C2013
Peltola	2h,k,s	rt	5900	151000	2559	1986	1/1	ei	hyvä	F2013
Pajala	2h,k,kph,lasite...	kt	6000	125000	2083	1985	1/3	ei	hyvä	C2007
Sorto	2h, k, s	rt	5150	146200	2839	1990	1/1	ei	tyyd.	
Pöytäalho	2h, k	kt	6150	106000	1724	1968	3/4	on	tyyd.	E2014
Isokytö	2h,kk,s	rt	5400	125000	2315	1989	1/1	ei	tyyd.	E2007
Peltola	2 h, k, s	rt	5200	175000	3365	2014	1/1	ei	hyvä	A2007
Peltola	2h, kt, s	rt	5200	179500	3452	2014	1/1	ei	hyvä	A2007
Pöytäalho	2h,k,s	kt	5100	133000	2608	1980	4/4	on	hyvä	E2013
Pöytäalho	2h+k+lasitettu ...	kt	5500	98000	1782	1969	2/4	on	tyyd.	E2007
Peltola	3h,k,s,vh,ap	rt	7300	186500	2555	1988	1/1	ei	hyvä	E2013
Peltola	3h,k,kh,s,khh	rt	9100	264500	2907	2005	1/1	ei	hyvä	
Peltola	3h,k,s	rt	8000	214000	2675	1999	1/1	ei	hyvä	
Peltola	3h+k	rt	7900	120000	1519	1970	1/1	ei	tyyd.	
Pajala	3h,k,s	kt	7500	174000	2320	1990	4/5	on	hyvä	D2007
Peltola	3h,k,s,ak	rt	7400	166000	2243	1986	1/1	ei	hyvä	F2013
Sorto	3h,k,s,var	rt	7900	270000	3418	2013	1/1	ei	hyvä	D2018
Pajala	3h,k,kph,s, las...	kt	7550	150000	1987	1986	3/5	on	tyyd.	D2007
Keskusta	3h, k	kt	7850	135000	1720	1982	1/6	on	tyyd.	C2007
Peltola	3h, k, s	rt	7400	176000	2378	1986	1/1	ei	hyvä	F
Peltola	3-4h, k, ph, s	rt	8900	136000	1528	1974	1/1	ei	tyyd.	F2013
Sorto	3h,k,kph	kt	7500	160000	2133	1967	7/7	on	hyvä	D2013
Pajala	3h,k,vh+lasit. ...	kt	7850	148000	1885	1979	1/4	ei	hyvä	D2007
Pajala	3h, k, las.p	kt	6800	150000	2206	1972	2/3	ei	hyvä	E2007
Isokytö	4h,k,2kph,khh,s...	rt	9400	260000	2766	2010	2/2	ei	hyvä	
Peltola	4-5h,k,s	ok	9900	115000	1162	1968		ei	huono	
Peltola	4-5h,k,s,kph,2w...	rt	10400	260000	2500	2002	1/1	ei	hyvä	
Pajala	3-4h, k, s, eri...	rt	10450	178000	1703	1972	2/2	ei	hyvä	
Sorto	4h+k+s	rt	9700	185000	1907	1986	1/1	ei	tyyd.	
Pöytäalho	4h+k+s	rt	8600	232000	2698	1987	2/2	ei	hyvä	
Isokytö	4h+k+s+kph+khh+...	rt	10300	260000	2524	2000	1/1	ei	hyvä	E2018
Peltola	4h + k +2WC + p...	ok	9900	148000	1495	1968	1/1	ei	tyyd.	
Pajala	4h,k,s,khh,ap	rt	9300	249000	2677	1990	1/2	ei	hyvä	F2013
Isokytö	4h,k,rt,s,ph, w...	rt	10450	188000	1799	1972	1/2	ei	hyvä	E2007
Peltola	5h, k, s	rt	11400	336000	2947	2007	1/1	ei	hyvä	
