lat	lon
60.157988	24.940139
60.162237	24.931177
60.16318	24.93368
60.16089	24.94178
60.157802	24.935992
60.15783	24.93573
60.16278	24.93903
60.16288	24.93909
60.161274	24.941349
60.158449	24.934163
60.186083	24.951485
60.16281	24.92305
60.16545	24.92693
60.1627	24.92315
60.164766	24.938327
60.1661	24.94215
60.16465	24.93775
60.1617	24.928
60.16281	24.92489
60.16146	24.92483
60.16621	24.94236
60.163603	24.935071
60.16346	24.92768
60.16223	24.92956
60.16795	24.93143
60.1654	24.92675
60.16776	24.9313
60.16875	24.9353
60.168809	24.935728
60.16843	24.92115
60.1673	24.9212
60.17331	24.94921
60.16776	24.94159
60.16823	24.9411
60.16901	24.95046
60.17036	24.9413
60.16896	24.94983
60.1704	24.94061
60.171783	24.947617
60.171177	24.944893
60.1736	24.94958
60.17165	24.94751
60.17021	24.94523
60.17035	24.94545
60.17045	24.9377
60.17023	24.93798
60.16874	24.94248
60.1689	24.94686
60.16886	24.94206
60.16893	24.94613
60.1653	24.943211
60.16505	24.9439
60.16516	24.94395
60.1652	24.95261
60.1651	24.95253
60.16761	24.9522
60.16736	24.95171
60.2031	24.96565
60.20303	24.96603
60.203689	24.965772
60.20782	24.968094
60.209028	24.968544
60.17183	24.95326
60.17216	24.95335
60.17036	24.95353
60.17407	24.95208
60.16912	24.95556
60.16915	24.95611
60.17401	24.95236
60.17014	24.953501
60.16288	24.90795
60.16255	24.90793
60.16338	24.91418
60.16335	24.91484
60.163552	24.919945
60.163533	24.920651
60.21514	24.94866
60.21658	24.95448
60.213097	24.943403
60.210375	24.94452
60.21519	24.949
60.21289	24.94344
60.2106	24.944477
60.205337	24.892668
60.205452	24.89235
60.20815	24.892767
60.20771	24.89218
60.194506	24.872621
60.19533	24.87345
60.195947	24.873401
60.19788	24.87746
60.19793	24.8772
60.19673	24.88321
60.19678	24.88296
60.16156	24.95638
60.16153	24.95633
60.2004	24.94176
60.208348	24.945462
60.20816	24.94549
60.2031	24.94535
60.202907	24.945287
60.19669	24.941768
60.198037	24.940327
60.199135	24.94007
60.20141	24.93678
60.20036	24.94221
60.20108	24.93925
60.16618	24.96881
60.16611	24.96915
60.16675	24.97206
60.16743	24.96186
60.1674	24.96286
60.16681	24.96485
60.16676	24.96486
60.1676	24.97551
60.16669	24.97179
60.16428	24.9697
60.16563	24.96831
60.16553	24.96853
60.16735	24.97428
60.158277	24.94121
60.161023	24.947501
60.158017	24.9419
60.15825	24.94543
60.15823	24.94513
60.158483	24.949833
60.1585	24.94946
60.15956	24.95505
60.159542	24.95471
60.1628	24.94603
60.16332	24.94539
60.16211	24.94831
60.49046	25.034187
60.49141	25.033081
60.482308	25.041084
60.483613	25.042616
60.492996	25.013499
60.483647	24.974288
60.486189	24.972271
60.486755	24.972114
60.489264	24.969857
60.489927	24.969136
60.187467	24.95313
60.18688	24.95236
60.1889	24.95285
60.186052	24.941642
60.18656	24.94761
60.18677	24.94846
60.186544	24.949786
60.1875	24.94847
60.19117	24.91126
60.19113	24.91136
60.19128	24.90543
60.19125	24.90558
60.19333	24.89456
60.19326	24.89463
60.19455	24.89175
60.19445	24.89183
60.198075	24.933694
60.198002	24.933908
60.526927	25.037865
60.529844	25.044256
60.532194	25.050223
60.534515	25.05692
60.204017	24.895583
60.203193	24.898717
60.20413	24.89576
60.203227	24.89831
60.198317	24.90125
60.19913	24.90095
60.180568	24.9498
60.179221	24.950207
60.179068	24.950066
60.18228	24.92659
60.18486	24.92255
60.18199	24.92695
60.18575	24.9213
60.18868	24.91911
60.18733	24.91918
60.18874	24.91779
60.17971	24.92371
60.17956	24.92358
60.18205	24.92821
60.184192	24.931828
60.18195	24.92785
60.18445	24.93198
60.414022	25.049991
60.415198	25.051276
60.395299	25.058995
60.395692	25.057409
