Postal code	Surface area (2013)	Surface area (2014)	Surface area (2015)	Surface area (2016)	Surface area (2017)
15680	16095720.0	16491180.0	16491180.0	16491180.0	16491180.0
15700	49212014.0	48822318.0	48493216.0	48493216.0	48493216.0
15800	3600475.0	3606287.0	3565936.0	3565936.0	3565936.0
15810	1448993.0	1429668.0	1402479.0	1402479.0	1402479.0
15820	20379921.0	20473462.0	21373135.0	21373135.0	21373135.0
15830	1558988.0	1580451.0	1576653.0	1576653.0	1576653.0
15840	1552764.0	1465262.0	1462513.0	1462513.0	1462513.0
15850	2410597.0	2523781.0	2536606.0	2536606.0	2536606.0
15860	9880253.0	9683393.0	9262280.0	9262280.0	9262280.0
15870	4165624.0	4222472.0	3927943.0	3927943.0	3927943.0
15880	107164228.0	107815150.0	112150490.0	112150490.0	112150490.0
15900	3492314.0	3341412.0	3341412.0	3341412.0	3341412.0
15950	8623045.0	8721082.0	8721082.0	8721082.0	8721082.0
15980	3399089.0	3399089.0	3399089.0	3399089.0	3399089.0
16100	79513492.0	80320903.0	80257994.0	80257994.0	80257994.0
16160	28432289.0	27775139.0	26355680.0	26355680.0	26355680.0
16200	74388147.0	74003570.0	74003570.0	74003570.0	74003570.0
16230	67519874.0	71258391.0	71258391.0	71258391.0	71258391.0
16260	44286458.0	44519545.0	44519545.0	44519545.0	44519545.0
16270	19925424.0	20119503.0	20119503.0	20119503.0	20119503.0
16280	77917831.0	79263451.0	79263451.0	79263451.0	79263451.0
16300	244469279.0	244743169.0	244743169.0	244743169.0	244743169.0
16310	32971340.0	33315896.0	33315896.0	33315896.0	33315896.0
16320	28993533.0	28820092.0	28820092.0	28820092.0	28820092.0
16330	40254809.0	39143121.0	39143121.0	39143121.0	39143121.0
16350	42505395.0	42505395.0	42505395.0	42505395.0	42505395.0
16390	43474165.0	44445237.0	44445237.0	44445237.0	44445237.0
16450	50922934.0	51334432.0	51334432.0	51334432.0	51334432.0
16500	61183143.0	61080944.0	61080944.0	61080944.0	61080944.0
16510	57870236.0	57555039.0	57555039.0	57555039.0	57555039.0
16540	41868521.0	39833246.0	39833246.0	39833246.0	39833246.0
16600	105105627.0	102790147.0	102790147.0	102790147.0	102790147.0
16610	66902347.0	67638966.0	67638966.0	67638966.0	67638966.0
16630	37950961.0	37162662.0	37162662.0	37162662.0	37162662.0
16670	66959067.0	69960323.0	69960323.0	69960323.0	69960323.0
16710	39232482.0	38972744.0	35117660.0	35117660.0	35117660.0
16730	68336363.0	69265182.0	68979801.0	68873824.0	68873824.0
16790	30584258.0	31017054.0	31017054.0	31017054.0	31017054.0
16800	186738096.0	189274647.0	189464658.0	189464658.0	189464658.0
16900	490246861.0	491063819.0	491063819.0	490794089.0	492174254.0
16960	26340178.0	25415961.0	25415961.0	25415961.0	25415961.0
16970	84278475.0	88012331.0	88012331.0	88012331.0	88012331.0
16980	3364152.0	1380165.0	1380165.0	1380165.0	
17110	18258933.0	18324304.0	19442905.0	19442905.0	19442905.0
17120	63406651.0	63324944.0	63142362.0	63087028.0	63087028.0
17130	52536215.0	54433227.0	54433227.0	54984009.0	54984009.0
17150	100870770.0	100585228.0	101471530.0	102081689.0	102308365.0
17200	125829953.0	125952264.0	125952264.0	125414221.0	125414221.0
17220	70780207.0	72874296.0	72874296.0	72874296.0	72874296.0
17240	152113193.0	145150265.0	145150265.0	145150265.0	145150265.0
17320	100479872.0	103329301.0	103329301.0	103329301.0	103329301.0
17410	64914209.0	63781984.0	63781984.0	63781984.0	63781984.0
17430	45718414.0	43696851.0	43696851.0	43696851.0	43696851.0
17440	5660346.0	6077912.0	6077912.0	6077912.0	6077912.0
17450	63356549.0	59789176.0	59789176.0	59789176.0	59789176.0
17470	53198519.0	52921443.0	52921443.0	52921443.0	52921443.0
17500	244488579.0	243045158.0	242767182.0	242767182.0	242767182.0
17510	79473686.0	78766625.0	78766625.0	78766625.0	78766625.0
17530	72721345.0	71963831.0	71963831.0	71963831.0	71963831.0
17610	122825548.0	120551174.0	120467434.0	120737164.0	120737164.0
17630	66345031.0	68928201.0	69974506.0	69974506.0	69974506.0
17710	53457924.0	54527082.0	54527082.0	54527082.0	54527082.0
17740	42448148.0	43330997.0	45132448.0	45132448.0	45132448.0
17780	38204996.0	37295149.0	36938290.0	36938290.0	36938290.0
17800	450831052.0	453865801.0	455948418.0	468773161.0	474720366.0
17840	36462239.0	33783931.0	33016258.0	33016258.0	33016258.0
17850	79838783.0	81441690.0	83505609.0	83505609.0	83505609.0
17870	47842622.0	52858381.0	52858381.0	52858381.0	52858381.0
17930	87035159.0	86476951.0	85999959.0	86998620.0	86998620.0
17950	80033821.0	60955083.0	61172016.0	47993664.0	44733339.0
17970	34025298.0	35269682.0	35091062.0	35598288.0	35598288.0
18100	63673123.0	63037739.0	65030158.0	65030158.0	65030158.0
18120	5054898.0	5068640.0	5121995.0	5121995.0	5121995.0
18130	4642584.0	4776140.0	4824798.0	4824798.0	4824798.0
18150	11739586.0	11660706.0	11611976.0	11611976.0	11611976.0
18200	5210326.0	5260362.0	5542147.0	5542147.0	5542147.0
18300	381729728.0	376566410.0	374163518.0	374163518.0	374163518.0
18600	65082714.0	66710521.0	65345652.0	65345652.0	65118976.0
19110	47065916.0	47315130.0	47315130.0	47315130.0	47315130.0
19120	12773968.0	12044027.0	12044027.0	12044027.0	12044027.0
19160	128007234.0	131847973.0	132810318.0	132810318.0	132810318.0
19210	120120745.0	112715658.0	113981075.0	113981075.0	113981075.0
19230	110700696.0	100535239.0	105044269.0	105044269.0	105044269.0
19250	34034010.0	35271610.0	30553531.0	30553531.0	30553531.0
19260	61602691.0	58745916.0	59806263.0	59806263.0	59806263.0
19310	45651448.0	42573822.0	42573822.0	42573822.0	42573822.0
19320	51648602.0	53933785.0	53933785.0	53933785.0	54318004.0
19370	135125227.0	139636856.0	139298968.0	139298968.0	139298968.0
19410	81486729.0	86590843.0	86590843.0	86590843.0	86590843.0
19420	64382904.0	63478650.0	63478650.0	63478650.0	63478650.0
19430	107397987.0	108787353.0	108787353.0	108787353.0	108787353.0
19460	70104533.0	76585179.0	76585179.0	76555370.0	76555370.0
19470	46582176.0	47424023.0	47424023.0	47424023.0	47424023.0
19480	27575335.0	26839993.0	26839993.0	26839993.0	26839993.0
19510	27365597.0	25313177.0	25313177.0	25313177.0	25313177.0
19540	187289669.0	199118490.0	199118490.0	199118490.0	199118490.0
19600	253746966.0	256455626.0	254694209.0	255267023.0	255018172.0
19610	32332682.0	32721814.0	32721814.0	32149000.0	32149000.0
19620	64474773.0	58408598.0	58408598.0	58408598.0	58408598.0
19630	27403162.0	26734792.0	26734792.0	26734792.0	26734792.0
19650	523444219.0	523318126.0	523318126.0	523051070.0	523051070.0
19670	104218463.0	95625695.0	94981793.0	95705939.0	95705939.0
19700	457853464.0	462962041.0	462715284.0	462715284.0	458497808.0
19730	4421606.0	4564238.0	4508481.0	4508481.0	4508481.0
19740	110210180.0	111427279.0	112793885.0	112793885.0	116875993.0
19770	38441982.0	37859528.0	37859528.0	37859528.0	37859528.0
19850	93902698.0	97638655.0	98059507.0	98059507.0	98059507.0
19910	131449390.0	135781245.0	135781245.0	135781245.0	135781245.0
19920	67689728.0	67497428.0	67497428.0	67497428.0	67497428.0
19950	175750414.0	173220895.0	173967013.0	173967013.0	173967013.0
20100	48737849.0	25376542.0	25376542.0	13287757.0	13287757.0
20200	3232611.0	3007606.0	3007606.0	2734663.0	2734663.0
20210	3591986.0	3540127.0	3540127.0	3442734.0	3442734.0
20240	11122667.0	9374598.0	9374598.0	7195223.0	7195223.0
20250	1461991.0	1432154.0	1432154.0	1432154.0	1432154.0
20300	3775413.0	3779259.0	3779259.0	3779259.0	3779259.0
20320	11772077.0	11705725.0	11705725.0	11705725.0	11705725.0
20360	12925649.0	13077896.0	13077896.0	13077896.0	13077896.0
20380	20724991.0	20710406.0	20710406.0	20710406.0	20710406.0
20400	10713037.0	10882954.0	10882954.0	10882954.0	10882954.0
20460	19156670.0	19370787.0	19370787.0	19370787.0	19370787.0
20500	863898.0	964240.0	964240.0	964240.0	964240.0
20520	2023409.0	2032339.0	2025010.0	2025010.0	2025010.0
20540	12280299.0	12302376.0	12288692.0	12288692.0	12288692.0
20610	3514014.0	3499227.0	3519286.0	3519286.0	3519286.0
20660	20521160.0	20652796.0	20652796.0	20652796.0	20652796.0
20700	1124005.0	1134793.0	1134793.0	1134793.0	1134793.0
20720	2768088.0	2745784.0	2671860.0	2671860.0	2671860.0
20730	669312.0	843564.0	797720.0	797720.0	797720.0
20740	6127599.0	5923392.0	6050792.0	5592458.0	5592458.0
20750	3765306.0	3800723.0	3856823.0	3856823.0	3856823.0
20760	12756756.0	11925283.0	11926375.0	10382152.0	10382152.0
20780	17570722.0	17121447.0	17067979.0	16333262.0	16333262.0
20800	79141.0	79141.0	79141.0	79141.0	79141.0
20810	4838775.0	4674135.0	4722611.0	4532021.0	4532021.0
20880	2542037.0	2316912.0	2258035.0	1903972.0	1903972.0
20900	47837787.0	35827055.0	35827055.0	24435593.0	24435593.0
20960	100928373.0	62710636.0	62710636.0	33794887.0	33794887.0
