"Year","Quarter","Building type","Postal code","Year of construction","Mean"
"2005","Whole year","Building types total","99830","Year of construction, total",1548
"2005","Whole year","Building types total","99860","Year of construction, total",.
"2005","Whole year","Building types total","99870","Year of construction, total",.
"2005","Whole year","Building types total","99910","Year of construction, total",.
"2005","Whole year","Building types total","99930","Year of construction, total",.
"2005","Whole year","Building types total","99980","Year of construction, total",.
"2006","Whole year","Building types total","00100","Year of construction, total",4027
"2006","Whole year","Building types total","00120","Year of construction, total",4334
"2006","Whole year","Building types total","00130","Year of construction, total",4627
"2006","Whole year","Building types total","00140","Year of construction, total",4649
"2006","Whole year","Building types total","00150","Year of construction, total",4324
"2006","Whole year","Building types total","00160","Year of construction, total",4563
"2006","Whole year","Building types total","00170","Year of construction, total",4258
"2006","Whole year","Building types total","00180","Year of construction, total",4040
"2006","Whole year","Building types total","00190","Year of construction, total",.
"2006","Whole year","Building types total","00200","Year of construction, total",3445
"2006","Whole year","Building types total","00210","Year of construction, total",3604
"2006","Whole year","Building types total","00220","Year of construction, total",.
"2006","Whole year","Building types total","00240","Year of construction, total",.
"2006","Whole year","Building types total","00250","Year of construction, total",3701
"2006","Whole year","Building types total","00260","Year of construction, total",3994
"2006","Whole year","Building types total","00270","Year of construction, total",3537
"2006","Whole year","Building types total","00280","Year of construction, total",3316
"2006","Whole year","Building types total","00290","Year of construction, total",.
"2006","Whole year","Building types total","00300","Year of construction, total",3072
"2006","Whole year","Building types total","00310","Year of construction, total",2855
"2006","Whole year","Building types total","00320","Year of construction, total",2931
"2006","Whole year","Building types total","00330","Year of construction, total",3648
"2006","Whole year","Building types total","00340","Year of construction, total",3458
"2006","Whole year","Building types total","00350","Year of construction, total",2871
"2006","Whole year","Building types total","00360","Year of construction, total",2525
"2006","Whole year","Building types total","00370","Year of construction, total",2703
"2006","Whole year","Building types total","00380","Year of construction, total",.
"2006","Whole year","Building types total","00390","Year of construction, total",2311
"2006","Whole year","Building types total","00400","Year of construction, total",2440
"2006","Whole year","Building types total","00410","Year of construction, total",2057
"2006","Whole year","Building types total","00420","Year of construction, total",2149
"2006","Whole year","Building types total","00430","Year of construction, total",2734
"2006","Whole year","Building types total","00440","Year of construction, total",2709
"2006","Whole year","Building types total","00500","Year of construction, total",3234
"2006","Whole year","Building types total","00510","Year of construction, total",3145
"2006","Whole year","Building types total","00520","Year of construction, total",2866
"2006","Whole year","Building types total","00530","Year of construction, total",3357
"2006","Whole year","Building types total","00540","Year of construction, total",.
"2006","Whole year","Building types total","00550","Year of construction, total",2929
"2006","Whole year","Building types total","00560","Year of construction, total",3078
"2006","Whole year","Building types total","00570","Year of construction, total",3261
"2006","Whole year","Building types total","00580","Year of construction, total",.
"2006","Whole year","Building types total","00590","Year of construction, total",.
"2006","Whole year","Building types total","00600","Year of construction, total",2208
"2006","Whole year","Building types total","00610","Year of construction, total",2824
"2006","Whole year","Building types total","00620","Year of construction, total",2416
"2006","Whole year","Building types total","00630","Year of construction, total",2167
"2006","Whole year","Building types total","00640","Year of construction, total",2455
"2006","Whole year","Building types total","00650","Year of construction, total",2492
"2006","Whole year","Building types total","00660","Year of construction, total",2793
"2006","Whole year","Building types total","00670","Year of construction, total",2789
"2006","Whole year","Building types total","00680","Year of construction, total",2712
"2006","Whole year","Building types total","00690","Year of construction, total",.
"2006","Whole year","Building types total","00700","Year of construction, total",2409
"2006","Whole year","Building types total","00710","Year of construction, total",1953
"2006","Whole year","Building types total","00720","Year of construction, total",2385
"2006","Whole year","Building types total","00730","Year of construction, total",2508
"2006","Whole year","Building types total","00740","Year of construction, total",2176
"2006","Whole year","Building types total","00750","Year of construction, total",2204
"2006","Whole year","Building types total","00760","Year of construction, total",2379
"2006","Whole year","Building types total","00770","Year of construction, total",1662
"2006","Whole year","Building types total","00780","Year of construction, total",2556
"2006","Whole year","Building types total","00790","Year of construction, total",3020
"2006","Whole year","Building types total","00800","Year of construction, total",2585
"2006","Whole year","Building types total","00810","Year of construction, total",3121
"2006","Whole year","Building types total","00820","Year of construction, total",2067
"2006","Whole year","Building types total","00830","Year of construction, total",3174
"2006","Whole year","Building types total","00840","Year of construction, total",2476
"2006","Whole year","Building types total","00850","Year of construction, total",3256
"2006","Whole year","Building types total","00870","Year of construction, total",2470
"2006","Whole year","Building types total","00880","Year of construction, total",.
"2006","Whole year","Building types total","00900","Year of construction, total",2076
"2006","Whole year","Building types total","00910","Year of construction, total",2207
"2006","Whole year","Building types total","00920","Year of construction, total",1802
"2006","Whole year","Building types total","00930","Year of construction, total",2619
"2006","Whole year","Building types total","00940","Year of construction, total",1943
"2006","Whole year","Building types total","00950","Year of construction, total",2793
"2006","Whole year","Building types total","00960","Year of construction, total",2021
"2006","Whole year","Building types total","00970","Year of construction, total",2059
"2006","Whole year","Building types total","00980","Year of construction, total",2370
"2006","Whole year","Building types total","00990","Year of construction, total",3360
"2006","Whole year","Building types total","01120","Year of construction, total",.
"2006","Whole year","Building types total","01150","Year of construction, total",2070
"2006","Whole year","Building types total","01180","Year of construction, total",.
"2006","Whole year","Building types total","01200","Year of construction, total",1666
"2006","Whole year","Building types total","01230","Year of construction, total",2149
"2006","Whole year","Building types total","01260","Year of construction, total",2178
"2006","Whole year","Building types total","01280","Year of construction, total",1948
"2006","Whole year","Building types total","01300","Year of construction, total",2288
"2006","Whole year","Building types total","01350","Year of construction, total",1940
"2006","Whole year","Building types total","01360","Year of construction, total",1661
"2006","Whole year","Building types total","01370","Year of construction, total",2059
"2006","Whole year","Building types total","01380","Year of construction, total",2298
"2006","Whole year","Building types total","01390","Year of construction, total",2261
"2006","Whole year","Building types total","01400","Year of construction, total",2101
"2006","Whole year","Building types total","01420","Year of construction, total",.
"2006","Whole year","Building types total","01450","Year of construction, total",2030
"2006","Whole year","Building types total","01480","Year of construction, total",1657
"2006","Whole year","Building types total","01490","Year of construction, total",2217
"2006","Whole year","Building types total","01510","Year of construction, total",2385
"2006","Whole year","Building types total","01520","Year of construction, total",2825
"2006","Whole year","Building types total","01600","Year of construction, total",2022
"2006","Whole year","Building types total","01610","Year of construction, total",1925
"2006","Whole year","Building types total","01620","Year of construction, total",1850
"2006","Whole year","Building types total","01630","Year of construction, total",2504
"2006","Whole year","Building types total","01640","Year of construction, total",2406
"2006","Whole year","Building types total","01650","Year of construction, total",1775
"2006","Whole year","Building types total","01660","Year of construction, total",2238
"2006","Whole year","Building types total","01670","Year of construction, total",2394
"2006","Whole year","Building types total","01680","Year of construction, total",.
"2006","Whole year","Building types total","01690","Year of construction, total",2593
"2006","Whole year","Building types total","01700","Year of construction, total",2146
"2006","Whole year","Building types total","01710","Year of construction, total",2018
"2006","Whole year","Building types total","01720","Year of construction, total",.
"2006","Whole year","Building types total","01730","Year of construction, total",1631
"2006","Whole year","Building types total","01740","Year of construction, total",.
"2006","Whole year","Building types total","01750","Year of construction, total",.
"2006","Whole year","Building types total","01760","Year of construction, total",.
"2006","Whole year","Building types total","01800","Year of construction, total",1980
"2006","Whole year","Building types total","01820","Year of construction, total",1996
"2006","Whole year","Building types total","01830","Year of construction, total",1670
"2006","Whole year","Building types total","01840","Year of construction, total",.
"2006","Whole year","Building types total","01860","Year of construction, total",.
"2006","Whole year","Building types total","01900","Year of construction, total",1772
"2006","Whole year","Building types total","01940","Year of construction, total",.
"2006","Whole year","Building types total","02100","Year of construction, total",3007
"2006","Whole year","Building types total","02110","Year of construction, total",2789
"2006","Whole year","Building types total","02120","Year of construction, total",2828
"2006","Whole year","Building types total","02130","Year of construction, total",2617
"2006","Whole year","Building types total","02140","Year of construction, total",2453
"2006","Whole year","Building types total","02150","Year of construction, total",2339
"2006","Whole year","Building types total","02160","Year of construction, total",3345
"2006","Whole year","Building types total","02170","Year of construction, total",2944
"2006","Whole year","Building types total","02180","Year of construction, total",2659
"2006","Whole year","Building types total","02200","Year of construction, total",2595
"2006","Whole year","Building types total","02210","Year of construction, total",2352
"2006","Whole year","Building types total","02230","Year of construction, total",2387
"2006","Whole year","Building types total","02240","Year of construction, total",2713
"2006","Whole year","Building types total","02260","Year of construction, total",2259
"2006","Whole year","Building types total","02270","Year of construction, total",2774
"2006","Whole year","Building types total","02280","Year of construction, total",2591
"2006","Whole year","Building types total","02300","Year of construction, total",2773
"2006","Whole year","Building types total","02320","Year of construction, total",2223
"2006","Whole year","Building types total","02330","Year of construction, total",2432
"2006","Whole year","Building types total","02340","Year of construction, total",2439
"2006","Whole year","Building types total","02360","Year of construction, total",2052
"2006","Whole year","Building types total","02380","Year of construction, total",.
"2006","Whole year","Building types total","02400","Year of construction, total",1915
"2006","Whole year","Building types total","02410","Year of construction, total",1269
"2006","Whole year","Building types total","02420","Year of construction, total",1840
"2006","Whole year","Building types total","02430","Year of construction, total",2072
"2006","Whole year","Building types total","02440","Year of construction, total",.
"2006","Whole year","Building types total","02450","Year of construction, total",.
"2006","Whole year","Building types total","02460","Year of construction, total",1500
"2006","Whole year","Building types total","02480","Year of construction, total",.
"2006","Whole year","Building types total","02490","Year of construction, total",1500
"2006","Whole year","Building types total","02510","Year of construction, total",.
"2006","Whole year","Building types total","02540","Year of construction, total",.
"2006","Whole year","Building types total","02550","Year of construction, total",.
"2006","Whole year","Building types total","02570","Year of construction, total",.
"2006","Whole year","Building types total","02580","Year of construction, total",1811
"2006","Whole year","Building types total","02600","Year of construction, total",2617
"2006","Whole year","Building types total","02610","Year of construction, total",2882
"2006","Whole year","Building types total","02620","Year of construction, total",2073
"2006","Whole year","Building types total","02630","Year of construction, total",2399
"2006","Whole year","Building types total","02650","Year of construction, total",2380
"2006","Whole year","Building types total","02660","Year of construction, total",2670
"2006","Whole year","Building types total","02680","Year of construction, total",2558
"2006","Whole year","Building types total","02700","Year of construction, total",2777
"2006","Whole year","Building types total","02710","Year of construction, total",2116
"2006","Whole year","Building types total","02720","Year of construction, total",2021
"2006","Whole year","Building types total","02730","Year of construction, total",2471
"2006","Whole year","Building types total","02740","Year of construction, total",.
"2006","Whole year","Building types total","02750","Year of construction, total",2678
"2006","Whole year","Building types total","02760","Year of construction, total",1971
"2006","Whole year","Building types total","02770","Year of construction, total",2312
"2006","Whole year","Building types total","02780","Year of construction, total",2098
"2006","Whole year","Building types total","02810","Year of construction, total",.
"2006","Whole year","Building types total","02820","Year of construction, total",.
"2006","Whole year","Building types total","02860","Year of construction, total",.
"2006","Whole year","Building types total","02880","Year of construction, total",2075
"2006","Whole year","Building types total","02920","Year of construction, total",2145
"2006","Whole year","Building types total","02940","Year of construction, total",2409
"2006","Whole year","Building types total","02970","Year of construction, total",2430
"2006","Whole year","Building types total","03100","Year of construction, total",1794
"2006","Whole year","Building types total","03150","Year of construction, total",.
"2006","Whole year","Building types total","03250","Year of construction, total",1716
"2006","Whole year","Building types total","03300","Year of construction, total",.
"2006","Whole year","Building types total","03320","Year of construction, total",.
"2006","Whole year","Building types total","03400","Year of construction, total",1646
"2006","Whole year","Building types total","03600","Year of construction, total",1459
"2006","Whole year","Building types total","03620","Year of construction, total",1279
"2006","Whole year","Building types total","03710","Year of construction, total",.
"2006","Whole year","Building types total","04130","Year of construction, total",2049
"2006","Whole year","Building types total","04200","Year of construction, total",1861
"2006","Whole year","Building types total","04220","Year of construction, total",1963
"2006","Whole year","Building types total","04230","Year of construction, total",1827
"2006","Whole year","Building types total","04240","Year of construction, total",.
"2006","Whole year","Building types total","04250","Year of construction, total",1896
"2006","Whole year","Building types total","04260","Year of construction, total",1640
"2006","Whole year","Building types total","04300","Year of construction, total",2005
"2006","Whole year","Building types total","04310","Year of construction, total",2336
"2006","Whole year","Building types total","04320","Year of construction, total",1813
"2006","Whole year","Building types total","04330","Year of construction, total",2177
"2006","Whole year","Building types total","04340","Year of construction, total",1481
"2006","Whole year","Building types total","04350","Year of construction, total",.
"2006","Whole year","Building types total","04360","Year of construction, total",.
"2006","Whole year","Building types total","04380","Year of construction, total",.
"2006","Whole year","Building types total","04390","Year of construction, total",.
"2006","Whole year","Building types total","04400","Year of construction, total",1895
"2006","Whole year","Building types total","04410","Year of construction, total",.
"2006","Whole year","Building types total","04420","Year of construction, total",2056
"2006","Whole year","Building types total","04430","Year of construction, total",2182
"2006","Whole year","Building types total","04440","Year of construction, total",1561
"2006","Whole year","Building types total","04460","Year of construction, total",1961
"2006","Whole year","Building types total","04480","Year of construction, total",.
"2006","Whole year","Building types total","04500","Year of construction, total",1729
"2006","Whole year","Building types total","04600","Year of construction, total",1661
"2006","Whole year","Building types total","04620","Year of construction, total",.
"2006","Whole year","Building types total","04660","Year of construction, total",.
"2006","Whole year","Building types total","04680","Year of construction, total",.
"2006","Whole year","Building types total","04740","Year of construction, total",.
"2006","Whole year","Building types total","04840","Year of construction, total",.
"2006","Whole year","Building types total","04920","Year of construction, total",.
"2006","Whole year","Building types total","05100","Year of construction, total",1856
"2006","Whole year","Building types total","05200","Year of construction, total",1631
"2006","Whole year","Building types total","05400","Year of construction, total",1759
"2006","Whole year","Building types total","05430","Year of construction, total",.
"2006","Whole year","Building types total","05450","Year of construction, total",.
"2006","Whole year","Building types total","05460","Year of construction, total",1732
"2006","Whole year","Building types total","05510","Year of construction, total",.
"2006","Whole year","Building types total","05620","Year of construction, total",.
"2006","Whole year","Building types total","05720","Year of construction, total",.
"2006","Whole year","Building types total","05800","Year of construction, total",1682
"2006","Whole year","Building types total","05810","Year of construction, total",.
"2006","Whole year","Building types total","05820","Year of construction, total",1519
"2006","Whole year","Building types total","05830","Year of construction, total",1765
"2006","Whole year","Building types total","05840","Year of construction, total",1604
"2006","Whole year","Building types total","05860","Year of construction, total",1283
"2006","Whole year","Building types total","05880","Year of construction, total",1402
"2006","Whole year","Building types total","05900","Year of construction, total",1532
"2006","Whole year","Building types total","06100","Year of construction, total",2065
"2006","Whole year","Building types total","06150","Year of construction, total",1871
"2006","Whole year","Building types total","06200","Year of construction, total",.
"2006","Whole year","Building types total","06400","Year of construction, total",1694
"2006","Whole year","Building types total","06450","Year of construction, total",1687
"2006","Whole year","Building types total","06500","Year of construction, total",.
"2006","Whole year","Building types total","06530","Year of construction, total",.
"2006","Whole year","Building types total","06650","Year of construction, total",2019
"2006","Whole year","Building types total","06750","Year of construction, total",.
"2006","Whole year","Building types total","06830","Year of construction, total",.
"2006","Whole year","Building types total","06880","Year of construction, total",.
"2006","Whole year","Building types total","07110","Year of construction, total",.
"2006","Whole year","Building types total","07150","Year of construction, total",.
"2006","Whole year","Building types total","07170","Year of construction, total",1467
"2006","Whole year","Building types total","07190","Year of construction, total",.
"2006","Whole year","Building types total","07230","Year of construction, total",1417
"2006","Whole year","Building types total","07280","Year of construction, total",.
"2006","Whole year","Building types total","07310","Year of construction, total",.
"2006","Whole year","Building types total","07500","Year of construction, total",1220
"2006","Whole year","Building types total","07510","Year of construction, total",.
"2006","Whole year","Building types total","07550","Year of construction, total",.
"2006","Whole year","Building types total","07560","Year of construction, total",.
"2006","Whole year","Building types total","07600","Year of construction, total",.
"2006","Whole year","Building types total","07700","Year of construction, total",.
"2006","Whole year","Building types total","07750","Year of construction, total",.
"2006","Whole year","Building types total","07800","Year of construction, total",.
"2006","Whole year","Building types total","07820","Year of construction, total",.
"2006","Whole year","Building types total","07830","Year of construction, total",.
"2006","Whole year","Building types total","07870","Year of construction, total",.
"2006","Whole year","Building types total","07880","Year of construction, total",.
"2006","Whole year","Building types total","07890","Year of construction, total",.
"2006","Whole year","Building types total","07900","Year of construction, total",1076
"2006","Whole year","Building types total","07910","Year of construction, total",684
"2006","Whole year","Building types total","07920","Year of construction, total",1058
"2006","Whole year","Building types total","07930","Year of construction, total",.
"2006","Whole year","Building types total","07940","Year of construction, total",815
"2006","Whole year","Building types total","07955","Year of construction, total",.
"2006","Whole year","Building types total","07970","Year of construction, total",.
"2006","Whole year","Building types total","07990","Year of construction, total",.
"2006","Whole year","Building types total","08100","Year of construction, total",1817
"2006","Whole year","Building types total","08150","Year of construction, total",1614
"2006","Whole year","Building types total","08200","Year of construction, total",1393
"2006","Whole year","Building types total","08350","Year of construction, total",1370
"2006","Whole year","Building types total","08450","Year of construction, total",.
"2006","Whole year","Building types total","08500","Year of construction, total",1704
"2006","Whole year","Building types total","08680","Year of construction, total",1637
"2006","Whole year","Building types total","08700","Year of construction, total",1297
"2006","Whole year","Building types total","08800","Year of construction, total",.
"2006","Whole year","Building types total","09220","Year of construction, total",1190
"2006","Whole year","Building types total","10120","Year of construction, total",.
"2006","Whole year","Building types total","10140","Year of construction, total",.
"2006","Whole year","Building types total","10160","Year of construction, total",.
"2006","Whole year","Building types total","10210","Year of construction, total",1307
"2006","Whole year","Building types total","10270","Year of construction, total",.
"2006","Whole year","Building types total","10300","Year of construction, total",1365
"2006","Whole year","Building types total","10320","Year of construction, total",1085
"2006","Whole year","Building types total","10330","Year of construction, total",.
"2006","Whole year","Building types total","10360","Year of construction, total",.
"2006","Whole year","Building types total","10410","Year of construction, total",.
"2006","Whole year","Building types total","10420","Year of construction, total",986
"2006","Whole year","Building types total","10440","Year of construction, total",958
"2006","Whole year","Building types total","10470","Year of construction, total",.
"2006","Whole year","Building types total","10520","Year of construction, total",.
"2006","Whole year","Building types total","10570","Year of construction, total",.
"2006","Whole year","Building types total","10600","Year of construction, total",1697
"2006","Whole year","Building types total","10620","Year of construction, total",.
"2006","Whole year","Building types total","10640","Year of construction, total",1724
"2006","Whole year","Building types total","10650","Year of construction, total",1556
"2006","Whole year","Building types total","10660","Year of construction, total",.
"2006","Whole year","Building types total","10680","Year of construction, total",.
"2006","Whole year","Building types total","10710","Year of construction, total",.
"2006","Whole year","Building types total","10820","Year of construction, total",890
"2006","Whole year","Building types total","10900","Year of construction, total",1387
"2006","Whole year","Building types total","10940","Year of construction, total",1559
"2006","Whole year","Building types total","10960","Year of construction, total",1300
"2006","Whole year","Building types total","11100","Year of construction, total",1406
"2006","Whole year","Building types total","11120","Year of construction, total",1318
"2006","Whole year","Building types total","11130","Year of construction, total",1107
"2006","Whole year","Building types total","11310","Year of construction, total",.
"2006","Whole year","Building types total","11710","Year of construction, total",1509
"2006","Whole year","Building types total","11910","Year of construction, total",1374
"2006","Whole year","Building types total","12100","Year of construction, total",1075
"2006","Whole year","Building types total","12130","Year of construction, total",.
"2006","Whole year","Building types total","12240","Year of construction, total",875
"2006","Whole year","Building types total","12310","Year of construction, total",1138
"2006","Whole year","Building types total","12380","Year of construction, total",.
"2006","Whole year","Building types total","12400","Year of construction, total",1072
"2006","Whole year","Building types total","12520","Year of construction, total",.
"2006","Whole year","Building types total","12540","Year of construction, total",.
"2006","Whole year","Building types total","12600","Year of construction, total",955
"2006","Whole year","Building types total","12700","Year of construction, total",1149
"2006","Whole year","Building types total","12750","Year of construction, total",.
"2006","Whole year","Building types total","13100","Year of construction, total",1703
"2006","Whole year","Building types total","13110","Year of construction, total",1037
"2006","Whole year","Building types total","13130","Year of construction, total",1581
"2006","Whole year","Building types total","13200","Year of construction, total",1561
"2006","Whole year","Building types total","13210","Year of construction, total",1530
"2006","Whole year","Building types total","13220","Year of construction, total",1476
"2006","Whole year","Building types total","13250","Year of construction, total",1035
"2006","Whole year","Building types total","13270","Year of construction, total",.
"2006","Whole year","Building types total","13300","Year of construction, total",1529
"2006","Whole year","Building types total","13330","Year of construction, total",.
"2006","Whole year","Building types total","13430","Year of construction, total",.
"2006","Whole year","Building types total","13500","Year of construction, total",1489
"2006","Whole year","Building types total","13600","Year of construction, total",1290
"2006","Whole year","Building types total","13700","Year of construction, total",.
"2006","Whole year","Building types total","13720","Year of construction, total",1362
"2006","Whole year","Building types total","13800","Year of construction, total",1487
"2006","Whole year","Building types total","13880","Year of construction, total",1496
"2006","Whole year","Building types total","13900","Year of construction, total",.
"2006","Whole year","Building types total","14200","Year of construction, total",1110
"2006","Whole year","Building types total","14300","Year of construction, total",1099
"2006","Whole year","Building types total","14500","Year of construction, total",1123
"2006","Whole year","Building types total","14610","Year of construction, total",.
"2006","Whole year","Building types total","14680","Year of construction, total",.
"2006","Whole year","Building types total","14700","Year of construction, total",947
"2006","Whole year","Building types total","14770","Year of construction, total",.
"2006","Whole year","Building types total","14820","Year of construction, total",.
"2006","Whole year","Building types total","14870","Year of construction, total",.
"2006","Whole year","Building types total","14960","Year of construction, total",.
"2006","Whole year","Building types total","15100","Year of construction, total",1691
"2006","Whole year","Building types total","15110","Year of construction, total",1870
"2006","Whole year","Building types total","15140","Year of construction, total",1806
"2006","Whole year","Building types total","15150","Year of construction, total",1415
"2006","Whole year","Building types total","15160","Year of construction, total",.
"2006","Whole year","Building types total","15170","Year of construction, total",1142
"2006","Whole year","Building types total","15200","Year of construction, total",1172
"2006","Whole year","Building types total","15210","Year of construction, total",1125
"2006","Whole year","Building types total","15230","Year of construction, total",1091
"2006","Whole year","Building types total","15240","Year of construction, total",1109
"2006","Whole year","Building types total","15270","Year of construction, total",1336
"2006","Whole year","Building types total","15300","Year of construction, total",1210
"2006","Whole year","Building types total","15320","Year of construction, total",1626
"2006","Whole year","Building types total","15340","Year of construction, total",1534
"2006","Whole year","Building types total","15500","Year of construction, total",1058
"2006","Whole year","Building types total","15520","Year of construction, total",1237
"2006","Whole year","Building types total","15540","Year of construction, total",1334
"2006","Whole year","Building types total","15550","Year of construction, total",1042
"2006","Whole year","Building types total","15560","Year of construction, total",977
"2006","Whole year","Building types total","15610","Year of construction, total",1476
"2006","Whole year","Building types total","15680","Year of construction, total",.
"2006","Whole year","Building types total","15700","Year of construction, total",1279
"2006","Whole year","Building types total","15800","Year of construction, total",1267
"2006","Whole year","Building types total","15810","Year of construction, total",1521
"2006","Whole year","Building types total","15830","Year of construction, total",1108
"2006","Whole year","Building types total","15840","Year of construction, total",1219
"2006","Whole year","Building types total","15850","Year of construction, total",.
"2006","Whole year","Building types total","15860","Year of construction, total",1111
"2006","Whole year","Building types total","15870","Year of construction, total",1270
"2006","Whole year","Building types total","15880","Year of construction, total",1061
"2006","Whole year","Building types total","15900","Year of construction, total",1736
"2006","Whole year","Building types total","15950","Year of construction, total",1459
"2006","Whole year","Building types total","15980","Year of construction, total",.
"2006","Whole year","Building types total","16100","Year of construction, total",628
"2006","Whole year","Building types total","16200","Year of construction, total",.
"2006","Whole year","Building types total","16260","Year of construction, total",.
"2006","Whole year","Building types total","16300","Year of construction, total",1076
"2006","Whole year","Building types total","16320","Year of construction, total",.
"2006","Whole year","Building types total","16500","Year of construction, total",675
"2006","Whole year","Building types total","16600","Year of construction, total",974
"2006","Whole year","Building types total","16610","Year of construction, total",.
"2006","Whole year","Building types total","16670","Year of construction, total",.
"2006","Whole year","Building types total","16710","Year of construction, total",761
"2006","Whole year","Building types total","16800","Year of construction, total",998
"2006","Whole year","Building types total","16900","Year of construction, total",879
"2006","Whole year","Building types total","17110","Year of construction, total",.
"2006","Whole year","Building types total","17130","Year of construction, total",.
"2006","Whole year","Building types total","17200","Year of construction, total",1129
"2006","Whole year","Building types total","17240","Year of construction, total",.
"2006","Whole year","Building types total","17500","Year of construction, total",735
"2006","Whole year","Building types total","17610","Year of construction, total",.
"2006","Whole year","Building types total","17800","Year of construction, total",748
"2006","Whole year","Building types total","18100","Year of construction, total",1277
"2006","Whole year","Building types total","18120","Year of construction, total",.
"2006","Whole year","Building types total","18130","Year of construction, total",848
"2006","Whole year","Building types total","18150","Year of construction, total",1004
"2006","Whole year","Building types total","18200","Year of construction, total",805
"2006","Whole year","Building types total","18300","Year of construction, total",809
"2006","Whole year","Building types total","18600","Year of construction, total",.
"2006","Whole year","Building types total","19110","Year of construction, total",.
"2006","Whole year","Building types total","19120","Year of construction, total",.
"2006","Whole year","Building types total","19160","Year of construction, total",.
"2006","Whole year","Building types total","19210","Year of construction, total",.
"2006","Whole year","Building types total","19250","Year of construction, total",.
"2006","Whole year","Building types total","19260","Year of construction, total",.
"2006","Whole year","Building types total","19410","Year of construction, total",.
"2006","Whole year","Building types total","19420","Year of construction, total",.
"2006","Whole year","Building types total","19430","Year of construction, total",.
"2006","Whole year","Building types total","19470","Year of construction, total",.
"2006","Whole year","Building types total","19540","Year of construction, total",.
"2006","Whole year","Building types total","19600","Year of construction, total",844
"2006","Whole year","Building types total","19650","Year of construction, total",889
"2006","Whole year","Building types total","19670","Year of construction, total",.
"2006","Whole year","Building types total","19700","Year of construction, total",799
"2006","Whole year","Building types total","19740","Year of construction, total",.
"2006","Whole year","Building types total","19770","Year of construction, total",.
"2006","Whole year","Building types total","19910","Year of construction, total",.
"2006","Whole year","Building types total","19950","Year of construction, total",.
"2006","Whole year","Building types total","20100","Year of construction, total",2114
"2006","Whole year","Building types total","20200","Year of construction, total",1490
"2006","Whole year","Building types total","20210","Year of construction, total",1063
"2006","Whole year","Building types total","20240","Year of construction, total",893
"2006","Whole year","Building types total","20250","Year of construction, total",.
"2006","Whole year","Building types total","20300","Year of construction, total",1541
"2006","Whole year","Building types total","20320","Year of construction, total",1449
"2006","Whole year","Building types total","20360","Year of construction, total",1144
"2006","Whole year","Building types total","20380","Year of construction, total",1771
"2006","Whole year","Building types total","20400","Year of construction, total",.
"2006","Whole year","Building types total","20460","Year of construction, total",979
"2006","Whole year","Building types total","20500","Year of construction, total",2171
"2006","Whole year","Building types total","20520","Year of construction, total",1954
"2006","Whole year","Building types total","20540","Year of construction, total",1457
"2006","Whole year","Building types total","20610","Year of construction, total",1075
"2006","Whole year","Building types total","20660","Year of construction, total",1859
"2006","Whole year","Building types total","20700","Year of construction, total",2131
"2006","Whole year","Building types total","20720","Year of construction, total",1674
"2006","Whole year","Building types total","20730","Year of construction, total",.
"2006","Whole year","Building types total","20740","Year of construction, total",1518
"2006","Whole year","Building types total","20750","Year of construction, total",1054
"2006","Whole year","Building types total","20760","Year of construction, total",1472
"2006","Whole year","Building types total","20780","Year of construction, total",1480
"2006","Whole year","Building types total","20810","Year of construction, total",1986
"2006","Whole year","Building types total","20880","Year of construction, total",1621
"2006","Whole year","Building types total","20900","Year of construction, total",1994
"2006","Whole year","Building types total","20960","Year of construction, total",.
"2006","Whole year","Building types total","21100","Year of construction, total",1634
"2006","Whole year","Building types total","21110","Year of construction, total",1468
"2006","Whole year","Building types total","21120","Year of construction, total",1866
"2006","Whole year","Building types total","21130","Year of construction, total",.
"2006","Whole year","Building types total","21140","Year of construction, total",1031
"2006","Whole year","Building types total","21150","Year of construction, total",.
"2006","Whole year","Building types total","21160","Year of construction, total",1628
"2006","Whole year","Building types total","21195","Year of construction, total",.
"2006","Whole year","Building types total","21200","Year of construction, total",1305
"2006","Whole year","Building types total","21210","Year of construction, total",1359
"2006","Whole year","Building types total","21220","Year of construction, total",1269
"2006","Whole year","Building types total","21230","Year of construction, total",.
"2006","Whole year","Building types total","21240","Year of construction, total",.
"2006","Whole year","Building types total","21250","Year of construction, total",1443
"2006","Whole year","Building types total","21260","Year of construction, total",1367
"2006","Whole year","Building types total","21270","Year of construction, total",1199
"2006","Whole year","Building types total","21280","Year of construction, total",1804
"2006","Whole year","Building types total","21290","Year of construction, total",1559
"2006","Whole year","Building types total","21310","Year of construction, total",.
"2006","Whole year","Building types total","21330","Year of construction, total",1107
"2006","Whole year","Building types total","21350","Year of construction, total",.
"2006","Whole year","Building types total","21360","Year of construction, total",1379
"2006","Whole year","Building types total","21370","Year of construction, total",.
"2006","Whole year","Building types total","21380","Year of construction, total",1149
"2006","Whole year","Building types total","21410","Year of construction, total",.
"2006","Whole year","Building types total","21420","Year of construction, total",1460
"2006","Whole year","Building types total","21430","Year of construction, total",.
"2006","Whole year","Building types total","21450","Year of construction, total",1051
"2006","Whole year","Building types total","21490","Year of construction, total",992
"2006","Whole year","Building types total","21500","Year of construction, total",1260
"2006","Whole year","Building types total","21530","Year of construction, total",1206
"2006","Whole year","Building types total","21540","Year of construction, total",.
"2006","Whole year","Building types total","21560","Year of construction, total",.
