"Year","Quarter","Building type","Postal code","Year of construction","Mean"
"2005","Whole year","Building types total","01720","Year of construction, total",.
"2005","Whole year","Building types total","01730","Year of construction, total",1527
"2005","Whole year","Building types total","01740","Year of construction, total",.
"2005","Whole year","Building types total","01750","Year of construction, total",.
"2005","Whole year","Building types total","01760","Year of construction, total",.
"2005","Whole year","Building types total","01800","Year of construction, total",1838
"2005","Whole year","Building types total","01820","Year of construction, total",1909
"2005","Whole year","Building types total","01830","Year of construction, total",.
"2005","Whole year","Building types total","01840","Year of construction, total",.
"2005","Whole year","Building types total","01860","Year of construction, total",.
"2005","Whole year","Building types total","01900","Year of construction, total",1652
"2005","Whole year","Building types total","01940","Year of construction, total",.
"2005","Whole year","Building types total","02100","Year of construction, total",2703
"2005","Whole year","Building types total","02110","Year of construction, total",2615
"2005","Whole year","Building types total","02120","Year of construction, total",2548
"2005","Whole year","Building types total","02130","Year of construction, total",2497
"2005","Whole year","Building types total","02140","Year of construction, total",2267
"2005","Whole year","Building types total","02150","Year of construction, total",2048
"2005","Whole year","Building types total","02160","Year of construction, total",3129
"2005","Whole year","Building types total","02170","Year of construction, total",2843
"2005","Whole year","Building types total","02180","Year of construction, total",2550
"2005","Whole year","Building types total","02200","Year of construction, total",2381
"2005","Whole year","Building types total","02210","Year of construction, total",2157
"2005","Whole year","Building types total","02230","Year of construction, total",2207
"2005","Whole year","Building types total","02240","Year of construction, total",2191
"2005","Whole year","Building types total","02260","Year of construction, total",2138
"2005","Whole year","Building types total","02270","Year of construction, total",2431
"2005","Whole year","Building types total","02280","Year of construction, total",2427
"2005","Whole year","Building types total","02300","Year of construction, total",2598
"2005","Whole year","Building types total","02320","Year of construction, total",2116
"2005","Whole year","Building types total","02330","Year of construction, total",2419
"2005","Whole year","Building types total","02340","Year of construction, total",2339
"2005","Whole year","Building types total","02360","Year of construction, total",1931
"2005","Whole year","Building types total","02380","Year of construction, total",.
"2005","Whole year","Building types total","02400","Year of construction, total",1754
"2005","Whole year","Building types total","02410","Year of construction, total",1317
"2005","Whole year","Building types total","02420","Year of construction, total",1441
"2005","Whole year","Building types total","02430","Year of construction, total",1916
"2005","Whole year","Building types total","02440","Year of construction, total",.
"2005","Whole year","Building types total","02450","Year of construction, total",.
"2005","Whole year","Building types total","02460","Year of construction, total",1420
"2005","Whole year","Building types total","02480","Year of construction, total",.
"2005","Whole year","Building types total","02490","Year of construction, total",1397
"2005","Whole year","Building types total","02510","Year of construction, total",.
"2005","Whole year","Building types total","02540","Year of construction, total",.
"2005","Whole year","Building types total","02550","Year of construction, total",.
"2005","Whole year","Building types total","02570","Year of construction, total",1144
"2005","Whole year","Building types total","02580","Year of construction, total",1689
"2005","Whole year","Building types total","02600","Year of construction, total",2343
"2005","Whole year","Building types total","02610","Year of construction, total",2669
"2005","Whole year","Building types total","02620","Year of construction, total",1998
"2005","Whole year","Building types total","02630","Year of construction, total",2152
"2005","Whole year","Building types total","02650","Year of construction, total",2261
"2005","Whole year","Building types total","02660","Year of construction, total",2414
"2005","Whole year","Building types total","02680","Year of construction, total",.
