	Bus stops
00100	168
00120	27
00130	22
00140	25
00150	38
00160	24
00170	33
00180	54
00190	2
00200	39
00210	19
00220	28
00230	4
00240	38
00250	62
00260	27
00270	30
00280	12
00290	7
00300	17
00310	9
00320	40
00330	30
00340	10
00350	35
00360	5
00370	30
00380	19
00390	42
00400	42
00410	29
00420	39
00430	38
00440	19
00500	29
00510	54
00520	54
00530	65
00540	13
00550	37
00560	53
00570	29
00580	17
00590	14
00600	19
00610	41
00620	26
00630	32
00640	33
00650	14
00660	24
00670	27
00680	11
00690	16
00700	97
00710	47
00720	24
00730	43
00740	37
00750	40
00760	28
00770	33
00780	28
00790	40
00800	27
00810	50
00820	21
00830	7
00840	36
00850	11
00860	7
00870	23
00880	35
00890	43
00900	24
00910	19
00920	45
00930	39
00940	90
00950	36
00960	17
00970	38
00980	75
00990	23
01120	32
01150	81
01180	13
01190	36
01200	75
01230	24
01260	73
01280	36
01300	102
01340	4
01350	33
01360	62
01370	23
01380	45
01390	58
01400	52
01420	25
01450	119
01480	35
01490	57
01510	106
01520	20
01530	89
01600	59
01610	35
01620	65
01630	18
01640	26
01650	27
01660	18
01670	27
01680	14
01690	24
01700	44
01710	14
01720	36
01730	61
01740	42
01750	49
01760	64
01770	2
01800	78
01810	24
01820	13
01830	48
01840	23
01860	67
01900	115
01940	28
02100	53
02110	13
02120	10
02130	30
02140	33
02150	29
02160	28
02170	29
02180	25
02200	55
02210	33
02230	58
02240	17
02250	12
02260	21
02270	37
02280	19
02290	1
02300	18
02320	44
02330	57
02340	22
02360	52
02380	19
02390	11
02400	104
02410	5
02420	43
02430	25
02440	9
02450	9
02460	10
02470	11
02480	100
02490	9
02510	25
02520	32
02540	29
02550	39
02570	42
02580	35
02590	12
02600	59
02610	26
02620	33
02630	27
02650	50
02660	32
02680	21
02700	27
02710	26
02720	10
02730	31
02740	52
02750	19
02760	40
02770	63
02780	98
02810	18
02820	63
02860	33
02880	59
02920	74
02940	77
02970	67
02980	31
03100	90
03150	20
03220	20
03250	39
03300	50
03320	4
03400	73
03430	7
03600	55
03620	22
03710	18
03790	26
03810	17
03850	39
03870	6
04130	129
04150	14
04170	40
04200	58
04220	30
04230	25
04240	26
04250	26
04260	34
04300	103
04310	39
04320	35
04330	10
04340	17
04350	21
04360	50
04370	36
04380	27
04390	18
04400	53
04410	65
04420	24
04430	34
04440	25
04460	21
04480	50
04500	38
04530	39
04600	58
04620	10
04630	66
04660	42
04680	28
04740	34
04770	14
04820	16
04840	21
04920	10
04940	24
05100	41
05200	65
05250	12
05400	44
05430	21
05440	6
05450	48
05460	21
05470	10
05510	15
05620	43
05720	3
05800	37
05810	29
05820	51
05830	28
05840	26
05850	1
05860	12
05880	16
05900	18
05950	29
06100	101
06150	57
06200	116
06400	55
06450	20
06500	78
06530	29
06650	17
06750	44
06830	43
06850	19
06880	28
06950	40
07110	34
07130	15
07150	29
07170	27
07190	32
07220	17
07230	38
07280	37
07310	14
07320	19
07350	7
07360	6
07370	10
07390	6
07410	17
07450	23
07500	17
07510	33
07530	21
07550	7
07560	32
07565	11
07580	16
07590	25
07600	54
07680	22
07690	4
07700	22
07720	10
07740	37
07750	26
07780	2
07800	16
07810	16
07820	26
07830	9
07840	5
07850	3
07870	20
07880	42
07890	2
07900	83
07910	17
07920	12
07930	22
07940	18
07945	27
07955	20
07960	14
07970	12
07980	19
07990	12
08100	43
08150	19
08200	12
08350	16
08360	0
08450	13
08480	15
08500	89
08680	26
08700	65
08800	49
09120	42
09220	56
09430	40
09520	8
09630	17
09810	42
09930	6
10120	30
10140	3
10160	21
10210	38
10230	27
10250	7
10270	0
10300	71
10320	7
10330	12
10350	2
10360	59
10380	2
10410	6
10420	27
10440	5
10470	4
10480	11
10520	57
10570	14
10600	43
10620	25
10640	12
10650	11
10660	20
10680	6
10710	8
10820	18
10900	36
10940	4
10960	16
11100	59
11120	107
11130	84
11310	19
11710	56
11910	43
12100	50
12130	18
12170	17
12210	23
12240	28
12310	36
12350	19
12380	32
12400	66
12450	14
12520	19
12540	31
12600	54
12630	15
12640	9
12700	22
12750	27
12820	1
12920	28
12950	13
13100	66
13110	1
13130	67
13200	14
13210	57
13220	15
13250	18
13270	29
13300	33
13330	11
13430	37
13500	114
13530	2
13600	39
13700	26
13720	46
13800	20
13880	24
13900	13
14140	2
14200	93
14240	41
14300	86
14430	2
14450	5
14500	59
14530	7
14610	23
14620	17
14680	57
14690	2
14700	89
14770	31
14810	15
14820	32
14840	29
14870	18
14930	13
14960	9
14980	2
15100	47
15110	21
15140	51
15150	33
15160	27
15170	33
15200	27
15210	44
15230	47
15240	65
15270	20
15300	53
15320	22
15340	25
15460	10
15500	11
15520	19
15540	57
15550	46
15560	75
15580	15
15610	73
15680	55
15700	88
15800	38
15810	22
15820	21
15830	22
15840	11
15850	15
15860	52
15870	27
15880	83
15900	15
15950	35
15980	11
16100	42
16160	5
16200	67
16230	31
16260	9
16270	13
16280	43
16300	134
16310	14
16320	28
16330	30
16350	23
16390	18
16450	41
16500	27
16510	53
16540	16
16600	31
16610	12
16630	29
16670	18
16710	32
16730	40
16790	4
16800	52
16900	137
16960	17
16970	11
17110	30
17120	28
17130	34
17150	22
17200	65
17220	13
17240	11
17320	15
17410	22
17430	14
17440	7
17450	13
17470	26
17500	56
17510	22
17530	32
17610	31
17630	7
17710	11
17740	7
17780	13
17800	48
17840	16
17850	0
17870	0
17930	0
17950	0
17970	0
18100	54
18120	6
18130	14
18150	15
18200	22
18300	63
18600	29
19110	30
19120	5
19160	21
19210	26
19230	16
19250	0
19260	8
19310	11
19320	18
19370	33
19410	22
19420	13
19430	18
19460	11
19470	11
19480	5
19510	0
19540	11
19600	41
19610	17
19620	10
19630	3
19650	94
19670	18
19700	70
19730	5
19740	2
19770	14
19850	0
19910	31
19920	15
19950	21
20100	162
20200	43
20210	37
20240	59
20250	21
20300	60
20320	107
20360	79
20380	86
20400	49
20460	52
20500	23
20520	43
20540	108
20610	27
20660	73
20700	31
20720	43
20730	4
20740	61
20750	45
20760	28
20780	88
20800	2
20810	88
20880	30
20900	148
20960	114
21100	62
21110	49
21120	18
21130	35
21140	34
21150	21
21160	39
21180	17
21195	6
21200	57
21210	26
21220	22
21230	38
21240	35
21250	61
21260	23
21270	38
21280	16
21290	49
21310	24
21330	62
21340	25
21350	22
21360	48
21370	7
21380	29
21410	15
21420	87
21430	32
21450	55
21480	30
21490	22
21500	98
21510	25
21520	0
21530	78
21540	11
21555	9
21560	23
21570	28
21590	12
21600	78
21610	14
21620	30
21630	4
21650	19
21660	19
21670	16
21680	0
21710	39
21720	5
21740	0
21750	2
21760	13
21770	3
21800	32
21820	18
21840	7
21860	13
21870	26
21880	13
21890	9
21900	42
21930	20
22100	68
22120	16
22130	12
22140	11
22150	29
22160	14
22220	15
22240	27
22270	26
22310	20
22320	19
22330	19
22340	9
22410	31
22430	10
22520	12
22530	10
22550	16
22610	33
22630	14
22710	4
22720	0
22730	1
22810	0
22820	1
22830	0
22840	0
22910	0
22920	0
22930	0
22940	1
22950	0
23100	106
23120	31
23140	21
23200	36
23210	15
23260	7
23310	47
23360	31
23390	0
23450	41
23500	95
23600	29
23660	5
23800	91
23840	6
23880	2
23930	13
23950	31
23960	14
24100	60
24130	68
24240	32
24260	49
24280	49
24800	77
24910	18
25110	24
25130	61
25160	6
25170	10
25180	10
25190	22
25210	16
25230	46
25240	35
25250	7
25260	40
25320	7
25330	19
25340	13
25360	21
25370	29
25380	15
25390	24
25410	34
25420	14
25430	0
25460	32
25470	33
25500	64
25520	21
25540	10
25550	14
25560	14
25570	25
25610	34
25630	20
25640	11
25650	23
25660	7
25700	83
25710	12
25730	1
25760	29
25810	1
25820	1
25830	9
25840	6
25860	10
25870	18
25900	36
25910	0
25930	12
25940	1
25950	5
25960	0
26100	71
26200	38
26410	19
26510	38
26560	25
26660	24
26720	4
26740	22
26820	12
26840	10
26910	19
26930	10
26950	12
27100	37
27110	21
27130	16
27150	22
27160	6
27170	4
27220	21
27230	33
27250	4
27260	4
27310	15
27320	16
27340	18
27400	42
27420	7
27430	29
27450	8
27500	33
27510	49
27600	20
27640	13
27650	14
27670	8
27710	26
27730	2
27740	3
27750	3
27800	52
27820	22
27840	4
27860	13
27910	5
27920	9
28100	83
28120	35
28130	71
28190	66
28200	56
28220	77
28240	14
28260	19
28300	13
28330	29
28360	29
28370	11
28400	53
28430	18
28450	51
28500	20
28540	20
28560	30
28580	20
28600	80
28610	43
28660	57
28760	44
28800	51
28840	22
28880	15
28900	41
29100	53
29180	12
29200	46
29250	43
29270	0
29280	0
29310	34
29320	10
29340	52
29350	17
29570	26
29600	85
29630	26
29640	15
29680	16
29700	41
29720	14
29740	6
29750	2
29760	2
29790	28
29810	32
29830	18
29860	2
29880	3
29900	57
29940	27
30100	123
30300	16
30420	28
31110	18
31130	18
31140	23
31160	9
31170	19
31230	5
31250	3
31300	51
31310	2
31340	26
31350	11
31370	0
31380	9
31400	72
31410	31
31450	9
31460	14
31470	28
31490	3
31500	39
31520	19
31530	14
31600	35
31610	22
31620	10
31630	19
31640	39
31650	7
31700	37
31720	18
31730	4
31750	1
31760	31
31810	8
31830	5
31850	11
31860	16
31900	53
31930	8
31950	14
31960	6
31970	16
32100	34
32140	10
32200	77
32210	43
32250	2
32260	3
32270	21
32280	8
32300	28
32410	11
32430	2
32440	35
32450	6
32500	21
32520	3
32560	18
32610	44
32620	16
32700	84
32710	11
32730	26
32740	24
32760	18
32770	10
32800	48
32810	28
32830	4
32860	1
32910	15
32920	13
33100	107
33180	10
33200	19
