	Bus stops
54590	10
54710	30
54720	2
54750	28
54770	37
54800	47
54820	15
54850	19
54915	25
54920	33
54930	16
54940	0
54950	0
54960	20
55100	113
55120	32
55300	21
55320	5
55330	1
55400	18
55420	36
55510	10
55610	25
55700	7
55800	50
55910	35
56100	23
56120	32
56140	14
56210	47
56310	22
56330	0
56350	1
56410	9
56440	28
56510	17
56550	16
56610	31
56640	8
56710	14
56730	28
56800	34
57100	21
57120	0
57130	9
57170	12
57200	35
57210	50
57220	25
57230	96
57310	81
57510	11
57600	33
57710	28
57810	11
58130	14
58140	10
58150	16
58160	3
58170	11
58175	15
58180	9
58200	98
58220	22
58260	13
58300	53
58320	14
58350	25
58360	15
58390	0
58410	25
58420	13
58430	35
58450	26
58500	34
58520	25
58550	33
58570	13
58580	23
58610	25
58620	23
58650	5
58680	2
58690	19
58700	69
58720	14
58770	10
58810	27
58830	23
58850	12
58900	73
58910	20
58920	16
58940	0
59100	57
59130	21
59210	16
59310	43
59320	4
59410	18
59510	21
59520	9
59530	0
59610	3
59710	3
59720	4
59730	1
59800	53
59810	8
59820	19
60100	66
60120	19
60150	13
60200	77
60220	29
60280	3
60320	63
60420	17
60450	27
60510	48
60550	67
60560	13
60640	17
60720	27
60760	24
60800	64
61100	48
61110	13
61120	19
61140	1
61150	12
61160	17
61170	23
61180	9
61220	8
61230	28
61250	19
61270	22
61280	26
61290	22
61300	82
61310	14
61330	38
61340	13
61350	13
61360	44
61370	19
61380	14
61400	40
61410	17
61430	10
61440	17
61450	25
61460	14
61470	12
61500	36
61520	11
61550	9
61560	0
61600	56
61630	15
61640	17
61650	34
61680	10
61710	17
61720	60
61730	20
61760	23
61800	70
61810	2
61820	38
61840	15
61850	74
61860	17
61880	33
61910	0
61920	2
61940	21
61950	15
61960	31
61980	41
62100	81
62130	20
62150	4
62160	24
62165	19
62170	12
62175	9
62185	8
62190	27
62200	34
62220	26
62230	9
62240	21
62260	2
62280	9
62290	14
62295	12
62300	39
62310	33
62340	2
62350	12
62370	1
62375	45
62380	2
62395	8
62410	14
62420	24
62430	6
62435	4
62440	3
62470	15
62500	27
62510	11
62520	2
62540	9
62570	7
62600	42
62610	8
62620	13
62630	20
62640	13
62660	20
62710	20
62720	15
62730	5
62740	15
62750	9
62760	15
62800	17
62810	10
62830	10
62840	1
62860	4
62870	4
62880	14
62900	48
62920	18
62940	26
62950	18
62990	3
63100	21
63120	8
63130	28
63150	14
63160	6
63210	2
63230	13
63250	0
63300	63
63320	1
63330	16
63340	17
63350	20
63355	1
63360	7
63370	19
63400	11
63410	5
63430	2
63450	3
63500	24
63510	20
63530	1
63540	9
63600	29
63610	11
63640	15
63660	15
63680	12
63700	70
63770	15
63780	11
63800	44
63830	0
63880	7
63890	0
63900	27
63910	1
63920	19
63950	8
64100	17
64140	17
64200	35
64210	11
64220	16
64230	9
64240	9
64250	12
64260	7
64300	42
64320	17
64350	26
64370	9
64440	9
64450	8
64460	5
64480	6
64490	9
64510	12
64530	9
64550	8
64610	19
64700	50
64720	18
64740	14
64760	9
64770	12
64810	32
64820	6
64830	15
64840	0
64850	4
64900	34
64930	13
65100	96
65130	0
65170	9
65200	16
65230	39
65280	81
65300	51
65320	45
65350	19
65370	30
65380	57
65410	43
65450	29
65460	4
65470	4
65480	8
65520	33
65610	46
65630	20
65650	1
65710	15
65730	10
65760	16
65800	10
65870	9
65920	4
65930	4
65970	17
66100	28
66140	23
66160	24
66200	11
66210	9
66220	2
66230	1
66240	22
66260	11
66270	14
66280	4
66290	9
66295	6
66300	40
66320	5
66330	13
66340	17
66350	8
66360	26
66370	15
66400	28
66420	8
66430	4
66440	27
66450	14
66460	16
66470	20
66500	34
66510	14
66520	13
66530	23
66540	17
66550	8
66560	7
66580	17
66590	1
66600	53
66640	25
66660	7
66680	4
66710	19
66730	4
66800	17
66810	9
66820	2
66830	15
66840	13
66850	23
66900	34
66910	5
66930	3
66950	18
66970	3
66980	3
66999	0
67100	58
67200	12
67300	16
67400	20
67410	23
67500	22
67600	19
67700	22
67800	24
67900	14
68100	45
68150	13
68210	23
68220	8
68230	22
68240	30
68300	77
68320	24
68370	12
68380	21
68390	3
68410	38
68500	40
68530	12
68550	31
68555	15
68560	12
68570	12
68580	4
68600	35
68620	0
68630	0
68660	5
68690	8
68700	39
68750	6
68800	21
68810	19
68820	16
68830	8
68840	10
68870	8
68910	20
68920	6
68930	6
68940	12
68970	8
68999	2
69100	85
69150	22
69170	20
69300	44
69310	17
69330	11
69340	22
69410	27
69420	5
69440	14
69450	6
69510	36
69550	8
69570	11
69600	60
69660	20
69700	34
69730	18
69750	29
69820	44
69830	16
69850	12
69910	13
69920	28
69950	17
69970	2
69980	27
70100	33
70110	18
70150	18
70200	39
70210	9
70240	4
70260	10
70280	11
70300	18
70340	25
70400	16
70420	32
70460	26
70500	31
70600	9
70620	22
70700	39
70780	45
70800	94
70820	67
70840	31
70870	85
70900	59
70910	22
70940	25
71130	55
71150	20
71160	64
71170	11
71200	54
71210	12
71240	21
71260	29
71280	38
71310	53
71330	56
71360	8
71380	5
71460	23
71470	15
71480	15
71490	9
71520	16
71570	38
71610	0
71640	0
71650	10
71660	3
71670	2
71680	1
71690	1
71720	12
71730	30
71740	2
71745	1
71750	23
71760	24
71775	23
71800	130
71820	20
71840	18
71850	16
71870	1
71890	31
71910	17
71920	9
71950	4
71960	31
72100	64
72140	0
72210	37
72220	1
72300	33
72310	21
72330	12
72350	20
72360	15
72380	3
72400	59
72430	28
72490	2
72510	23
72530	26
72550	23
72570	14
72600	39
72630	9
72710	27
72740	10
72810	4
72840	12
72930	0
72950	0
72980	1
73100	69
73110	15
73120	20
73200	37
73230	7
73250	2
73300	28
73310	22
73320	119
73350	27
73360	20
73410	10
73460	20
73470	26
73500	73
73600	68
73620	21
73640	22
73645	14
73670	53
73710	34
73730	10
73770	44
73810	10
73830	19
73850	2
73860	0
73900	38
73970	0
73990	2
74100	14
74120	62
74130	46
74140	75
74150	64
74160	61
74170	37
74200	59
74230	31
74240	4
74250	12
74270	26
74300	89
74340	45
74345	5
74360	18
74380	17
74390	16
74420	19
74470	16
74490	4
74510	28
74520	30
74540	14
74550	6
74590	30
74595	27
74610	19
74630	23
74640	25
74670	6
74680	10
74700	81
74720	16
74740	21
74770	5
74840	19
74940	11
74980	5
75500	84
75530	49
75650	22
75680	8
75700	38
75710	22
75740	4
75770	16
75790	10
75840	12
75890	0
75930	5
75940	2
75970	6
75990	12
76100	87
76120	20
76130	10
76150	17
76280	0
76620	16
76780	0
76850	62
76940	11
77110	15
77120	9
77140	8
77220	15
77240	10
77320	0
77330	31
77350	17
77380	14
77430	17
77460	23
77480	0
77520	21
77570	7
77580	3
77600	135
77630	13
77690	1
77700	69
77770	0
77800	18
77910	15
77930	32
77960	1
78200	52
78210	22
78250	16
78300	23
78310	13
78400	17
78480	34
78500	33
78610	19
78710	30
78850	45
78870	20
78880	22
78900	11
79100	96
79130	20
79140	29
79150	22
79160	0
79180	14
79190	14
79230	1
79255	6
79265	3
79330	10
79350	1
79410	7
79480	39
79520	18
79600	47
79620	19
79630	5
79660	10
79680	11
79690	9
79700	71
79810	24
79820	13
79830	12
79850	0
79860	27
79885	0
79895	3
79910	27
79940	19
80100	72
80110	9
80130	25
80140	53
80160	40
80170	26
80200	31
80210	0
80220	19
80230	48
80260	37
80330	34
80400	64
80510	32
80710	71
80770	32
80780	3
80790	1
80850	27
80910	62
81100	30
81120	34
81160	24
81200	80
81210	5
81220	16
81230	4
81235	4
81260	8
81270	8
81280	36
81290	22
81295	11
81320	2
81330	13
81350	15
81360	20
81390	6
81420	0
81430	2
81450	0
81460	0
81470	0
81560	18
81570	7
81590	7
81650	18
81660	0
81700	57
81720	36
81750	13
81810	25
81820	22
81850	20
81860	21
81950	18
81970	14
82110	42
82120	24
82140	38
82160	8
82170	0
82180	13
82200	87
82210	15
82220	54
82290	28
82300	29
82310	17
82335	28
82350	12
82360	20
82380	22
82395	12
82430	42
82460	13
82490	0
82500	99
82510	27
82580	23
82590	20
82600	62
82655	15
82660	15
82670	7
82675	8
82685	4
82710	40
82730	16
82750	13
82760	17
82770	5
82815	21
82820	9
82830	3
82840	0
82850	2
82865	0
82870	0
82880	2
82900	60
82915	19
82960	21
82967	16
82980	10
83100	91
83130	10
83140	7
83150	17
83160	15
83320	9
83330	23
83340	0
83400	45
83430	32
83450	3
83460	12
83480	14
83500	76
83550	9
83630	13
83660	18
83700	63
83720	11
83750	20
83760	2
83780	10
83825	13
83830	7
83835	3
83840	6
83855	17
83870	20
83880	12
83900	73
83910	0
83915	0
83940	8
83950	26
83960	12
83985	0
84100	138
84460	20
84540	16
84650	21
84770	5
84880	28
85100	68
85120	32
85140	36
85150	12
85160	22
85180	12
85200	61
85210	21
85230	29
85310	31
85320	8
85340	29
85410	22
85430	18
85450	11
85470	20
85500	105
85540	25
85560	28
85580	45
85620	16
85630	10
85640	32
85660	8
85710	30
85730	12
85800	95
85820	34
85840	32
85900	26
85930	6
85940	16
85980	29
86100	36
86110	20
86160	16
86170	26
86210	7
86220	33
86230	12
86240	21
86300	94
86350	12
86360	16
86400	56
86440	2
86460	14
86470	7
86480	10
86510	27
86530	19
86550	42
86600	108
86650	27
86680	19
86690	17
86710	74
86790	2
86800	114
86810	13
86850	21
86870	30
86900	15
86980	6
87100	46
87150	22
87200	38
87250	65
87300	3
87400	16
87500	34
87700	47
87800	112
87830	22
87850	30
87900	50
87910	22
87930	31
87950	50
87970	20
88120	22
88200	40
88270	65
88300	77
88310	28
88340	10
88350	20
88380	23
88400	59
88440	10
88460	2
88470	28
88490	29
88530	17
88600	152
88610	75
88615	1
88620	53
88640	18
88670	22
88690	23
88730	4
88740	4
88760	32
88820	0
88900	182
88930	29
88940	2
89110	17
89140	7
89200	67
89210	3
89320	12
89330	3
89400	53
89430	13
89440	17
89540	7
89560	10
89600	131
89610	0
89640	7
89660	10
89670	31
89680	2
89730	2
89740	10
89760	17
89770	12
89780	9
89800	37
89830	4
89840	12
89920	38
90100	42
90120	9
90130	35
90140	14
90150	28
90220	20
90230	44
90240	44
90250	34
90310	53
90400	69
90410	46
90440	40
90450	49
90460	51
90470	26
90480	23
90500	23
90510	11
90520	18
90530	21
90540	65
90550	12
90560	14
90570	28
90580	14
90590	18
90620	7
90630	53
90650	78
90660	90
90670	19
90800	52
90810	12
90820	52
90830	68
90840	71
90850	29
90860	13
90900	78
90910	34
90940	34
91100	72
91110	30
91140	28
91150	14
91200	48
91210	29
91240	26
91260	0
91300	102
91310	21
91410	11
91430	4
91500	75
91510	24
91560	7
91600	47
91620	10
91630	15
91640	10
91660	9
91670	0
91700	47
91710	3
91720	0
91730	15
91740	18
91750	10
91760	27
91780	3
91790	12
91800	61
91900	72
91910	31
91930	24
91950	30
91980	26
92100	31
92120	32
92130	29
92140	58
92150	24
92160	48
92180	2
92210	31
92220	34
92230	12
92240	4
92260	22
92320	46
92330	11
92350	31
92400	53
92430	52
92440	1
92450	3
92470	18
92500	72
92520	17
92530	7
92600	50
92610	14
92620	38
92640	31
92650	18
92700	87
92810	7
92830	25
92910	19
92920	7
92930	32
93100	97
93140	61
93160	16
93170	8
93180	5
93187	24
93190	10
93195	12
93220	19
93225	27
93240	21
93250	13
93270	41
93277	13
93280	32
93290	10
93350	16
93390	4
93400	115
93420	29
93440	7
93470	8
93540	44
93590	15
93600	77
93700	138
93800	127
93830	75
93900	100
93999	0
94100	25
94200	21
94300	1
94400	29
94430	18
94450	24
94460	14
94500	40
94600	13
94700	18
94720	11
94800	4
94830	17
94900	7
95100	8
95110	23
95130	6
95160	11
95200	32
95210	9
95220	15
95225	11
95230	22
95255	3
95260	6
95270	2
95300	46
95310	19
95315	15
95325	33
95330	29
95340	26
95350	0
95355	21
95365	3
95370	16
95375	6
95400	24
95410	27
95420	33
95430	5
95440	28
95450	26
95460	17
95470	17
95490	0
95500	65
95520	16
95530	33
