Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	13.6	14.2	16.4	547	486	506
2h	11.5	11.8	12.7	614	589	642
3h+	11.3	9.7	11.8	876	694	844
Kaikki	12.0	12.7	14.3	669	534	571
Lkm	114.0	208.0	140.0	114	208	140
