Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	10.9	-	-	413	-
2h	-	9.4	-	-	533	-
3h+	-	8.4	9.4	-	864	1114
Kaikki	-	9.0	10.6	-	650	982
Lkm	-	50.0	13	-	50	13
