Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	11.2	-	-	345	-	-
3h+	-	-	-	-	-	-
Kaikki	10.7	7.4	10.9	370	591	509
Lkm	13	4	6	13	4	6
