Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	15.7	-	23.6	531	-	721
2h	13.7	-	-	790	-	-
3h+	13.3	-	-	1057	-	-
Kaikki	13.6	17.0	16.9	865	828	874
Lkm	226.0	6	18	226	6	18
