Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	11.4	10.4	12.2	410	380	455
2h	10.3	9.2	10.3	526	494	568
3h+	10.2	8.2	8.7	721	794	872
Kaikki	10.4	9.0	10.2	540	536	588
Lkm	80.0	70.0	38.0	80	70	38
