Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	11.9	13.8	13.6	392	423	419
2h	10.0	10.5	11.1	530	557	567
3h+	10.4	8.9	8.4	809	741	711
Kaikki	10.4	11.0	11.1	564	526	518
Lkm	258.0	382.0	242.0	258	382	242
