Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	13.1	16.3	16.8	382	505	516
2h	11.0	12.1	12.9	457	611	637
3h+	-	7.6	10.3	-	750	874
Kaikki	12.1	13.6	14.6	412	549	570
Lkm	155	948.0	478.0	155	948	478
