Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	11.6	-	-	421	-
2h	-	-	10.5	-	-	482
3h+	-	-	-	-	-	-
Kaikki	-	9.7	10.9	-	471	557
Lkm	-	16	12	-	16	12
