Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	17.3	10.3	14.1	395	469	499
2h	-	11.3	11.2	-	636	663
3h+	10.5	9.7	8.0	819	864	926
Kaikki	12.0	10.3	9.8	555	725	712
Lkm	22	100.0	58.0	22	100	58
