Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	16.7	14.9	12.1	557	478	501
2h	12.6	11.5	11.2	658	574	566
3h+	11.8	10.4	10.2	901	827	780
Kaikki	12.4	11.9	11.1	732	591	582
Lkm	150.0	406.0	202.0	150	406	202
