Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	11.3	11.3	11.2	382	394	388
2h	9.9	10.1	9.8	516	511	540
3h+	9.9	8.8	10.5	678	678	771
Kaikki	10.1	9.5	10.4	529	563	545
Lkm	114.0	50.0	36.0	114	50	36
