Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
2h	-	10.4	-	-	525	-
3h+	-	9.2	10.5	-	741	736
Kaikki	-	9.6	10.6	-	650	666
Lkm	-	38.0	22	-	38	22
