Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	10.8	-	-	409	-
2h	9.1	8.3	9.4	450	501	513
3h+	8.5	7.2	7.5	660	648	589
Kaikki	8.8	7.9	8.6	520	550	520
Lkm	63	72.0	34	63	72	34
