Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	13.5	13.7	14.0	491	454	539
2h	12.2	11.2	10.4	618	574	530
3h+	12.0	11.3	12.4	978	876	923
Kaikki	12.1	11.8	12.7	756	641	660
Lkm	364.0	84.0	50.0	364	84	50
