Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	15.4	16.7	-	499	496
2h	13.5	12.7	14.2	756	579	726
3h+	12.6	12.8	-	991	789	-
Kaikki	13.1	14.0	15.3	848	545	611
Lkm	46	130.0	78	46	130	78
