Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	9.9	-	-	391	-
2h	8.9	-	-	448	-	-
3h+	8.6	-	6.9	651	-	670
Kaikki	8.8	7.5	7.8	517	454	527
Lkm	50	18	12	50	18	12
