Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	15.8	17.1	19.0	552	581	650
2h	13.2	13.3	15.4	746	683	755
3h+	12.9	13.0	14.4	1012	1000	1079
Kaikki	13.1	13.8	16.2	871	739	770
Lkm	184.0	192.0	78.0	184	192	78
