Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	11.5	10.1	11.0	455	376	418
2h	10.8	9.7	-	565	539	-
3h+	10.2	7.7	-	798	854	-
Kaikki	10.5	8.6	10.5	659	624	505
Lkm	62.0	62.0	15	62	62	15
