Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	-	-	-	-	-
2h	9.3	7.6	8.8	455	412	326
3h+	-	-	-	-	-	-
Kaikki	9.1	7.0	8.2	463	518	357
Lkm	16	12	14	16	12	14
