Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	18.9	27.8	-	516	520
2h	13.8	18.3	16.1	741	911	891
3h+	12.9	15.3	16.1	1096	1207	1496
Kaikki	13.1	16.4	17.4	957	992	969
Lkm	159	48.0	30.0	159	48	30
