Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	13.0	17.2	18.5	529	553	571
2h	12.0	13.7	13.7	622	672	673
3h+	11.2	12.4	12.1	935	912	940
Kaikki	11.8	14.8	15.5	702	640	643
Lkm	1320.0	520.0	246.0	1320	520	246
