Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	12.8	18.8	20.7	508	668	584
2h	12.0	12.0	17.8	655	636	741
3h+	11.7	12.4	14.6	923	942	979
Kaikki	11.8	13.3	18.4	802	774	676
Lkm	388.0	104.0	84.0	388	104	84
