Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Messukylä	2h, k, s, lasit.p	kt	4450	150000	3371	1987	2/2	ei	hyvä	D2007
Messukylä	2h, k	rt	6000	164000	2733	1974	1/1	ei	hyvä	
Messukylä	1-2h, k, parvi,...	rt	4150	160000	3855	2001	3/3	ei	hyvä	
Messukylä	4-5h,k,kph,s,pu...	ok	13500	298000	2207	1956	-1/3	ei	hyvä	
Messukylä	3 mh, oh, yl...	rt	11800	326000	2763	2003	2/2	ei	hyvä	
Vuohenoja	4-5h,k,s	rt	11900	270000	2269	1962	1/3	ei		E2013
Messukylä	5h, k, khh, kph...	ok	13750	450000	3273	2005	-1/2	ei	hyvä	
Messukylä	4h, k, kph, s, ...	ok	15600	536000	3436	2007		ei	hyvä	
Messukylä	4-5 h, k, 2 x k...	rt	10600	324000	3057	2003	1/2	ei	hyvä	D2018
