Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Uittamo	2h+k+kph+vh	kt	5400	123000	2278	1968	5/8	on	tyyd.	F2013
Uittamo	2h,k,vh,kph,las...	kt	5700	91000	1596	1974	3/3	ei	hyvä	D2007
Uittamo	2h+k+kph+parveke	kt	5500	89500	1627	1965	3/4	ei	tyyd.	D2007
Uittamo	2h+k	kt	6000	135000	2250	1981	2/4	ei	hyvä	E2013
Uittamo	2 h, k, kph, vh, p	kt	5700	94000	1649	1972	1/3	ei	tyyd.	C2013
Uittamo	3h,k,kph,s,vh	rt	7800	175000	2244	1979	1/1	ei	tyyd.	D2007
Uittamo	3h+k+kph+wc+vh	kt	8000	107000	1338	1980	2/3	ei	tyyd.	B2007
Ispoinen	3h, k, kph, p	kt	6500	119000	1831	1966	5/5	on	tyyd.	E
Uittamo	3 h,k,kph,s,parv	kt	8000	137500	1719	1975	2/3	ei	hyvä	D2007
Uittamo	3h, k, p	kt	7850	98000	1248	1969	3/3	ei	huono	D
Uittamo	3h,k	kt	7900	100000	1266	1969	3/3	ei		D2007
Uittamo	3h, k	kt	6600	147000	2227	1965	3/7	on	hyvä	E
Uittamo	3h+k+s+las. p	kt	8000	130000	1625	1978	6/7	on		D2007
Uittamo	3 h, k, ph, s, ...	kt	7800	159000	2038	1986	4/7	on	tyyd.	B2007
Uittamo	3h+k+vh+wc/kph+...	kt	6800	130000	1912	1965	2/8	on	tyyd.	E2013
Uittamo	4h, k, s, 2 kh	kt	8750	193000	2206	1971	6/7	ei	tyyd.	
Uittamo	4h,k,p	kt	9000	135000	1500	1972	2/7	on	hyvä	C2007
Uittamo	5h+k+s	kt	11100	150000	1351	1974	1/7	ei	tyyd.	
Uittamo	3-4h+k+kph/wc+e...	kt	8800	125000	1420	1978	3/3	ei	hyvä	D2007
Uittamo	5 h,k,s,at	rt	12200	276000	2262	1971		ei		E2013
