Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Ruona	1h,k	kt	3700	63000	1703	1974	2/2	on	tyyd.	G2013
Meri-naantali	h,kk	kt	3200	96000	3000	1984	4/4	on	hyvä	D2007
Keskusta	1h+kk+s	kt	3900	105270	2699	2000	3/4	on	hyvä	D2013
Nuhjala	2h, k, p	kt	5400	105000	1944	1977	5/6	on	hyvä	F
Keskusta	2h,k,s	kt	6600	183000	2773	2005	2/4	on	hyvä	D2007
Keskusta	2h+kk+s	kt	5000	150000	3000	2003	3/4	on		G2013
Ruona	2h,k	kt	5500	59000	1073	1968	2/3	ei	tyyd.	G2013
Keskusta	2h,kk	kt	4200	79000	1881	1965	3/3	ei	tyyd.	D2007
Keskusta	2h,k	kt	5500	130000	2364	1952	3/3	on	hyvä	D2018
Keskusta	2h, kk, s	kt	4550	143000	3143	1993	-1/3	ei	hyvä	D
Keskusta	2h, k, s	kt	6800	245000	3603	2015	1/5	on	hyvä	C
Ruona	2h,k,kph,las p	kt	5800	84000	1448	1972	2/6	on	tyyd.	G2013
Ruona	2 h, k, s	kt	6300	125000	1984	1985	2/5	on	tyyd.	D2007
Keskusta	3h+k+las.p	kt	7100	183000	2577	1992	2/3	on	hyvä	D2007
Meri-naantali	3h,k,s	kt	6900	212000	3072	1984	2/4	on	hyvä	D2007
Keskusta	3h,k,s	kt	8300	236000	2843	2005	3/5	on	hyvä	D2013
Keskusta	3h,k,s	kt	7400	180000	2432	2001	1/4	on	hyvä	C2007
Keskusta	3h,k,kph,s,wc	kt	6900	202000	2928	1987	1/3	ei	tyyd.	G2013
Humalisto	3h,kt,ph,s,et,l...	kt	5800	233700	4029	2018	3/6	on	hyvä	D2013
Viluluoto	4 mh, oh, k, kh...	rt	15900	450000	2830	2013	1/2	ei	hyvä	
Naantali	4h,k,s	rt	9400	213500	2271	1989	2/2	ei	hyvä	
Keskusta	5h,k,kh,wc,pv	kt	11600	230000	1983	1967	2/3	on		D2007
Meri-naantali	4h+k+kph+s+wc+v...	rt	10000	177787	1778	1981	1/2	ei	tyyd.	E2013
Ruona	2h,kk	kt	4200	57500	1369	1970	3/3	ei	tyyd.	F2007
