Kaupunginosa	Huoneisto	Talot	m2	Vh	m21	Rv	Krs	Hissi	Kunto	Energial
Alppila	1h, kk, kph, parvi	kt	2450	201000	8204	1936	3/4	ei	hyvä	
Vallila	1h+avok+kph+parvi	kt	2500	140000	5600	1914	2/2	ei	tyyd.	
Alppila	1h, kk	kt	2500	183000	7320	1960	2/6	on	tyyd.	
Alppila	1h, kk, kph, pa...	kt	2950	215000	7288	1962	6/8	on	tyyd.	E2007
Alppila	1 h+kk+kh	kt	3700	204850	5536	1963	4/4	on	tyyd.	E2007
Alppila	1H+KT	kt	2450	165000	6735	1912	2/2	ei	hyvä	
Alppila	1h+kk+kph+las.p...	kt	2950	233000	7898	1962	5/8	on	hyvä	E2007
Vallila	1h+k+kph	kt	3600	163000	4528	1956	2/3	ei	tyyd.	F2013
Alppila	1h, avok	kt	2270	186000	8194	1928	4/4	on	hyvä	E2007
Alppiharju	1h+k+sh	kt	4200	234001	5571	1928	3/4	ei	tyyd.	E2007
Vallila	1h+kk	kt	2600	205000	7885	1946	1/4	ei	hyvä	
Kallio	1h, kk, kph, vh	kt	2850	215000	7544	1959	4/6	ei	hyvä	
Alppila	1h+avok+kph	kt	2800	190000	6786	1928	1/4	on	hyvä	E2007
Alppila	1 h	kt	3000	195001	6500	1931	2/4	on	hyvä	D2018
Vallila	1h, avok, kh	kt	2000	185000	9250	1939	3/3	ei		E2007
Vallila	1h+kk	kt	2500	171644	6866	1938	2/3	ei	tyyd.	
Alppiharju	1h, kk, kph, vh...	kt	3150	198500	6302	1961	1/8	on	tyyd.	
Vallila	1h, avok., et, kph	kt	2600	233000	8962	1928	3/7	on	hyvä	F2013
Alppila	1h+kk	kt	3100	195000	6290	1985	2/4	on	tyyd.	F2013
Kallio	1 h, avokeitti&...	kt	2100	168000	8000	1913	2/6	ei	hyvä	E2013
Alppila	1 h, avok, kh, ...	kt	2400	178500	7438	1956	1/4	ei	hyvä	F2007
Alppiharju	1h+kk+kph+vh	kt	2850	217000	7614	1959	6/6	on	hyvä	
Vallila	1, kt ja kph	kt	2620	170000	6489	1939	1/4	ei	tyyd.	E2007
Kallio	1h+kk	kt	1900	160000	8421	1939	3/6	on	hyvä	F2013
Kallio	1h, kk, alk, kp...	kt	2800	166000	5929	1939	4/7	on	hyvä	
Alppila	1 h, wc/suihku ...	kt	2850	170000	5965	1927	1/4	ei	tyyd.	E2013
Kallio	1h+kk	kt	2100	174000	8286	1939	3/4	on	hyvä	E2007
Vallila	1 h+kk+kph	kt	2200	185000	8409	1938	3/3	ei	hyvä	G2013
Alppila	1h,ikk.kk,kh,pa...	kt	2950	213000	7220	1962	5/8	on	hyvä	E2007
Alppila	1 h, ikk.kk, kh	kt	2450	165000	6735	1936	1/4	ei	tyyd.	F2013
Alppila	1h, kk, alkovi ...	kt	3600	256000	7111	1928	7/7	on	hyvä	E2007
Vallila	1h+k	kt	4100	261000	6366	1925	1/2	ei	hyvä	
Kallio	1h, kk, alkovi ...	kt	2800	195000	6964	1970	5/6	on	hyvä	D2007
Vallila	1 h+kk+alkovi+kph	kt	2800	175000	6250	1946	1/4	ei	tyyd.	D2007
Harju	1h+k+kph+wc	kt	3750	240000	6400	1927	6/7	on	tyyd.	
Alppila	1h, kk, kph/wc	kt	2600	177000	6808	1961	7/8	on	tyyd.	
Alppiharju	1h, k, alk, kph	kt	3950	264000	6684	1926	4/6	on	hyvä	E2013
Alppila	1 h+kk+wc	kt	2150	165000	7674	1936	3/4	ei	tyyd.	
Vallila	1h,kk,kph, alkovi	kt	2550	157000	6157	1940	4/4	ei	tyyd.	
Alppila	1h, k	kt	3600	245000	6806	1927	6/7	on	tyyd.	F2013
Vallila	1h,k,kh	kt	3700	223000	6027	1938	4/5	on	tyyd.	E2007
Alppila	1+kk+kph	kt	3000	197000	6567	1962	6/8	on	tyyd.	E2007
Vallila	1h,kk,kph	kt	2530	177896	7031	1928	2/5	ei	hyvä	
Alppiharju	1 h + k	kt	3350	196000	5851	1928	4/5	ei	tyyd.	F2013
Kallio	1h, kk, kph ja ...	kt	2100	144000	6857	1913	2/6	ei	hyvä	
Alppiharju	2h, k, kh, saun...	kt	4900	316000	6449	1985	6/7	on	tyyd.	E2013
Alppila		kt	4000	288000	7200	1960		ei		
Alppila	2h+kk	kt	4050	282000	6963	1961	3/4	on	hyvä	F2013
Vallila	2h + kk + sh	kt	4200	252000	6000	1928	2/4	ei	tyyd.	E2007
Alppila	2h,avok,kph,p	kt	5150	316000	6136	1939	4/6	on	hyvä	E2013
Vallila	2h+k+kph+p	kt	5900	296000	5017	1969	4/4	ei	hyvä	
Alppila	2h,kk,kph,lp	kt	3600	230000	6389	1961	3/4	ei	hyvä	G2018
